"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Canada i1",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"62010 Retail sales supervisors","61,520","33,600","38,760"
"6202 Service supervisors","113,995","32,800","38,440"
"62020 Food service supervisors","71,205","29,200","34,800"
"62021 Executive housekeepers","1,935","39,600","42,000"
"62022 Accommodation, travel, tourism and related services supervisors","5,975","25,800","31,360"
"62023 Customer and information services supervisors","10,585","54,000","57,700"
"62024 Cleaning supervisors","13,140","40,800","42,720"
"62029 Other services supervisors","11,150","40,000","41,640"
"621 Specialized sales occupations","84,730","61,200","78,900"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","84,730","61,200","78,900"
"62100 Technical sales specialists - wholesale trade","50,240","82,000","100,500"
"62101 Retail and wholesale buyers","34,495","37,600","47,440"
"622 Specialized services occupations","71,460","26,000","32,200"
"6220 Specialized occupations in services","71,460","26,000","32,200"
"62200 Chefs","62,880","25,000","30,280"
"62201 Funeral directors and embalmers","5,210","54,000","60,100"
"62202 Jewellers, jewellery and watch repairers and related occupations","3,365","16,600","24,560"
"63 Occupations in sales and services","625,815","23,000","37,720"
"631 Occupations in sales","233,805","49,600","66,000"
"6310 Insurance, real estate and financial sales occupations","233,805","49,600","66,000"
"63100 Insurance agents and brokers","77,515","53,200","66,900"
"63101 Real estate agents and salespersons","97,705","38,000","61,650"
"63102 Financial sales representatives","58,590","53,600","72,100"
"632 Occupations in services","392,005","15,500","20,840"
"6320 Cooks, butchers and bakers","234,805","17,400","21,880"
"63200 Cooks","179,445","16,000","20,540"
"63201 Butchers - retail and wholesale","10,605","33,600","33,600"
"63202 Bakers","44,755","21,200","24,520"
"6321 Hairstylists and estheticians","143,810","12,000","16,880"
"63210 Hairstylists and barbers","86,365","12,700","17,200"
"63211 Estheticians, electrologists and related occupations","57,440","10,900","16,400"
"6322 Shoe repairers, shoemakers and upholsterers","13,390","41,600","45,280"
"63220 Shoe repairers and shoemakers","10,010","46,800","50,000"
"63221 Upholsterers","3,380","28,800","31,280"
"64 Sales and service representatives and other customer and personal services occupations","1,255,825","23,400","32,520"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","690,545","19,400","32,160"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","690,545","19,400","32,160"
"64100 Retail salespersons and visual merchandisers","629,295","17,600","28,560"
"64101 Sales and account representatives - wholesale trade (non-technical)","61,250","57,200","69,300"
"642 Occupations in personal service","19,290","16,400","21,420"
"6420 Occupations in personal service","19,290","16,400","21,420"
"64200 Tailors, dressmakers, furriers and milliners","17,180","16,200","19,240"
"64201 Image, social and other personal consultants","2,115","19,400","39,160"
"643 Occupations in food, accommodation and tourism","120,210","13,900","22,200"
"6430 Occupations in food and beverage service","49,045","8,400","11,620"
"64300 Maîtres d'hôtel and hosts/hostesses","20,175","5,560","8,280"
"64301 Bartenders","28,865","10,900","13,960"
"6431 Occupations in travel and accommodation","59,130","27,000","31,880"
"64310 Travel counsellors","17,695","23,000","29,080"
"64311 Pursers and flight attendants","11,840","38,800","41,880"
"64312 Airline ticket and service agents","11,160","31,400","36,960"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","1,715","54,000","53,200"
"64314 Hotel front desk clerks","16,715","20,000","22,240"
"6432 Tourism and amusement services occupations","12,035","12,200","17,600"
"64320 Tour and travel guides","2,670","7,300","14,980"
"64321 Casino workers","6,995","12,800","18,100"
"64322 Outdoor sport and recreational guides","2,375","14,800","19,100"
"644 Occupations in customer, information and protective services","425,780","33,600","36,560"
"6440 Customer and information services representatives","309,330","34,000","37,080"
"64400 Customer services representatives - financial institutions","58,750","35,200","38,160"
"64401 Postal services representatives","7,375","31,800","35,080"
"64409 Other customer and information services representatives","243,205","34,000","36,880"
"6441 Security guards and related security service occupations","116,450","32,000","35,160"
"64410 Security guards and related security service occupations","116,450","32,000","35,160"
"65 Sales and service support occupations","1,654,815","13,100","19,560"
"651 Sales support occupations","620,815","12,800","19,080"
"6510 Cashiers and other sales support occupations","620,815","12,800","19,080"
"65100 Cashiers","358,760","11,100","17,360"
"65101 Service station attendants","8,975","12,700","17,800"
"65102 Store shelf stockers, clerks and order fillers","225,115","16,400","20,920"
"65109 Other sales related occupations","27,970","13,200","26,640"
"652 Support occupations in food, accommodation and tourism","590,915","10,500","15,840"
"6520 Food support occupations","525,705","10,500","15,520"
"65200 Food and beverage servers","127,700","9,900","13,320"
"65201 Food counter attendants, kitchen helpers and related support occupations","391,160","10,600","15,900"
"65202 Meat cutters and fishmongers - retail and wholesale","6,845","34,800","35,000"
"6521 Support occupations in accommodation, travel, tourism and amusement services","37,895","8,600","17,660"
"65210 Support occupations in accommodation, travel and facilities set-up services","3,115","18,800","29,400"
"65211 Operators and attendants in amusement, recreation and sport","34,780","8,200","16,600"
"6522 Support occupations in personal services","27,310","13,000","19,460"
"65220 Pet groomers and animal care workers","25,095","13,400","19,680"
"65229 Other support occupations in personal services","2,220","7,750","16,840"
"653 Support occupations in cleaning and related services","443,090","20,400","25,180"
"6531 Cleaners","400,855","20,800","25,400"
"65310 Light duty cleaners","251,930","17,400","22,440"
"65311 Specialized cleaners","40,005","21,000","26,080"
"65312 Janitors, caretakers and heavy-duty cleaners","108,925","30,200","32,000"
"6532 Service support and related occupations","42,230","17,800","23,160"
"65320 Dry cleaning, laundry and related occupations","17,285","25,400","26,760"
"65329 Other service support occupations","24,945","13,100","20,680"
"7 Trades, transport and equipment operators and related occupations","3,105,230","46,000","52,300"
"70 Middle management occupations in trades and transportation","252,080","63,600","73,500"
"700 Middle management occupations in trades and transportation","252,080","63,600","73,500"
"7001 Managers in construction and facility operation and maintenance","208,800","60,400","70,800"
"70010 Construction managers","88,725","76,000","85,400"
"70011 Home building and renovation managers","47,050","24,000","37,240"
"70012 Facility operation and maintenance managers","73,020","65,000","74,700"
"7002 Managers in transportation and postal and courier services","43,280","77,000","86,500"
"70020 Managers in transportation","39,275","78,000","88,400"
"70021 Postal and courier services managers","4,010","64,500","68,100"
"72 Technical trades and transportation officers and controllers","1,234,610","56,000","61,450"
"720 Technical trades contractors and supervisors","189,870","68,000","72,600"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","100,025","62,400","67,300"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","13,520","74,500","79,200"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","22,355","79,000","82,400"
"72012 Contractors and supervisors, pipefitting trades","7,485","82,000","82,600"
"72013 Contractors and supervisors, carpentry trades","14,550","59,200","60,950"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","42,120","47,600","54,900"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","89,845","73,500","78,600"
"72020 Contractors and supervisors, mechanic trades","25,520","74,500","79,800"
"72021 Contractors and supervisors, heavy equipment operator crews","42,270","81,000","86,000"
"72022 Supervisors, printing and related occupations","2,030","56,400","57,150"
"72023 Supervisors, railway transport operations","1,225","96,000","97,600"
"72024 Supervisors, motor transport and other ground transit operators","10,425","62,400","64,800"
"72025 Supervisors, mail and message distribution occupations","8,380","59,600","56,500"
"721 Technical industrial trades","176,590","52,800","55,700"
"7210 Machining, metal forming, shaping and erecting trades","176,590","52,800","55,700"
"72100 Machinists and machining and tooling inspectors","37,095","54,000","55,250"
"72101 Tool and die makers","10,045","60,000","61,550"
"72102 Sheet metal workers","18,990","53,600","54,600"
"72103 Boilermakers","3,810","62,000","68,400"
"72104 Structural metal and platework fabricators and fitters","6,555","54,800","55,900"
"72105 Ironworkers","12,925","61,200","63,100"
"72106 Welders and related machine operators","87,165","49,600","53,800"
"722 Technical electrical trades","168,095","63,600","66,600"
"7220 Technical electrical trades and electrical power line and telecommunications workers","168,095","63,600","66,600"
"72200 Electricians (except industrial and power system)","97,680","53,200","55,900"
"72201 Industrial electricians","21,960","89,000","91,100"
"72202 Power system electricians","4,975","95,000","95,400"
"72203 Electrical power line and cable workers","13,300","107,000","105,700"
"72204 Telecommunications line and cable installers and repairers","9,700","59,600","59,000"
"72205 Telecommunications equipment installation and cable television service technicians","20,485","63,200","62,650"
"723 Technical construction trades","274,770","44,000","47,360"
"7230 Plumbers, pipefitters and gas fitters","78,055","56,400","58,700"
"72300 Plumbers","50,615","52,400","54,150"
"72301 Steamfitters, pipefitters and sprinkler system installers","20,825","67,000","68,900"
"72302 Gas fitters","6,620","56,400","61,500"
"7231 Carpenters and cabinetmakers","171,590","39,600","42,240"
"72310 Carpenters","155,690","40,400","43,000"
"72311 Cabinetmakers","15,900","34,000","34,960"
"7232 Bricklayers and insulators","25,130","43,600","47,160"
"72320 Bricklayers","16,300","41,200","44,680"
"72321 Insulators","8,825","48,400","51,800"
"724 Technical maintenance trades","371,215","58,000","62,100"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","168,305","72,500","75,500"
"72400 Construction millwrights and industrial mechanics","65,385","74,000","77,900"
"72401 Heavy-duty equipment mechanics","44,340","74,000","79,300"
"72402 Heating, refrigeration and air conditioning mechanics","29,605","59,600","62,450"
"72403 Railway carmen/women","2,495","84,000","81,000"
"72404 Aircraft mechanics and aircraft inspectors","18,495","72,500","71,300"
"72405 Machine fitters","2,140","61,600","62,150"
"72406 Elevator constructors and mechanics","5,845","102,000","101,500"
"7241 Automotive service technicians","176,220","48,000","51,080"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","147,535","49,200","51,900"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","28,690","43,200","46,880"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","26,695","48,800","50,480"
"72420 Oil and solid fuel heating mechanics","1,585","47,200","50,440"
"72421 Appliance servicers and repairers","5,480","35,200","39,840"
"72422 Electrical mechanics","10,465","60,400","61,500"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","6,580","47,200","48,280"
"72429 Other small engine and small equipment repairers","2,580","30,800","34,040"
"725 Technical equipment operation trades","14,310","74,500","80,700"
"7250 Crane operators and water well drillers","14,310","74,500","80,700"
"72500 Crane operators","13,730","76,500","81,900"
"72501 Water well drillers","580","50,400","50,600"
"726 Transportation officers and controllers","30,865","94,000","108,800"
"7260 Transportation officers and controllers","30,865","94,000","108,800"
"72600 Air pilots, flight engineers and flying instructors","17,490","92,000","109,400"
"72601 Air traffic controllers and related occupations","4,655","107,000","122,500"
"72602 Deck officers, water transport","5,925","91,000","103,900"
"72603 Engineer officers, water transport","1,440","96,000","99,800"
"72604 Railway traffic controllers and marine traffic regulators","1,355","86,000","85,700"
"729 Other technical trades","8,900","45,200","49,080"
"7299 Other technical trades","8,900","45,200","49,080"
"72999 Other technical trades and related occupations","8,900","45,200","49,080"
"73 General trades","853,565","40,400","45,040"
"731 General construction trades","122,455","31,200","35,600"
"7310 Concrete finishers, tilesetters and plasterers","43,365","37,200","40,120"
"73100 Concrete finishers","8,785","48,400","50,360"
"73101 Tilesetters","8,135","31,400","35,680"
"73102 Plasterers, drywall installers and finishers and lathers","26,455","35,200","38,080"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","79,085","27,800","33,120"
"73110 Roofers and shinglers","21,680","33,200","38,120"
"73111 Glaziers","8,130","45,600","46,000"
"73112 Painters and decorators (except interior decorators)","38,795","21,400","27,760"
"73113 Floor covering installers","10,475","27,800","32,720"
"732 Building maintenance installers, servicers and repairers","160,990","34,800","38,240"
"7320 Building maintenance installers, servicers and repairers","160,990","34,800","38,240"
"73200 Residential and commercial installers and servicers","48,330","30,400","34,600"
"73201 General building maintenance workers and building superintendents","98,405","38,000","40,240"
"73202 Pest controllers and fumigators","4,060","39,200","41,600"
"73209 Other repairers and servicers","10,200","29,600","34,840"
"733 Transportation occupations","458,325","40,800","45,440"
"7330 Transport truck and transit drivers","446,705","40,000","44,160"
"73300 Transport truck drivers","350,460","42,400","45,240"
"73301 Bus drivers, subway operators and other transit operators","96,240","27,800","40,240"
"7331 Train crew operating occupations","11,620","96,000","94,600"
"73310 Railway and yard locomotive engineers","5,970","116,000","109,100"
"73311 Railway conductors and brakemen/women","5,655","81,000","79,400"
"734 Operators, drillers and blasters","111,795","58,800","63,450"
"7340 Operators, drillers and blasters","111,795","58,800","63,450"
"73400 Heavy equipment operators","93,255","60,800","65,900"
"73401 Printing press operators","14,300","43,600","45,160"
"73402 Drillers and blasters - surface mining, quarrying and construction","4,245","68,500","70,400"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","144,505","46,800","46,960"
"741 Mail and message distribution occupations","89,310","46,800","45,600"
"7410 Mail and message distribution occupations","89,310","46,800","45,600"
"74100 Mail and parcel sorters and related occupations","23,075","40,800","42,560"
"74101 Letter carriers","33,235","61,200","55,050"
"74102 Couriers and messengers","32,995","33,600","38,160"
"742 Transport equipment operators, utility maintenance and related workers","55,195","46,400","49,200"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","55,195","46,400","49,200"
"74200 Railway yard and track maintenance workers","5,665","77,500","75,300"
"74201 Water transport deck and engine room crew","4,615","58,800","56,600"
"74202 Air transport ramp attendants","9,315","32,800","36,560"
"74203 Automotive and heavy truck and equipment parts installers and servicers","14,175","31,800","39,480"
"74204 Utility maintenance workers","5,960","60,800","63,050"
"74205 Public works maintenance equipment operators and related workers","15,465","50,400","48,640"
"75 Helpers and labourers and other transport drivers, operators and labourers","620,470","30,200","36,640"
"751 Helpers and labourers","437,205","34,800","41,080"
"7510 Longshore workers and material handlers","224,230","37,200","43,600"
"75100 Longshore workers","5,710","87,000","90,000"
"75101 Material handlers","218,515","36,800","42,400"
"7511 Trades helpers and labourers","212,975","32,000","38,440"
"75110 Construction trades helpers and labourers","200,790","32,400","38,680"
"75119 Other trades helpers and labourers","12,185","28,000","34,440"
"752 Transport drivers, operators and labourers","183,265","17,200","26,040"
"7520 Taxi, personal service and delivery service drivers","143,875","13,000","21,440"
"75200 Taxi and limousine drivers and chauffeurs","53,510","7,300","13,860"
"75201 Delivery service drivers and door-to-door distributors","90,360","18,600","25,960"
"7521 Water and rail transport operators and labourers and related occupations","39,395","42,400","42,880"
"75210 Boat and cable ferry operators and related occupations","2,875","40,000","45,600"
"75211 Railway and motor transport labourers","4,865","34,800","39,680"
"75212 Public works and maintenance labourers","31,655","44,000","43,160"
"8 Natural resources, agriculture and related production occupations","501,260","24,400","39,040"
"80 Middle management occupations in production and agriculture","156,155","21,800","38,040"
"800 Middle management occupations in production and agriculture","156,155","21,800","38,040"
"8001 Managers in natural resources production and fishing","9,945","143,000","170,400"
"80010 Managers in natural resources production and fishing","9,945","143,000","170,400"
"8002 Managers in agriculture, horticulture and aquaculture","146,210","19,600","29,040"
"80020 Managers in agriculture","141,855","19,200","28,440"
"80021 Managers in horticulture","3,470","34,000","44,920"
"80022 Managers in aquaculture","875","58,400","59,300"
"82 Supervisors in natural resources, agriculture and related production","46,565","64,000","78,300"
"820 Supervisors in natural resources, agriculture and related production","46,565","64,000","78,300"
"8201 Supervisors, logging and forestry","6,245","72,500","80,800"
"82010 Supervisors, logging and forestry","6,245","72,500","80,800"
"8202 Contractors and supervisors, mining, oil and gas","18,120","109,000","114,800"
"82020 Supervisors, mining and quarrying","7,980","122,000","121,300"
"82021 Contractors and supervisors, oil and gas drilling and services","10,140","98,000","109,700"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","22,200","42,400","47,840"
"82030 Agricultural service contractors and farm supervisors","2,800","44,400","46,280"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","19,400","42,000","48,080"
"83 Occupations in natural resources and related production","39,830","61,600","69,200"
"831 Occupations in natural resources and fisheries","39,830","61,600","69,200"
"8310 Underground miners, oil and gas drillers and related occupations","20,645","94,000","92,600"
"83100 Underground production and development miners","13,765","106,000","101,900"
"83101 Oil and gas well drillers, servicers, testers and related workers","6,875","64,500","74,000"
"8311 Logging machinery operators","6,985","57,200","58,800"
"83110 Logging machinery operators","6,985","57,200","58,800"
"8312 Fishing vessel masters and fishermen/women","12,200","24,400","35,560"
"83120 Fishing masters and officers","1,085","55,200","72,200"
"83121 Fishermen/women","11,115","22,400","31,960"
"84 Workers in natural resources, agriculture and related production","75,540","27,800","37,080"
"841 Workers in natural resources and fisheries","75,540","27,800","37,080"
"8410 Mine service workers and operators in oil and gas drilling","9,815","77,500","80,800"
"84100 Underground mine service and support workers","4,195","80,000","80,700"
"84101 Oil and gas well drilling and related workers and services operators","5,620","75,500","80,900"
"8411 Logging and forestry workers","14,515","28,400","35,720"
"84110 Chain saw and skidder operators","6,885","31,400","38,200"
"84111 Silviculture and forestry workers","7,630","26,600","33,480"
"8412 Workers in agriculture and fishing occupations","51,215","22,800","29,080"
"84120 Specialized livestock workers and farm machinery operators","41,810","23,600","29,000"
"84121 Fishing vessel deckhands","9,405","20,600","29,520"
"85 Harvesting, landscaping and natural resources labourers","183,175","16,800","24,160"
"851 Harvesting, landscaping and natural resources labourers","183,175","16,800","24,160"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","58,580","16,200","22,640"
"85100 Livestock labourers","26,820","18,000","24,660"
"85101 Harvesting labourers","12,450","12,500","17,520"
"85102 Aquaculture and marine harvest labourers","2,585","23,200","31,880"
"85103 Nursery and greenhouse labourers","16,345","16,800","21,720"
"85104 Trappers and hunters","385","9,900","23,400"
"8511 Mine and oil and gas drilling, services and related labourers","9,595","45,600","53,950"
"85110 Mine labourers","2,765","47,600","59,800"
"85111 Oil and gas drilling, servicing and related labourers","6,830","45,200","51,550"
"8512 Logging, forestry, landscaping and other related labourers","115,000","15,900","22,460"
"85120 Logging and forestry labourers","5,325","17,400","24,100"
"85121 Landscaping and grounds maintenance labourers","109,675","15,900","22,380"
"9 Occupations in manufacturing and utilities","848,015","43,200","53,450"
"90 Middle management occupations in manufacturing and utilities","82,170","86,000","103,600"
"900 Middle management occupations in manufacturing and utilities","82,170","86,000","103,600"
"9001 Managers in manufacturing and utilities","82,170","86,000","103,600"
"90010 Manufacturing managers","70,875","81,000","97,400"
"90011 Utilities managers","11,295","125,000","143,000"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","109,230","73,000","83,000"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","61,325","69,500","76,600"
"9201 Supervisors, processing and manufacturing occupations","43,260","71,000","79,400"
"92010 Supervisors, mineral and metal processing","5,560","81,000","86,500"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","12,070","98,000","111,000"
"92012 Supervisors, food and beverage processing","15,370","58,000","59,300"
"92013 Supervisors, plastic and rubber products manufacturing","3,515","60,800","63,050"
"92014 Supervisors, forest products processing","5,640","76,500","76,500"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","1,105","43,600","45,000"
"9202 Supervisors, assembly and fabrication","18,070","66,000","70,000"
"92020 Supervisors, motor vehicle assembling","8,365","72,500","77,400"
"92021 Supervisors, electronics and electrical products manufacturing","2,205","57,200","61,000"
"92022 Supervisors, furniture and fixtures manufacturing","1,615","52,800","53,450"
"92023 Supervisors, other mechanical and metal products manufacturing","2,865","72,500","73,700"
"92024 Supervisors, other products manufacturing and assembly","3,025","57,600","61,350"
"921 Utilities equipment operators and controllers","47,905","79,000","91,200"
"9210 Utilities equipment operators and controllers","47,905","79,000","91,200"
"92100 Power engineers and power systems operators","34,540","86,000","100,200"
"92101 Water and waste treatment plant operators","13,360","69,500","68,000"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","30,910","89,000","102,100"
"931 Central control and process operators in processing and manufacturing","25,275","101,000","111,000"
"9310 Central control and process operators in processing and manufacturing","25,275","101,000","111,000"
"93100 Central control and process operators, mineral and metal processing","2,430","98,000","93,700"
"93101 Central control and process operators, petroleum, gas and chemical processing","22,100","103,000","113,700"
"93102 Pulping, papermaking and coating control operators","745","90,000","87,800"
"932 Aircraft assemblers and aircraft assembly inspectors","5,635","64,500","62,150"
"9320 Aircraft assemblers and aircraft assembly inspectors","5,635","64,500","62,150"
"93200 Aircraft assemblers and aircraft assembly inspectors","5,635","64,500","62,150"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","374,480","40,800","43,800"
"941 Processing and manufacturing machine operators and related production workers","206,870","42,400","45,440"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","41,810","48,800","54,100"
"94100 Machine operators, mineral and metal processing","8,395","80,000","79,400"
"94101 Foundry workers","2,420","52,000","57,500"
"94102 Glass forming and finishing machine operators and glass cutters","2,200","37,600","38,440"
"94103 Concrete, clay and stone forming operators","3,660","43,200","47,440"
"94104 Inspectors and testers, mineral and metal processing","2,270","53,600","56,700"
"94105 Metalworking and forging machine operators","11,380","44,000","45,000"
"94106 Machining tool operators","8,665","46,800","48,720"
"94107 Machine operators of other metal products","2,815","46,000","47,560"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","26,095","45,200","49,280"
"94110 Chemical plant machine operators","7,390","51,600","59,950"
"94111 Plastics processing machine operators","13,485","40,400","43,160"
"94112 Rubber processing machine operators and related workers","5,215","50,800","50,000"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","26,085","50,400","53,950"
"94120 Sawmill machine operators","6,225","47,600","49,160"
"94121 Pulp mill, papermaking and finishing machine operators","5,025","82,000","81,400"
"94122 Paper converting machine operators","3,565","54,800","53,700"
"94123 Lumber graders and other wood processing inspectors and graders","2,540","52,400","53,600"
"94124 Woodworking machine operators","6,585","35,600","37,200"
"94129 Other wood processing machine operators","2,145","54,800","55,550"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","19,930","24,000","26,520"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","2,720","31,800","32,400"
"94131 Weavers, knitters and other fabric making occupations","2,095","29,800","31,920"
"94132 Industrial sewing machine operators","13,495","22,400","24,220"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","1,620","27,000","28,720"
"9414 Machine operators and related workers in food, beverage and associated products processing","79,225","42,000","43,000"
"94140 Process control and machine operators, food and beverage processing","48,305","45,200","47,360"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","15,860","43,600","41,600"
"94142 Fish and seafood plant workers","7,370","15,300","20,580"
"94143 Testers and graders, food and beverage processing","7,695","37,200","40,120"
"9415 Printing equipment operators and related occupations","13,720","36,400","37,440"
"94150 Plateless printing equipment operators","6,815","37,600","37,440"
"94151 Camera, platemaking and other prepress occupations","2,035","47,600","49,040"
"94152 Binding and finishing machine operators","3,590","32,800","33,960"
"94153 Photographic and film processors","1,280","24,600","28,960"
"942 Assemblers and inspectors in manufacturing","167,610","39,200","41,760"
"9420 Mechanical, electrical and electronics assemblers and inspectors","102,980","42,000","44,480"
"94200 Motor vehicle assemblers, inspectors and testers","68,960","43,600","46,320"
"94201 Electronics assemblers, fabricators, inspectors and testers","13,050","35,200","36,560"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","7,220","36,400","38,320"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","2,440","44,000","46,720"
"94204 Mechanical assemblers and inspectors","10,445","44,400","46,040"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","870","40,400","43,700"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","64,630","35,600","37,400"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","16,770","32,400","32,400"
"94211 Assemblers and inspectors of other wood products","8,025","33,600","34,120"
"94212 Plastic products assemblers, finishers and inspectors","4,990","36,800","36,640"
"94213 Industrial painters, coaters and metal finishing process operators","15,050","44,800","47,560"
"94219 Other products assemblers, finishers and inspectors","19,790","32,800","35,440"
"95 Labourers in processing, manufacturing and utilities","251,230","29,600","32,520"
"951 Labourers in processing, manufacturing and utilities","251,230","29,600","32,520"
"9510 Labourers in processing, manufacturing and utilities","251,230","29,600","32,520"
"95100 Labourers in mineral and metal processing","9,420","42,800","47,080"
"95101 Labourers in metal fabrication","13,225","34,800","37,240"
"95102 Labourers in chemical products processing and utilities","19,680","29,400","34,360"
"95103 Labourers in wood, pulp and paper processing","17,675","38,000","41,640"
"95104 Labourers in rubber and plastic products manufacturing","9,035","33,600","35,720"
"95105 Labourers in textile processing and cutting","5,735","23,400","26,440"
"95106 Labourers in food and beverage processing","82,620","30,600","31,760"
"95107 Labourers in fish and seafood processing","8,710","14,900","18,640"
"95109 Other labourers in processing, manufacturing and utilities","85,125","27,600","30,040"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i1,"Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Long-form total non-response rate: 4.3; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
4,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
