"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Canada i1",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"14202 Collection clerks","12,400","44,800","44,320"
"143 Library, correspondence and other clerks","33,475","37,600","39,720"
"1430 Library, correspondence and other clerks","33,475","37,600","39,720"
"14300 Library assistants and clerks","14,120","21,600","25,880"
"14301 Correspondence, publication and regulatory clerks","19,355","48,800","49,800"
"144 Supply chain logistics, tracking and scheduling coordination occupations","242,385","40,000","42,600"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","242,385","40,000","42,600"
"14400 Shippers and receivers","119,965","35,600","36,800"
"14401 Storekeepers and partspersons","44,390","43,600","46,280"
"14402 Production logistics workers","8,700","49,200","53,250"
"14403 Purchasing and inventory control workers","35,085","40,400","41,760"
"14404 Dispatchers","30,305","52,800","56,150"
"14405 Transportation route and crew schedulers","3,950","54,000","57,400"
"2 Natural and applied sciences and related occupations","1,541,595","75,000","83,300"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","128,520","112,000","129,600"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","128,520","112,000","129,600"
"2001 Managers in engineering, architecture, science and information systems","128,520","112,000","129,600"
"20010 Engineering managers","31,400","120,000","138,000"
"20011 Architecture and science managers","14,890","100,000","112,100"
"20012 Computer and information systems managers","82,235","112,000","129,400"
"21 Professional occupations in natural and applied sciences","888,575","81,000","88,800"
"211 Professional occupations in natural sciences","98,400","71,500","77,900"
"2110 Physical science professionals","31,315","73,000","86,900"
"21100 Physicists and astronomers","2,620","97,000","107,800"
"21101 Chemists","16,325","65,000","70,800"
"21102 Geoscientists and oceanographers","10,880","84,000","106,300"
"21103 Meteorologists and climatologists","915","100,000","91,000"
"21109 Other professional occupations in physical sciences","575","72,000","77,200"
"2111 Life science professionals","47,075","69,000","73,600"
"21110 Biologists and related scientists","34,980","69,500","75,500"
"21111 Forestry professionals","5,165","75,000","74,700"
"21112 Agricultural representatives, consultants and specialists","6,930","61,200","63,350"
"2112 Public and environmental health and safety professionals","20,010","74,000","73,800"
"21120 Public and environmental health and safety professionals","20,010","74,000","73,800"
"212 Professional occupations in applied sciences (except engineering)","547,400","80,000","85,300"
"2120 Architects, urban planners and land surveyors","47,525","73,500","79,800"
"21200 Architects","18,800","70,500","82,800"
"21201 Landscape architects","2,030","64,000","68,100"
"21202 Urban and land use planners","19,490","78,500","82,000"
"21203 Land surveyors","7,210","67,000","69,300"
"2121 Mathematicians, statisticians, actuaries and data scientists","27,360","86,000","98,700"
"21210 Mathematicians, statisticians and actuaries","13,205","89,000","107,000"
"21211 Data scientists","14,155","84,000","91,000"
"2122 Computer and information systems professionals","200,815","82,000","83,600"
"21220 Cybersecurity specialists","14,095","92,000","97,100"
"21221 Business systems specialists","30,310","79,500","79,400"
"21222 Information systems specialists","131,890","83,000","84,600"
"21223 Database analysts and data administrators","24,525","73,000","75,400"
"2123 Computer, software and Web designers and developers","271,695","78,500","86,300"
"21230 Computer systems developers and programmers","41,000","74,000","78,000"
"21231 Software engineers and designers","82,890","95,000","108,300"
"21232 Software developers and programmers","87,015","81,000","87,800"
"21233 Web designers","10,825","34,800","43,200"
"21234 Web developers and programmers","49,965","59,200","63,000"
"213 Professional occupations in engineering","242,780","90,000","100,900"
"2130 Civil and mechanical engineers","119,620","85,000","96,000"
"21300 Civil engineers","64,670","86,000","96,300"
"21301 Mechanical engineers","54,950","84,000","95,700"
"2131 Electrical, electronics and computer engineers","69,390","97,000","106,100"
"21310 Electrical and electronics engineers","44,580","95,000","103,100"
"21311 Computer engineers (except software engineers and designers)","24,805","100,000","111,400"
"2132 Manufacturing and processing engineers","30,050","83,000","95,600"
"21320 Chemical engineers","11,310","90,000","106,900"
"21321 Industrial and manufacturing engineers","16,115","78,000","86,100"
"21322 Metallurgical and materials engineers","2,630","98,000","105,800"
"2133 Natural resources engineers","12,160","114,000","141,400"
"21330 Mining engineers","3,320","116,000","151,200"
"21331 Geological engineers","3,655","93,000","110,400"
"21332 Petroleum engineers","5,185","134,000","157,200"
"2139 Other engineers","11,555","90,000","91,200"
"21390 Aerospace engineers","5,505","94,000","94,900"
"21399 Other professional engineers","6,050","86,000","87,900"
"22 Technical occupations related to natural and applied sciences","524,500","59,200","62,850"
"221 Technical occupations related to natural sciences","68,470","47,600","52,700"
"2210 Technical occupations in physical sciences","20,305","60,400","69,600"
"22100 Chemical technologists and technicians","12,555","56,800","61,250"
"22101 Geological and mineral technologists and technicians","7,750","72,500","83,200"
"2211 Technical occupations in life sciences","48,165","42,000","45,600"
"22110 Biological technologists and technicians","10,285","46,000","47,560"
"22111 Agricultural and fish products inspectors","3,550","61,200","59,850"
"22112 Forestry technologists and technicians","6,685","53,600","53,850"
"22113 Conservation and fishery officers","3,715","64,000","59,000"
"22114 Landscape and horticulture technicians and specialists","23,925","31,800","38,240"
"222 Technical occupations related to applied sciences (except engineering)","250,145","60,000","62,950"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","63,430","53,200","56,100"
"22210 Architectural technologists and technicians","13,475","50,400","53,650"
"22211 Industrial designers","10,225","54,000","60,550"
"22212 Drafting technologists and technicians","27,445","50,800","53,000"
"22213 Land survey technologists and technicians","3,300","50,400","53,550"
"22214 Technical occupations in geomatics and meteorology","8,985","65,500","65,200"
"2222 Technical occupations in computer and information systems","137,640","60,400","62,300"
"22220 Computer network and web technicians","66,285","66,500","67,600"
"22221 User support technicians","61,155","54,400","57,500"
"22222 Information systems testing technicians","10,200","51,200","56,600"
"2223 Technical inspectors and regulatory officers","49,080","71,000","73,600"
"22230 Non-destructive testers and inspectors","6,635","74,500","79,900"
"22231 Engineering inspectors and regulatory officers","7,195","82,000","85,900"
"22232 Occupational health and safety specialists","19,625","70,500","72,400"
"22233 Construction inspectors","15,620","65,500","66,800"
"223 Technical occupations related to engineering","205,885","62,000","66,100"
"2230 Technical occupations in civil, mechanical and industrial engineering","96,835","65,000","68,700"
"22300 Civil engineering technologists and technicians","22,425","62,400","63,500"
"22301 Mechanical engineering technologists and technicians","31,250","70,000","73,500"
"22302 Industrial engineering and manufacturing technologists and technicians","16,900","59,200","62,750"
"22303 Construction estimators","26,260","65,500","71,300"
"2231 Technical occupations in electronics and electrical engineering","109,045","59,200","63,750"
"22310 Electrical and electronics engineering technologists and technicians","44,475","67,500","70,700"
"22311 Electronic service technicians (household and business equipment)","49,920","48,400","50,000"
"22312 Industrial instrument technicians and mechanics","9,080","92,000","98,000"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","5,570","76,000","75,500"
"3 Health occupations","1,463,265","52,000","62,650"
"30 Specialized middle management occupations in health care","37,340","95,000","97,200"
"300 Specialized middle management occupations in health care","37,340","95,000","97,200"
"3001 Managers in health care","37,340","95,000","97,200"
"30010 Managers in health care","37,340","95,000","97,200"
"31 Professional occupations in health","635,905","79,000","86,600"
"311 Health treating and consultation services professionals","199,280","94,000","119,400"
"3110 Physicians and veterinarians","107,780","120,000","148,400"
"31100 Specialists in clinical and laboratory medicine","32,985","146,000","172,400"
"31101 Specialists in surgery","9,610","149,000","182,400"
"31102 General practitioners and family physicians","54,325","118,000","139,400"
"31103 Veterinarians","10,865","85,000","90,200"
"3111 Dentists, optometrists and audiologists","38,400","77,500","87,300"
"31110 Dentists","19,905","87,000","101,400"
"31111 Optometrists","6,055","79,500","84,300"
"31112 Audiologists and speech-language pathologists","12,445","70,000","66,300"
"3112 Pharmacists and dietitians","53,095","86,000","83,900"
"31120 Pharmacists","41,945","96,000","90,600"
"31121 Dietitians and nutritionists","11,150","62,800","58,400"
"312 Therapy and assessment professionals","88,465","60,800","61,950"
"3120 Therapy and assessment professionals","88,465","60,800","61,950"
"31200 Psychologists","18,900","77,000","77,200"
"31201 Chiropractors","8,305","48,800","58,550"
"31202 Physiotherapists","26,185","64,000","61,900"
"31203 Occupational therapists","17,615","72,500","67,500"
"31204 Kinesiologists and other professional occupations in therapy and assessment","10,660","36,400","40,120"
"31209 Other professional occupations in health diagnosing and treating","6,805","31,000","43,560"
"313 Nursing and allied health professionals","348,155","77,500","74,000"
"3130 Nursing and allied health professionals","348,155","77,500","74,000"
"31300 Nursing coordinators and supervisors","14,520","84,000","80,700"
"31301 Registered nurses and registered psychiatric nurses","324,220","76,500","73,200"
"31302 Nurse practitioners","6,505","109,000","101,000"
"31303 Physician assistants, midwives and allied health professionals","2,910","72,000","66,700"
"32 Technical occupations in health","329,275","48,000","49,960"
"321 Technical occupations in health (except practitioners of natural healing)","282,510","53,200","54,400"
"3210 Technical occupations in therapy and assessment","165,710","53,600","54,850"
"32100 Opticians","9,555","42,000","44,360"
"32101 Licensed practical nurses","73,385","55,600","52,600"
"32102 Paramedical occupations","30,340","81,000","78,900"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","13,265","77,500","75,100"
"32104 Animal health technologists and veterinary technicians","21,220","32,800","33,480"
"32109 Other technical occupations in therapy and assessment","17,945","38,000","39,280"
"3211 Technical occupations in dental health care","35,240","42,800","44,720"
"32110 Denturists","2,365","38,000","51,900"
"32111 Dental hygienists and dental therapists","27,930","44,400","44,960"
"32112 Dental technologists and technicians","4,945","36,000","39,880"
"3212 Medical technologists and technicians","81,560","58,400","57,700"
"32120 Medical laboratory technologists","20,180","72,000","68,600"
"32121 Medical radiation technologists","20,035","71,500","68,600"
"32122 Medical sonographers","6,650","70,000","65,300"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","3,135","56,400","55,350"
"32124 Pharmacy technicians","26,560","39,600","41,000"
"32129 Other medical technologists and technicians","5,005","48,400","50,240"
"322 Practitioners of natural healing","46,770","17,600","23,100"
"3220 Practitioners of natural healing","46,770","17,600","23,100"
"32200 Traditional Chinese medicine practitioners and acupuncturists","4,295","17,000","24,760"
"32201 Massage therapists","37,720","18,800","23,600"
"32209 Other practitioners of natural healing","4,750","8,200","17,700"
"33 Assisting occupations in support of health services","460,750","34,800","35,840"
"331 Assisting occupations in support of health services","460,750","34,800","35,840"
"3310 Assisting occupations in support of health services","460,750","34,800","35,840"
"33100 Dental assistants and dental laboratory assistants","36,555","30,600","31,400"
"33101 Medical laboratory assistants and related technical occupations","20,025","44,800","43,920"
"33102 Nurse aides, orderlies and patient service associates","337,655","36,000","36,520"
"33103 Pharmacy technical assistants and pharmacy assistants","30,980","28,800","29,240"
"33109 Other assisting occupations in support of health services","35,540","30,200","35,280"
"4 Occupations in education, law and social, community and government services","2,302,980","54,400","62,600"
"40 Managers in public administration, in education and social and community services and in public protection services","133,680","95,000","93,400"
"400 Managers in public administration, in education and social and community services and in public protection services","133,680","95,000","93,400"
"4001 Managers in public administration","26,840","105,000","108,500"
"40010 Government managers - health and social policy development and program administration","8,015","105,000","106,200"
"40011 Government managers - economic analysis, policy development and program administration","11,845","108,000","115,400"
"40012 Government managers - education policy development and program administration","1,965","97,000","98,200"
"40019 Other managers in public administration","5,010","101,000","99,900"
"4002 Managers in education","49,355","108,000","102,600"
"40020 Administrators - post-secondary education and vocational training","17,785","88,000","92,800"
"40021 School principals and administrators of elementary and secondary education","31,570","114,000","108,100"
"4003 Managers in social, community and correctional services","34,225","64,000","69,400"
"40030 Managers in social, community and correctional services","34,225","64,000","69,400"
"4004 Managers in public protection services","23,265","95,000","91,800"
"40040 Commissioned police officers and related occupations in public protection services","2,170","130,000","131,000"
"40041 Fire chiefs and senior firefighting officers","2,690","116,000","113,500"
"40042 Commissioned officers of the Canadian Armed Forces","18,410","88,000","84,000"
"41 Professional occupations in law, education, social, community and government services","1,224,880","69,500","73,900"
"411 Professional occupations in law","99,570","108,000","151,400"
"4110 Judges, lawyers and Quebec notaries","99,570","108,000","151,400"
"41100 Judges","3,240","278,000","260,000"
"41101 Lawyers and Quebec notaries","96,330","105,000","147,800"
"412 Professional occupations in education services","724,325","69,500","66,100"
"4120 University professors and post-secondary assistants","174,685","38,400","62,550"
"41200 University professors and lecturers","74,610","109,000","109,000"
"41201 Post-secondary teaching and research assistants","100,070","13,600","27,920"
"4121 College and other vocational instructors","100,410","67,500","64,900"
"41210 College and other vocational instructors","100,410","67,500","64,900"
"4122 Secondary, elementary and kindergarten school teachers","449,230","76,000","67,700"
"41220 Secondary school teachers","153,335","82,000","72,000"
"41221 Elementary school and kindergarten teachers","295,900","73,000","65,500"
"413 Professional occupations in social and community services","175,420","60,000","59,250"
"4130 Social and community service professionals","127,980","59,200","57,650"
"41300 Social workers","66,005","67,500","64,500"
"41301 Therapists in counselling and related specialized therapies","34,175","50,000","50,920"
"41302 Religious leaders","27,810","48,800","49,760"
"4131 Police investigators and probation officers","8,895","87,000","89,600"
"41310 Police investigators and other investigative occupations","3,610","119,000","111,600"
"41311 Probation and parole officers","5,280","80,000","74,600"
"4132 Educational and employment counsellors","38,550","56,800","57,550"
"41320 Educational counsellors","26,965","62,400","60,600"
"41321 Career development practitioners and career counsellors (except education)","11,585","49,600","50,440"
"414 Professional occupations in government services","225,565","70,500","76,000"
"4140 Policy and program researchers, consultants and officers","225,565","70,500","76,000"
"41400 Natural and applied science policy researchers, consultants and program officers","35,545","78,500","82,500"
"41401 Economists and economic policy researchers and analysts","22,635","89,000","107,600"
"41402 Business development officers and market researchers and analysts","41,410","68,000","81,900"
"41403 Social policy researchers, consultants and program officers","42,115","68,500","68,000"
"41404 Health policy researchers, consultants and program officers","27,115","70,000","70,900"
"41405 Education policy researchers, consultants and program officers","26,390","65,000","63,150"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","10,160","48,400","50,240"
"41407 Program officers unique to government","13,575","74,000","76,300"
"41409 Other professional occupations in social science","6,615","55,600","57,750"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","582,050","40,400","48,840"
"421 Occupations in front-line public protection services","108,275","109,000","103,100"
"4210 Occupations in front-line public protection services","108,275","109,000","103,100"
"42100 Police officers (except commissioned)","73,090","109,000","104,000"
"42101 Firefighters","33,575","109,000","102,700"
"42102 Specialized members of the Canadian Armed Forces","1,610","72,500","70,200"
"422 Paraprofessional occupations in legal, social, community and education services","473,765","34,000","36,440"
"4220 Paraprofessional occupations in legal, social, community and education services","473,765","34,000","36,440"
"42200 Paralegals and related occupations","31,205","53,600","55,650"
"42201 Social and community service workers","176,975","43,600","43,560"
"42202 Early childhood educators and assistants","224,080","25,200","27,360"
"42203 Instructors of persons with disabilities","33,340","43,600","43,320"
"42204 Religion workers","8,175","22,400","30,080"
"43 Assisting occupations in education and in legal and public protection","223,890","37,200","44,280"
"431 Assisting occupations in educational","138,035","26,400","26,840"
"4310 Assisting occupations in education","138,035","26,400","26,840"
"43100 Elementary and secondary school teacher assistants","104,550","30,400","29,920"
"43109 Other instructors","33,475","7,400","17,140"
"432 Assisting occupations in legal and public protection","85,855","74,000","72,300"
"4320 Assisting occupations in legal and public protection","85,855","74,000","72,300"
"43200 Sheriffs and bailiffs","5,290","68,000","65,300"
"43201 Correctional service officers","24,605","82,000","78,400"
"43202 By-law enforcement and other regulatory officers","10,520","65,500","63,450"
"43203 Border services, customs, and immigration officers","10,285","85,000","75,100"
"43204 Operations members of the Canadian Armed Forces","35,160","71,500","71,000"
"44 Care providers and legal and public protection support occupations","108,225","17,800","23,820"
"441 Home care provider occupations","99,060","16,000","21,860"
"4410 Home care provider occupations","99,060","16,000","21,860"
"44100 Home child care providers","49,205","10,300","16,200"
"44101 Home support workers, caregivers and related occupations","49,850","23,600","27,440"
"442 Primary combat members of the Canadian Armed Forces","9,170","45,600","44,960"
"4420 Primary combat members of the Canadian Armed Forces","9,170","45,600","44,960"
"44200 Primary combat members of the Canadian Armed Forces","9,170","45,600","44,960"
"45 Student monitors, crossing guards and related occupations","30,255","6,320","10,580"
"451 Student monitors, crossing guards and related occupations","30,255","6,320","10,580"
"4510 Student monitors, crossing guards and related occupations","30,255","6,320","10,580"
"45100 Student monitors, crossing guards and related occupations","30,255","6,320","10,580"
"5 Occupations in art, culture, recreation and sport","581,980","24,400","38,280"
"50 Specialized middle management occupations in art, culture, recreation and sport","25,355","55,600","67,700"
"500 Specialized middle management occupations in art, culture, recreation and sport","25,355","55,600","67,700"
"5001 Managers in art, culture, recreation and sport","25,355","55,600","67,700"
"50010 Library, archive, museum and art gallery managers","4,815","62,400","66,500"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","7,820","60,400","74,300"
"50012 Recreation, sports and fitness program and service directors","12,720","50,800","64,000"
"51 Professional occupations in art and culture","147,870","32,400","43,600"
"511 Professional occupations in art and culture","147,870","32,400","43,600"
"5110 Librarians, archivists, conservators and curators","12,520","64,000","62,000"
"51100 Librarians","8,945","68,000","65,400"
"51101 Conservators and curators","2,005","54,000","53,050"
"51102 Archivists","1,565","54,800","53,750"
"5111 Writing, translating and related communications professionals","71,035","38,000","44,600"
"51110 Editors","13,855","38,800","43,000"
"51111 Authors and writers (except technical)","21,690","20,200","35,000"
"51112 Technical writers","8,325","66,500","66,300"
"51113 Journalists","10,270","51,200","55,400"
"51114 Translators, terminologists and interpreters","16,890","34,000","41,000"
"5112 Creative and performing artists","64,310","20,400","38,920"
"51120 Producers, directors, choreographers and related occupations","31,925","52,000","60,050"
"51121 Conductors, composers and arrangers","3,255","15,100","27,840"
"51122 Musicians and singers","29,130","8,100","17,000"
"52 Technical occupations in art, culture and sport","189,280","42,400","49,800"
"521 Technical occupations in art and culture","189,280","42,400","49,800"
"5210 Technical occupations in libraries and public archives","9,990","42,000","42,080"
"52100 Library and public archive technicians","9,990","42,000","42,080"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","76,040","48,800","57,300"
"52110 Film and video camera operators","5,050","26,800","36,720"
"52111 Graphic arts technicians","12,135","51,600","62,050"
"52112 Broadcast technicians","1,845","70,500","67,900"
"52113 Audio and video recording technicians","25,070","39,200","43,200"
"52114 Announcers and other broadcasters","4,725","44,800","61,750"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","27,220","62,400","70,400"
"5212 Graphic and interior designers","103,250","38,400","45,080"
"52120 Graphic designers and illustrators","76,660","40,800","46,920"
"52121 Interior designers and interior decorators","26,585","31,600","39,720"
"53 Occupations in art, culture and sport","116,775","12,700","26,880"
"531 Occupations in art and culture","98,280","11,900","23,760"
"5310 Occupations related to museums and art galleries","6,105","13,600","22,220"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","6,105","13,600","22,220"
"5311 Photographers and support occupations in arts and culture","27,735","18,000","27,800"
"53110 Photographers","15,710","10,800","21,860"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","12,025","30,600","35,600"
"5312 Occupations in creative and performing art","64,440","9,600","22,160"
"53120 Dancers","8,535","7,450","14,480"
"53121 Actors, comedians and circus performers","13,970","7,600","21,500"
"53122 Painters, sculptors and other visual artists","14,975","6,040","16,020"
"53123 Theatre, fashion, exhibit and other creative designers","12,195","29,600","39,920"
"53124 Artisans and craftspersons","14,120","9,300","17,980"
"53125 Patternmakers - textile, leather and fur products","635","34,000","35,800"
"532 Occupations in sports","18,500","17,600","43,440"
"5320 Athletes, coaches, referees and related occupations","18,500","17,600","43,440"
"53200 Athletes","2,800","17,200","98,400"
"53201 Coaches","13,940","21,200","35,480"
"53202 Sports officials and referees","1,760","3,680","18,940"
"54 Support occupations in sport","99,150","6,650","14,720"
"541 Support occupations in sport","99,150","6,650","14,720"
"5410 Program leaders and instructors in recreation, sport and fitness","99,150","6,650","14,720"
"54100 Program leaders and instructors in recreation, sport and fitness","99,150","6,650","14,720"
"55 Support occupations in art and culture","3,540","8,900","25,500"
"551 Support occupations in art and culture","3,540","8,900","25,500"
"5510 Support occupations in art and culture","3,540","8,900","25,500"
"55109 Other performers","3,540","8,900","25,500"
"6 Sales and service occupations","4,511,690","21,800","34,040"
"60 Middle management occupations in retail and wholesale trade and customer services","643,530","48,800","63,750"
"600 Middle management occupations in retail and wholesale trade and customer services","643,530","48,800","63,750"
"6001 Corporate sales managers","76,935","97,000","113,600"
"60010 Corporate sales managers","76,935","97,000","113,600"
"6002 Retail and wholesale trade managers","377,880","50,400","64,700"
"60020 Retail and wholesale trade managers","377,880","50,400","64,700"
"6003 Managers in food service and accommodation","163,895","34,000","41,720"
"60030 Restaurant and food service managers","138,395","33,200","40,280"
"60031 Accommodation service managers","25,505","40,000","49,600"
"6004 Managers in customer and personal services","24,825","31,000","40,800"
"60040 Managers in customer and personal services","24,825","31,000","40,800"
"62 Retail sales and service supervisors and specialized occupations in sales and services","331,705","35,600","47,480"
"620 Retail sales and service supervisors","175,510","33,200","38,560"
"6201 Retail sales supervisors","61,520","33,600","38,760"
