NOC21_2 digit,NOC21_5 digit
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",74205 Public works maintenance equipment operators and related workers
"75 Helpers and labourers and other transport drivers, operators and labourers",75100 Longshore workers
"75 Helpers and labourers and other transport drivers, operators and labourers",75101 Material handlers
"75 Helpers and labourers and other transport drivers, operators and labourers",75110 Construction trades helpers and labourers
"75 Helpers and labourers and other transport drivers, operators and labourers",75119 Other trades helpers and labourers
"75 Helpers and labourers and other transport drivers, operators and labourers",75200 Taxi and limousine drivers and chauffeurs
"75 Helpers and labourers and other transport drivers, operators and labourers",75201 Delivery service drivers and door-to-door distributors
"75 Helpers and labourers and other transport drivers, operators and labourers",75210 Boat and cable ferry operators and related occupations
"75 Helpers and labourers and other transport drivers, operators and labourers",75211 Railway and motor transport labourers
"75 Helpers and labourers and other transport drivers, operators and labourers",75212 Public works and maintenance labourers
80 Middle management occupations in production and agriculture,80010 Managers in natural resources production and fishing
80 Middle management occupations in production and agriculture,80020 Managers in agriculture
80 Middle management occupations in production and agriculture,80021 Managers in horticulture
80 Middle management occupations in production and agriculture,80022 Managers in aquaculture
"82 Supervisors in natural resources, agriculture and related production","82010 Supervisors, logging and forestry"
"82 Supervisors in natural resources, agriculture and related production","82020 Supervisors, mining and quarrying"
"82 Supervisors in natural resources, agriculture and related production","82021 Contractors and supervisors, oil and gas drilling and services"
"82 Supervisors in natural resources, agriculture and related production",82030 Agricultural service contractors and farm supervisors
"82 Supervisors in natural resources, agriculture and related production","82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
83 Occupations in natural resources and related production,83100 Underground production and development miners
83 Occupations in natural resources and related production,"83101 Oil and gas well drillers, servicers, testers and related workers"
83 Occupations in natural resources and related production,83110 Logging machinery operators
83 Occupations in natural resources and related production,83120 Fishing masters and officers
83 Occupations in natural resources and related production,83121 Fishermen/women
"84 Workers in natural resources, agriculture and related production",84100 Underground mine service and support workers
"84 Workers in natural resources, agriculture and related production",84101 Oil and gas well drilling and related workers and services operators
"84 Workers in natural resources, agriculture and related production",84110 Chain saw and skidder operators
"84 Workers in natural resources, agriculture and related production",84111 Silviculture and forestry workers
"84 Workers in natural resources, agriculture and related production",84120 Specialized livestock workers and farm machinery operators
"84 Workers in natural resources, agriculture and related production",84121 Fishing vessel deckhands
"85 Harvesting, landscaping and natural resources labourers",85100 Livestock labourers
"85 Harvesting, landscaping and natural resources labourers",85101 Harvesting labourers
"85 Harvesting, landscaping and natural resources labourers",85102 Aquaculture and marine harvest labourers
"85 Harvesting, landscaping and natural resources labourers",85103 Nursery and greenhouse labourers
"85 Harvesting, landscaping and natural resources labourers",85104 Trappers and hunters
"85 Harvesting, landscaping and natural resources labourers",85110 Mine labourers
"85 Harvesting, landscaping and natural resources labourers","85111 Oil and gas drilling, servicing and related labourers"
"85 Harvesting, landscaping and natural resources labourers",85120 Logging and forestry labourers
"85 Harvesting, landscaping and natural resources labourers",85121 Landscaping and grounds maintenance labourers
90 Middle management occupations in manufacturing and utilities,90010 Manufacturing managers
90 Middle management occupations in manufacturing and utilities,90011 Utilities managers
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92010 Supervisors, mineral and metal processing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92011 Supervisors, petroleum, gas and chemical processing and utilities"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92012 Supervisors, food and beverage processing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92013 Supervisors, plastic and rubber products manufacturing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92014 Supervisors, forest products processing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92020 Supervisors, motor vehicle assembling"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92021 Supervisors, electronics and electrical products manufacturing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92022 Supervisors, furniture and fixtures manufacturing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92023 Supervisors, other mechanical and metal products manufacturing"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","92024 Supervisors, other products manufacturing and assembly"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers",92100 Power engineers and power systems operators
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers",92101 Water and waste treatment plant operators
93 Central control and process operators and aircraft assembly assemblers and inspectors,"93100 Central control and process operators, mineral and metal processing"
93 Central control and process operators and aircraft assembly assemblers and inspectors,"93101 Central control and process operators, petroleum, gas and chemical processing"
93 Central control and process operators and aircraft assembly assemblers and inspectors,"93102 Pulping, papermaking and coating control operators"
93 Central control and process operators and aircraft assembly assemblers and inspectors,93200 Aircraft assemblers and aircraft assembly inspectors
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94100 Machine operators, mineral and metal processing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94101 Foundry workers
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94102 Glass forming and finishing machine operators and glass cutters
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94103 Concrete, clay and stone forming operators"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94104 Inspectors and testers, mineral and metal processing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94105 Metalworking and forging machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94106 Machining tool operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94107 Machine operators of other metal products
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94110 Chemical plant machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94111 Plastics processing machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94112 Rubber processing machine operators and related workers
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94120 Sawmill machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94121 Pulp mill, papermaking and finishing machine operators"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94122 Paper converting machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94123 Lumber graders and other wood processing inspectors and graders
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94124 Woodworking machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94129 Other wood processing machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94130 Textile fibre and yarn, hide and pelt processing machine operators and workers"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94131 Weavers, knitters and other fabric making occupations"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94132 Industrial sewing machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94140 Process control and machine operators, food and beverage processing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94141 Industrial butchers and meat cutters, poultry preparers and related workers"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94142 Fish and seafood plant workers
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94143 Testers and graders, food and beverage processing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94150 Plateless printing equipment operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94151 Camera, platemaking and other prepress occupations"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94152 Binding and finishing machine operators
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94153 Photographic and film processors
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94200 Motor vehicle assemblers, inspectors and testers"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94201 Electronics assemblers, fabricators, inspectors and testers"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94204 Mechanical assemblers and inspectors
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94205 Machine operators and inspectors, electrical apparatus manufacturing"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94210 Furniture and fixture assemblers, finishers, refinishers and inspectors"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",94211 Assemblers and inspectors of other wood products
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94212 Plastic products assemblers, finishers and inspectors"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94213 Industrial painters, coaters and metal finishing process operators"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","94219 Other products assemblers, finishers and inspectors"
"95 Labourers in processing, manufacturing and utilities",95100 Labourers in mineral and metal processing
"95 Labourers in processing, manufacturing and utilities",95101 Labourers in metal fabrication
"95 Labourers in processing, manufacturing and utilities",95102 Labourers in chemical products processing and utilities
"95 Labourers in processing, manufacturing and utilities","95103 Labourers in wood, pulp and paper processing"
"95 Labourers in processing, manufacturing and utilities",95104 Labourers in rubber and plastic products manufacturing
"95 Labourers in processing, manufacturing and utilities",95105 Labourers in textile processing and cutting
"95 Labourers in processing, manufacturing and utilities",95106 Labourers in food and beverage processing
"95 Labourers in processing, manufacturing and utilities",95107 Labourers in fish and seafood processing
"95 Labourers in processing, manufacturing and utilities","95109 Other labourers in processing, manufacturing and utilities"
