NOC21_2 digit,NOC21_5 digit
21 Professional occupations in natural and applied sciences,21234 Web developers and programmers
21 Professional occupations in natural and applied sciences,21300 Civil engineers
21 Professional occupations in natural and applied sciences,21301 Mechanical engineers
21 Professional occupations in natural and applied sciences,21310 Electrical and electronics engineers
21 Professional occupations in natural and applied sciences,21311 Computer engineers (except software engineers and designers)
21 Professional occupations in natural and applied sciences,21320 Chemical engineers
21 Professional occupations in natural and applied sciences,21321 Industrial and manufacturing engineers
21 Professional occupations in natural and applied sciences,21322 Metallurgical and materials engineers
21 Professional occupations in natural and applied sciences,21330 Mining engineers
21 Professional occupations in natural and applied sciences,21331 Geological engineers
21 Professional occupations in natural and applied sciences,21332 Petroleum engineers
21 Professional occupations in natural and applied sciences,21390 Aerospace engineers
21 Professional occupations in natural and applied sciences,21399 Other professional engineers
22 Technical occupations related to natural and applied sciences,22100 Chemical technologists and technicians
22 Technical occupations related to natural and applied sciences,22101 Geological and mineral technologists and technicians
22 Technical occupations related to natural and applied sciences,22110 Biological technologists and technicians
22 Technical occupations related to natural and applied sciences,22111 Agricultural and fish products inspectors
22 Technical occupations related to natural and applied sciences,22112 Forestry technologists and technicians
22 Technical occupations related to natural and applied sciences,22113 Conservation and fishery officers
22 Technical occupations related to natural and applied sciences,22114 Landscape and horticulture technicians and specialists
22 Technical occupations related to natural and applied sciences,22210 Architectural technologists and technicians
22 Technical occupations related to natural and applied sciences,22211 Industrial designers
22 Technical occupations related to natural and applied sciences,22212 Drafting technologists and technicians
22 Technical occupations related to natural and applied sciences,22213 Land survey technologists and technicians
22 Technical occupations related to natural and applied sciences,22214 Technical occupations in geomatics and meteorology
22 Technical occupations related to natural and applied sciences,22220 Computer network and web technicians
22 Technical occupations related to natural and applied sciences,22221 User support technicians
22 Technical occupations related to natural and applied sciences,22222 Information systems testing technicians
22 Technical occupations related to natural and applied sciences,22230 Non-destructive testers and inspectors
22 Technical occupations related to natural and applied sciences,22231 Engineering inspectors and regulatory officers
22 Technical occupations related to natural and applied sciences,22232 Occupational health and safety specialists
22 Technical occupations related to natural and applied sciences,22233 Construction inspectors
22 Technical occupations related to natural and applied sciences,22300 Civil engineering technologists and technicians
22 Technical occupations related to natural and applied sciences,22301 Mechanical engineering technologists and technicians
22 Technical occupations related to natural and applied sciences,22302 Industrial engineering and manufacturing technologists and technicians
22 Technical occupations related to natural and applied sciences,22303 Construction estimators
22 Technical occupations related to natural and applied sciences,22310 Electrical and electronics engineering technologists and technicians
22 Technical occupations related to natural and applied sciences,22311 Electronic service technicians (household and business equipment)
22 Technical occupations related to natural and applied sciences,22312 Industrial instrument technicians and mechanics
22 Technical occupations related to natural and applied sciences,"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
30 Specialized middle management occupations in health care,30010 Managers in health care
31 Professional occupations in health,31100 Specialists in clinical and laboratory medicine
