Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
"141 Office, court, and data support occupations","1,970","31,200","31,560",Prince Edward Island
1410 Office support and court services occupations,"1,630","32,800","32,120",Prince Edward Island
14100 General office support workers,"1,015","35,600","33,900",Prince Edward Island
14101 Receptionists,500,"24,000","24,300",Prince Edward Island
14102 Personnel clerks,85,"56,800","51,000",Prince Edward Island
14103 Court clerks and related court services occupations,25,0,"52,000",Prince Edward Island
"1411 Survey, statistical and data entry occupations",340,"25,800","28,800",Prince Edward Island
14110 Survey interviewers and statistical clerks,95,"17,200","29,600",Prince Edward Island
14111 Data entry clerks,245,"27,200","28,400",Prince Edward Island
14112 Desktop publishing operators and related occupations,0,0,0,Prince Edward Island
"142 Financial, insurance and related administrative support workers",745,"42,800","39,300",Prince Edward Island
"1420 Financial, insurance and related administrative support workers",745,"42,800","39,300",Prince Edward Island
14200 Accounting and related clerks,665,"42,400","38,400",Prince Edward Island
"14201 Banking, insurance and other financial clerks",65,"53,200","48,000",Prince Edward Island
14202 Collection clerks,0,0,0,Prince Edward Island
"143 Library, correspondence and other clerks",70,"36,800","33,000",Prince Edward Island
"1430 Library, correspondence and other clerks",70,"36,800","33,000",Prince Edward Island
14300 Library assistants and clerks,35,"16,200","24,000",Prince Edward Island
"14301 Correspondence, publication and regulatory clerks",40,0,"44,000",Prince Edward Island
"144 Supply chain logistics, tracking and scheduling coordination occupations",720,"38,800","38,600",Prince Edward Island
"1440 Supply chain logistics, tracking and scheduling coordination occupations",720,"38,800","38,600",Prince Edward Island
14400 Shippers and receivers,330,"37,200","37,400",Prince Edward Island
14401 Storekeepers and partspersons,130,"45,600","40,000",Prince Edward Island
14402 Production logistics workers,25,0,"34,000",Prince Edward Island
14403 Purchasing and inventory control workers,120,"38,000","35,500",Prince Edward Island
14404 Dispatchers,100,"53,200","45,000",Prince Edward Island
14405 Transportation route and crew schedulers,0,0,0,Prince Edward Island
2 Natural and applied sciences and related occupations,"4,995","58,800","61,400",Prince Edward Island
"20 Specialized middle management occupations in engineering, architecture, science and information systems",365,"93,000","92,800",Prince Edward Island
"200 Specialized middle management occupations in engineering, architecture, science and information systems",365,"93,000","92,800",Prince Edward Island
"2001 Managers in engineering, architecture, science and information systems",365,"93,000","92,800",Prince Edward Island
20010 Engineering managers,35,"100,000","110,000",Prince Edward Island
20011 Architecture and science managers,55,"81,000","80,000",Prince Edward Island
20012 Computer and information systems managers,275,"93,000","93,000",Prince Edward Island
21 Professional occupations in natural and applied sciences,"2,585","62,800","66,800",Prince Edward Island
211 Professional occupations in natural sciences,545,"58,000","58,800",Prince Edward Island
2110 Physical science professionals,160,"58,000","53,200",Prince Edward Island
21100 Physicists and astronomers,0,0,0,Prince Edward Island
21101 Chemists,155,"58,000","54,000",Prince Edward Island
21102 Geoscientists and oceanographers,0,0,0,Prince Edward Island
21103 Meteorologists and climatologists,0,0,0,Prince Edward Island
21109 Other professional occupations in physical sciences,0,0,0,Prince Edward Island
2111 Life science professionals,280,"58,400","60,400",Prince Edward Island
21110 Biologists and related scientists,220,"58,400","60,800",Prince Edward Island
21111 Forestry professionals,15,0,"50,000",Prince Edward Island
"21112 Agricultural representatives, consultants and specialists",50,"58,000","60,000",Prince Edward Island
2112 Public and environmental health and safety professionals,105,"57,200","63,000",Prince Edward Island
21120 Public and environmental health and safety professionals,105,"57,200","63,000",Prince Edward Island
