Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
14103 Court clerks and related court services occupations,140,"52,000","52,000",Manitoba
"1411 Survey, statistical and data entry occupations","2,750","28,600","30,040",Manitoba
14110 Survey interviewers and statistical clerks,785,"20,800","24,320",Manitoba
14111 Data entry clerks,"1,935","32,400","32,360",Manitoba
14112 Desktop publishing operators and related occupations,30,"38,000","30,000",Manitoba
"142 Financial, insurance and related administrative support workers","8,310","40,800","40,800",Manitoba
"1420 Financial, insurance and related administrative support workers","8,310","40,800","40,800",Manitoba
14200 Accounting and related clerks,"7,025","40,400","40,760",Manitoba
"14201 Banking, insurance and other financial clerks",950,"43,600","41,900",Manitoba
14202 Collection clerks,335,"38,400","38,000",Manitoba
"143 Library, correspondence and other clerks","1,110","41,200","40,300",Manitoba
"1430 Library, correspondence and other clerks","1,110","41,200","40,300",Manitoba
14300 Library assistants and clerks,505,"23,400","27,200",Manitoba
"14301 Correspondence, publication and regulatory clerks",610,"51,600","51,000",Manitoba
"144 Supply chain logistics, tracking and scheduling coordination occupations","8,460","40,000","41,560",Manitoba
"1440 Supply chain logistics, tracking and scheduling coordination occupations","8,460","40,000","41,560",Manitoba
14400 Shippers and receivers,"3,915","36,000","36,520",Manitoba
14401 Storekeepers and partspersons,"1,665","46,000","45,080",Manitoba
14402 Production logistics workers,375,"48,800","50,800",Manitoba
14403 Purchasing and inventory control workers,"1,215","38,800","37,800",Manitoba
14404 Dispatchers,"1,150","46,400","53,200",Manitoba
14405 Transportation route and crew schedulers,150,"49,600","54,000",Manitoba
2 Natural and applied sciences and related occupations,"38,710","68,500","73,700",Manitoba
"20 Specialized middle management occupations in engineering, architecture, science and information systems","2,340","101,000","107,800",Manitoba
"200 Specialized middle management occupations in engineering, architecture, science and information systems","2,340","101,000","107,800",Manitoba
"2001 Managers in engineering, architecture, science and information systems","2,340","101,000","107,800",Manitoba
20010 Engineering managers,605,"106,000","108,800",Manitoba
20011 Architecture and science managers,300,"84,000","99,000",Manitoba
20012 Computer and information systems managers,"1,430","103,000","109,300",Manitoba
21 Professional occupations in natural and applied sciences,"19,560","75,000","81,600",Manitoba
211 Professional occupations in natural sciences,"3,315","67,000","69,200",Manitoba
2110 Physical science professionals,600,"66,500","73,200",Manitoba
21100 Physicists and astronomers,45,"73,000","88,000",Manitoba
21101 Chemists,340,"59,600","62,600",Manitoba
21102 Geoscientists and oceanographers,195,"85,000","87,000",Manitoba
21103 Meteorologists and climatologists,15,0,"90,000",Manitoba
21109 Other professional occupations in physical sciences,0,0,0,Manitoba
2111 Life science professionals,"1,990","69,500","70,200",Manitoba
21110 Biologists and related scientists,"1,185","69,000","71,400",Manitoba
21111 Forestry professionals,30,0,"85,000",Manitoba
"21112 Agricultural representatives, consultants and specialists",775,"70,000","67,600",Manitoba
2112 Public and environmental health and safety professionals,720,"64,000","63,300",Manitoba
21120 Public and environmental health and safety professionals,720,"64,000","63,300",Manitoba
212 Professional occupations in applied sciences (except engineering),"10,820","73,500","77,300",Manitoba
"2120 Architects, urban planners and land surveyors","1,160","67,000","71,800",Manitoba
21200 Architects,475,"68,000","80,800",Manitoba
21201 Landscape architects,80,"52,400","43,000",Manitoba
21202 Urban and land use planners,400,"67,000","64,800",Manitoba
21203 Land surveyors,205,"71,000","76,000",Manitoba
