"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"51100 Librarians","130","65,000","64,000"
"51101 Conservators and curators","10","0","40,000"
"51102 Archivists","0","0","0"
"5111 Writing, translating and related communications professionals","445","43,600","47,200"
"51110 Editors","95","25,400","33,500"
"51111 Authors and writers (except technical)","165","17,000","40,800"
"51112 Technical writers","40","74,500","74,000"
"51113 Journalists","115","54,800","60,000"
"51114 Translators, terminologists and interpreters","30","28,400","40,000"
"5112 Creative and performing artists","610","13,400","29,600"
"51120 Producers, directors, choreographers and related occupations","210","47,200","61,200"
"51121 Conductors, composers and arrangers","20","0","14,000"
"51122 Musicians and singers","385","8,600","13,050"
"52 Technical occupations in art, culture and sport","975","40,800","42,800"
"521 Technical occupations in art and culture","975","40,800","42,800"
"5210 Technical occupations in libraries and public archives","140","39,600","38,500"
"52100 Library and public archive technicians","140","39,600","38,500"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","400","46,800","51,400"
"52110 Film and video camera operators","25","0","52,000"
"52111 Graphic arts technicians","15","0","36,000"
"52112 Broadcast technicians","30","48,800","48,000"
"52113 Audio and video recording technicians","85","19,800","36,500"
"52114 Announcers and other broadcasters","75","51,200","56,000"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","160","51,200","59,600"
"5212 Graphic and interior designers","435","36,800","36,200"
"52120 Graphic designers and illustrators","320","36,800","36,200"
"52121 Interior designers and interior decorators","120","35,200","36,000"
"53 Occupations in art, culture and sport","1,185","9,200","18,200"
"531 Occupations in art and culture","1,045","9,300","17,200"
"5310 Occupations related to museums and art galleries","255","10,400","14,700"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","255","10,400","14,700"
"5311 Photographers and support occupations in arts and culture","195","12,700","22,200"
"53110 Photographers","150","12,400","14,400"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","45","35,200","46,000"
"5312 Occupations in creative and performing art","590","7,850","16,700"
"53120 Dancers","80","12,500","19,500"
"53121 Actors, comedians and circus performers","105","5,680","19,200"
"53122 Painters, sculptors and other visual artists","100","3,720","9,200"
"53123 Theatre, fashion, exhibit and other creative designers","35","15,500","28,000"
"53124 Artisans and craftspersons","270","7,550","16,200"
"53125 Patternmakers - textile, leather and fur products","0","0","0"
"532 Occupations in sports","140","8,700","26,000"
"5320 Athletes, coaches, referees and related occupations","140","8,700","26,000"
"53200 Athletes","0","0","0"
"53201 Coaches","80","34,400","41,000"
"53202 Sports officials and referees","50","2,900","2,200"
"54 Support occupations in sport","1,215","5,160","12,600"
"541 Support occupations in sport","1,215","5,160","12,600"
"5410 Program leaders and instructors in recreation, sport and fitness","1,215","5,160","12,600"
"54100 Program leaders and instructors in recreation, sport and fitness","1,215","5,160","12,600"
"55 Support occupations in art and culture","15","0","7,000"
"551 Support occupations in art and culture","15","0","7,000"
"5510 Support occupations in art and culture","15","0","7,000"
"55109 Other performers","15","0","7,000"
"6 Sales and service occupations","60,385","20,000","29,080"
"60 Middle management occupations in retail and wholesale trade and customer services","8,240","45,200","58,850"
"600 Middle management occupations in retail and wholesale trade and customer services","8,240","45,200","58,850"
"6001 Corporate sales managers","480","92,000","100,800"
"60010 Corporate sales managers","480","92,000","100,800"
"6002 Retail and wholesale trade managers","5,280","49,200","63,250"
"60020 Retail and wholesale trade managers","5,280","49,200","63,250"
"6003 Managers in food service and accommodation","2,240","32,400","41,480"
"60030 Restaurant and food service managers","1,705","33,200","42,800"
"60031 Accommodation service managers","540","25,800","37,400"
"6004 Managers in customer and personal services","240","34,800","41,200"
"60040 Managers in customer and personal services","240","34,800","41,200"
"62 Retail sales and service supervisors and specialized occupations in sales and services","3,525","30,200","39,920"
"620 Retail sales and service supervisors","2,270","27,400","31,960"
"6201 Retail sales supervisors","910","28,600","31,650"
"62010 Retail sales supervisors","910","28,600","31,650"
"6202 Service supervisors","1,360","26,800","32,160"
"62020 Food service supervisors","975","25,000","27,200"
"62021 Executive housekeepers","25","0","44,000"
"62022 Accommodation, travel, tourism and related services supervisors","35","34,400","32,000"
"62023 Customer and information services supervisors","85","45,600","51,000"
"62024 Cleaning supervisors","110","31,400","39,000"
"62029 Other services supervisors","135","42,800","49,000"
"621 Specialized sales occupations","630","59,600","68,000"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","630","59,600","68,000"
"62100 Technical sales specialists - wholesale trade","285","84,000","99,000"
"62101 Retail and wholesale buyers","345","42,400","42,400"
"622 Specialized services occupations","625","28,800","40,400"
"6220 Specialized occupations in services","625","28,800","40,400"
"62200 Chefs","480","27,200","37,600"
"62201 Funeral directors and embalmers","130","46,000","55,000"
"62202 Jewellers, jewellery and watch repairers and related occupations","15","0","6,000"
"63 Occupations in sales and services","7,430","21,000","31,280"
"631 Occupations in sales","1,640","47,600","64,000"
"6310 Insurance, real estate and financial sales occupations","1,640","47,600","64,000"
"63100 Insurance agents and brokers","750","52,800","78,600"
"63101 Real estate agents and salespersons","460","41,200","53,800"
"63102 Financial sales representatives","430","47,200","49,400"
"632 Occupations in services","5,790","16,800","22,040"
"6320 Cooks, butchers and bakers","3,885","19,400","25,020"
"63200 Cooks","2,965","18,600","25,440"
"63201 Butchers - retail and wholesale","100","31,200","28,000"
"63202 Bakers","815","25,000","23,120"
"6321 Hairstylists and estheticians","1,885","12,200","15,840"
"63210 Hairstylists and barbers","1,240","12,100","16,680"
"63211 Estheticians, electrologists and related occupations","645","12,300","14,160"
"6322 Shoe repairers, shoemakers and upholsterers","25","0","28,000"
"63220 Shoe repairers and shoemakers","0","0","0"
"63221 Upholsterers","20","0","24,000"
"64 Sales and service representatives and other customer and personal services occupations","15,570","21,600","27,600"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","8,490","18,800","25,800"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","8,490","18,800","25,800"
"64100 Retail salespersons and visual merchandisers","8,075","17,800","24,160"
"64101 Sales and account representatives - wholesale trade (non-technical)","415","54,400","57,600"
"642 Occupations in personal service","85","7,100","16,400"
"6420 Occupations in personal service","85","7,100","16,400"
"64200 Tailors, dressmakers, furriers and milliners","80","7,100","15,200"
"64201 Image, social and other personal consultants","0","0","0"
"643 Occupations in food, accommodation and tourism","2,020","12,600","18,620"
"6430 Occupations in food and beverage service","905","8,200","11,320"
"64300 Maîtres d'hôtel and hosts/hostesses","210","6,160","6,360"
"64301 Bartenders","700","9,600","12,780"
"6431 Occupations in travel and accommodation","865","23,600","28,550"
"64310 Travel counsellors","185","21,600","28,800"
"64311 Pursers and flight attendants","110","34,800","38,500"
"64312 Airline ticket and service agents","205","31,200","33,600"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","45","41,200","42,000"
"64314 Hotel front desk clerks","320","15,600","20,000"
"6432 Tourism and amusement services occupations","250","7,200","10,800"
"64320 Tour and travel guides","125","4,480","8,000"
"64321 Casino workers","0","0","0"
"64322 Outdoor sport and recreational guides","125","14,600","13,400"
"644 Occupations in customer, information and protective services","4,970","31,600","34,520"
"6440 Customer and information services representatives","3,130","34,000","35,800"
"64400 Customer services representatives - financial institutions","530","32,000","31,400"
"64401 Postal services representatives","140","25,200","32,500"
"64409 Other customer and information services representatives","2,455","34,800","36,920"
"6441 Security guards and related security service occupations","1,840","27,600","32,320"
"64410 Security guards and related security service occupations","1,840","27,600","32,320"
"65 Sales and service support occupations","25,615","13,000","18,280"
"651 Sales support occupations","10,885","12,100","16,020"
"6510 Cashiers and other sales support occupations","10,885","12,100","16,020"
"65100 Cashiers","7,490","11,300","14,780"
"65101 Service station attendants","215","17,000","22,000"
"65102 Store shelf stockers, clerks and order fillers","3,050","14,900","18,620"
"65109 Other sales related occupations","125","8,000","17,600"
"652 Support occupations in food, accommodation and tourism","7,735","10,500","15,660"
"6520 Food support occupations","6,830","10,600","15,660"
"65200 Food and beverage servers","1,435","9,000","11,090"
"65201 Food counter attendants, kitchen helpers and related support occupations","5,175","10,900","16,280"
"65202 Meat cutters and fishmongers - retail and wholesale","215","34,400","32,000"
"6521 Support occupations in accommodation, travel, tourism and amusement services","585","8,800","16,200"
"65210 Support occupations in accommodation, travel and facilities set-up services","20","0","18,000"
"65211 Operators and attendants in amusement, recreation and sport","560","8,700","16,100"
"6522 Support occupations in personal services","320","10,300","14,250"
"65220 Pet groomers and animal care workers","320","10,300","14,000"
"65229 Other support occupations in personal services","0","0","0"
"653 Support occupations in cleaning and related services","7,005","20,000","24,640"
"6531 Cleaners","6,395","20,000","24,720"
"65310 Light duty cleaners","3,880","19,000","23,540"
"65311 Specialized cleaners","480","16,600","21,900"
"65312 Janitors, caretakers and heavy-duty cleaners","2,025","22,400","27,640"
"6532 Service support and related occupations","610","20,800","23,900"
"65320 Dry cleaning, laundry and related occupations","275","36,800","31,600"
"65329 Other service support occupations","340","13,800","17,700"
"7 Trades, transport and equipment operators and related occupations","49,635","42,800","53,700"
"70 Middle management occupations in trades and transportation","2,385","73,000","86,500"
"700 Middle management occupations in trades and transportation","2,385","73,000","86,500"
"7001 Managers in construction and facility operation and maintenance","1,855","70,500","85,000"
"70010 Construction managers","750","86,000","103,200"
"70011 Home building and renovation managers","245","37,600","42,400"
"70012 Facility operation and maintenance managers","860","66,000","81,200"
"7002 Managers in transportation and postal and courier services","530","79,500","92,000"
"70020 Managers in transportation","485","81,000","94,400"
"70021 Postal and courier services managers","55","70,000","68,000"
"72 Technical trades and transportation officers and controllers","21,580","54,400","65,600"
"720 Technical trades contractors and supervisors","2,810","63,600","76,300"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","1,275","62,800","78,600"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","170","88,000","94,000"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","390","71,000","95,200"
"72012 Contractors and supervisors, pipefitting trades","70","79,500","104,000"
"72013 Contractors and supervisors, carpentry trades","310","52,400","56,400"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","335","52,000","66,400"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","1,540","64,000","74,400"
"72020 Contractors and supervisors, mechanic trades","270","92,000","95,000"
"72021 Contractors and supervisors, heavy equipment operator crews","755","73,500","82,600"
"72022 Supervisors, printing and related occupations","0","0","0"
"72023 Supervisors, railway transport operations","0","0","0"
"72024 Supervisors, motor transport and other ground transit operators","150","55,200","60,000"
"72025 Supervisors, mail and message distribution occupations","350","43,600","45,800"
"721 Technical industrial trades","2,365","53,200","58,900"
"7210 Machining, metal forming, shaping and erecting trades","2,365","53,200","58,900"
"72100 Machinists and machining and tooling inspectors","160","71,000","75,000"
"72101 Tool and die makers","15","0","80,000"
"72102 Sheet metal workers","280","46,000","46,800"
"72103 Boilermakers","110","58,400","61,000"
"72104 Structural metal and platework fabricators and fitters","40","38,400","44,000"
"72105 Ironworkers","435","34,800","43,200"
"72106 Welders and related machine operators","1,335","58,400","64,700"
"722 Technical electrical trades","3,140","61,600","71,500"
"7220 Technical electrical trades and electrical power line and telecommunications workers","3,140","61,600","71,500"
"72200 Electricians (except industrial and power system)","1,580","37,200","49,520"
"72201 Industrial electricians","625","111,000","106,400"
"72202 Power system electricians","135","116,000","106,000"
"72203 Electrical power line and cable workers","410","115,000","105,200"
"72204 Telecommunications line and cable installers and repairers","130","47,600","52,000"
"72205 Telecommunications equipment installation and cable television service technicians","255","67,000","60,400"
"723 Technical construction trades","5,365","33,200","39,800"
"7230 Plumbers, pipefitters and gas fitters","1,150","51,200","58,200"
"72300 Plumbers","485","52,400","51,600"
"72301 Steamfitters, pipefitters and sprinkler system installers","615","50,800","63,800"
"72302 Gas fitters","50","41,200","54,000"
"7231 Carpenters and cabinetmakers","3,890","28,200","34,040"
"72310 Carpenters","3,735","28,200","34,120"
"72311 Cabinetmakers","155","29,600","32,000"
"7232 Bricklayers and insulators","330","36,800","43,200"
"72320 Bricklayers","160","27,000","28,200"
"72321 Insulators","170","45,600","57,200"
"724 Technical maintenance trades","5,555","57,600","65,500"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","2,785","78,500","83,500"
"72400 Construction millwrights and industrial mechanics","1,230","89,000","91,800"
"72401 Heavy-duty equipment mechanics","930","76,000","80,800"
"72402 Heating, refrigeration and air conditioning mechanics","210","61,200","64,000"
"72403 Railway carmen/women","0","0","0"
"72404 Aircraft mechanics and aircraft inspectors","400","74,000","75,600"
"72405 Machine fitters","0","0","0"
"72406 Elevator constructors and mechanics","15","0","90,000"
"7241 Automotive service technicians","2,445","45,200","46,960"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","2,090","45,600","48,240"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","355","42,000","39,400"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","330","35,200","49,800"
"72420 Oil and solid fuel heating mechanics","95","47,600","55,000"
"72421 Appliance servicers and repairers","30","0","16,000"
"72422 Electrical mechanics","25","0","110,000"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","90","32,000","56,000"
"72429 Other small engine and small equipment repairers","85","28,400","30,400"
"725 Technical equipment operation trades","385","79,000","77,200"
"7250 Crane operators and water well drillers","385","79,000","77,200"
"72500 Crane operators","375","79,500","78,000"
"72501 Water well drillers","0","0","0"
"726 Transportation officers and controllers","1,755","111,000","122,300"
"7260 Transportation officers and controllers","1,755","111,000","122,300"
"72600 Air pilots, flight engineers and flying instructors","355","106,000","108,000"
"72601 Air traffic controllers and related occupations","380","153,000","148,000"
"72602 Deck officers, water transport","825","104,000","114,000"
"72603 Engineer officers, water transport","180","146,000","136,000"
"72604 Railway traffic controllers and marine traffic regulators","0","0","0"
"729 Other technical trades","210","67,000","76,500"
"7299 Other technical trades","210","67,000","76,500"
"72999 Other technical trades and related occupations","210","67,000","76,500"
"73 General trades","13,070","39,200","46,360"
"731 General construction trades","1,305","24,000","29,200"
"7310 Concrete finishers, tilesetters and plasterers","495","30,800","33,800"
"73100 Concrete finishers","165","36,400","44,000"
"73101 Tilesetters","45","17,000","22,000"
"73102 Plasterers, drywall installers and finishers and lathers","285","25,000","29,600"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","815","20,200","26,450"
"73110 Roofers and shinglers","210","19,600","26,400"
"73111 Glaziers","70","39,200","36,000"
"73112 Painters and decorators (except interior decorators)","395","15,100","24,300"
"73113 Floor covering installers","135","28,200","28,000"
"732 Building maintenance installers, servicers and repairers","2,475","31,200","37,160"
"7320 Building maintenance installers, servicers and repairers","2,475","31,200","37,160"
"73200 Residential and commercial installers and servicers","340","28,200","31,300"
"73201 General building maintenance workers and building superintendents","1,980","31,200","37,560"
"73202 Pest controllers and fumigators","50","46,000","42,000"
"73209 Other repairers and servicers","110","33,600","46,000"
"733 Transportation occupations","5,320","38,000","43,760"
"7330 Transport truck and transit drivers","5,300","38,000","43,600"
"73300 Transport truck drivers","4,190","43,600","47,640"
"73301 Bus drivers, subway operators and other transit operators","1,115","19,400","28,400"
"7331 Train crew operating occupations","0","0","0"
"73310 Railway and yard locomotive engineers","0","0","0"
"73311 Railway conductors and brakemen/women","0","0","0"
"734 Operators, drillers and blasters","3,965","52,400","61,300"
"7340 Operators, drillers and blasters","3,965","52,400","61,300"
"73400 Heavy equipment operators","3,760","52,000","60,400"
"73401 Printing press operators","25","0","40,000"
"73402 Drillers and blasters - surface mining, quarrying and construction","180","65,500","83,000"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","2,940","46,400","46,720"
"741 Mail and message distribution occupations","1,210","35,200","38,000"
"7410 Mail and message distribution occupations","1,210","35,200","38,000"
"74100 Mail and parcel sorters and related occupations","305","27,000","32,800"
"74101 Letter carriers","395","50,800","46,600"
"74102 Couriers and messengers","505","31,800","34,600"
"742 Transport equipment operators, utility maintenance and related workers","1,735","52,800","52,750"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","1,735","52,800","52,750"
"74200 Railway yard and track maintenance workers","30","60,000","60,000"
"74201 Water transport deck and engine room crew","755","65,500","66,800"
"74202 Air transport ramp attendants","320","43,200","42,000"
"74203 Automotive and heavy truck and equipment parts installers and servicers","200","31,200","35,200"
"74204 Utility maintenance workers","165","43,600","49,200"
"74205 Public works maintenance equipment operators and related workers","260","36,000","39,600"
"75 Helpers and labourers and other transport drivers, operators and labourers","9,665","22,200","31,120"
"751 Helpers and labourers","7,005","23,400","33,040"
"7510 Longshore workers and material handlers","2,255","30,400","39,160"
"75100 Longshore workers","250","27,200","39,600"
"75101 Material handlers","2,005","30,600","39,080"
"7511 Trades helpers and labourers","4,755","21,000","30,120"
"75110 Construction trades helpers and labourers","4,475","21,000","30,080"
"75119 Other trades helpers and labourers","275","21,600","31,200"
"752 Transport drivers, operators and labourers","2,660","18,000","26,160"
"7520 Taxi, personal service and delivery service drivers","1,305","15,600","20,900"
"75200 Taxi and limousine drivers and chauffeurs","380","6,450","12,680"
"75201 Delivery service drivers and door-to-door distributors","925","20,000","24,280"
"7521 Water and rail transport operators and labourers and related occupations","1,350","24,200","31,240"
"75210 Boat and cable ferry operators and related occupations","335","47,600","49,400"
"75211 Railway and motor transport labourers","45","34,000","39,000"
"75212 Public works and maintenance labourers","970","11,900","24,560"
"8 Natural resources, agriculture and related production occupations","11,905","25,000","47,240"
"80 Middle management occupations in production and agriculture","795","65,000","101,200"
"800 Middle management occupations in production and agriculture","795","65,000","101,200"
"8001 Managers in natural resources production and fishing","405","147,000","165,000"
"80010 Managers in natural resources production and fishing","405","147,000","165,000"
"8002 Managers in agriculture, horticulture and aquaculture","390","34,400","35,000"
"80020 Managers in agriculture","305","28,600","28,800"
"80021 Managers in horticulture","25","0","26,000"
"80022 Managers in aquaculture","55","58,800","74,000"
"82 Supervisors in natural resources, agriculture and related production","955","113,000","118,400"
"820 Supervisors in natural resources, agriculture and related production","955","113,000","118,400"
"8201 Supervisors, logging and forestry","80","84,000","78,000"
"82010 Supervisors, logging and forestry","80","84,000","78,000"
"8202 Contractors and supervisors, mining, oil and gas","735","129,000","138,400"
"82020 Supervisors, mining and quarrying","420","128,000","128,500"
"82021 Contractors and supervisors, oil and gas drilling and services","310","130,000","152,000"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","145","26,800","39,000"
"82030 Agricultural service contractors and farm supervisors","0","0","0"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","135","29,200","41,000"
"83 Occupations in natural resources and related production","4,445","24,600","44,640"
"831 Occupations in natural resources and fisheries","4,445","24,600","44,640"
"8310 Underground miners, oil and gas drillers and related occupations","795","112,000","116,600"
"83100 Underground production and development miners","540","105,000","103,600"
"83101 Oil and gas well drillers, servicers, testers and related workers","255","129,000","144,000"
"8311 Logging machinery operators","70","55,600","56,000"
"83110 Logging machinery operators","70","55,600","56,000"
"8312 Fishing vessel masters and fishermen/women","3,580","19,800","28,440"
"83120 Fishing masters and officers","235","66,000","99,000"
"83121 Fishermen/women","3,345","18,400","23,580"
"84 Workers in natural resources, agriculture and related production","2,805","23,200","34,280"
"841 Workers in natural resources and fisheries","2,805","23,200","34,280"
"8410 Mine service workers and operators in oil and gas drilling","355","75,500","84,000"
"84100 Underground mine service and support workers","270","76,000","86,000"
"84101 Oil and gas well drilling and related workers and services operators","95","74,500","79,000"
"8411 Logging and forestry workers","320","19,600","23,600"
"84110 Chain saw and skidder operators","175","15,600","24,800"
"84111 Silviculture and forestry workers","145","22,000","22,000"
"8412 Workers in agriculture and fishing occupations","2,125","20,600","27,520"
"84120 Specialized livestock workers and farm machinery operators","245","20,600","30,800"
"84121 Fishing vessel deckhands","1,885","20,600","27,080"
"85 Harvesting, landscaping and natural resources labourers","2,900","15,400","25,360"
"851 Harvesting, landscaping and natural resources labourers","2,900","15,400","25,360"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","890","15,400","24,160"
"85100 Livestock labourers","255","25,400","26,000"
"85101 Harvesting labourers","70","12,300","11,600"
"85102 Aquaculture and marine harvest labourers","420","19,600","28,300"
"85103 Nursery and greenhouse labourers","140","10,100","14,200"
"85104 Trappers and hunters","0","0","0"
"8511 Mine and oil and gas drilling, services and related labourers","435","46,000","58,000"
"85110 Mine labourers","225","38,800","53,200"
"85111 Oil and gas drilling, servicing and related labourers","210","54,000","63,200"
"8512 Logging, forestry, landscaping and other related labourers","1,570","12,100","17,020"
"85120 Logging and forestry labourers","95","16,800","21,600"
"85121 Landscaping and grounds maintenance labourers","1,475","11,700","16,700"
"9 Occupations in manufacturing and utilities","9,895","21,200","39,920"
"90 Middle management occupations in manufacturing and utilities","530","86,000","98,000"
"900 Middle management occupations in manufacturing and utilities","530","86,000","98,000"
"9001 Managers in manufacturing and utilities","530","86,000","98,000"
"90010 Manufacturing managers","420","75,000","87,600"
"90011 Utilities managers","105","142,000","140,000"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","1,470","69,500","75,300"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","530","69,000","76,800"
"9201 Supervisors, processing and manufacturing occupations","505","72,500","77,600"
"92010 Supervisors, mineral and metal processing","70","73,000","78,000"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","190","104,000","115,000"
"92012 Supervisors, food and beverage processing","215","34,800","43,200"
"92013 Supervisors, plastic and rubber products manufacturing","0","0","0"
"92014 Supervisors, forest products processing","25","0","100,000"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","0","0","0"
"9202 Supervisors, assembly and fabrication","25","0","60,000"
"92020 Supervisors, motor vehicle assembling","0","0","0"
"92021 Supervisors, electronics and electrical products manufacturing","0","0","0"
"92022 Supervisors, furniture and fixtures manufacturing","0","0","0"
"92023 Supervisors, other mechanical and metal products manufacturing","20","0","70,000"
"92024 Supervisors, other products manufacturing and assembly","0","0","0"
"921 Utilities equipment operators and controllers","940","69,500","74,600"
"9210 Utilities equipment operators and controllers","940","69,500","74,600"
"92100 Power engineers and power systems operators","780","69,500","77,200"
"92101 Water and waste treatment plant operators","160","67,500","62,000"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","455","98,000","108,000"
"931 Central control and process operators in processing and manufacturing","445","99,000","110,000"
"9310 Central control and process operators in processing and manufacturing","445","99,000","110,000"
"93100 Central control and process operators, mineral and metal processing","110","99,000","102,000"
"93101 Central control and process operators, petroleum, gas and chemical processing","315","99,000","113,000"
"93102 Pulping, papermaking and coating control operators","20","0","90,000"
"932 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"9320 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"93200 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","3,395","17,800","30,440"
"941 Processing and manufacturing machine operators and related production workers","2,860","15,900","29,200"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","250","77,000","77,500"
"94100 Machine operators, mineral and metal processing","175","78,000","81,000"
"94101 Foundry workers","15","0","120,000"
"94102 Glass forming and finishing machine operators and glass cutters","0","0","0"
"94103 Concrete, clay and stone forming operators","15","0","70,000"
"94104 Inspectors and testers, mineral and metal processing","0","0","0"
"94105 Metalworking and forging machine operators","30","0","36,000"
"94106 Machining tool operators","0","0","0"
"94107 Machine operators of other metal products","0","0","0"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","75","37,600","44,000"
"94110 Chemical plant machine operators","15","0","80,000"
"94111 Plastics processing machine operators","20","0","28,000"
"94112 Rubber processing machine operators and related workers","35","34,000","36,000"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","165","51,600","56,800"
"94120 Sawmill machine operators","30","37,200","34,000"
"94121 Pulp mill, papermaking and finishing machine operators","70","90,000","88,000"
"94122 Paper converting machine operators","20","0","48,000"
"94123 Lumber graders and other wood processing inspectors and graders","0","0","0"
"94124 Woodworking machine operators","25","0","19,000"
"94129 Other wood processing machine operators","0","0","0"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","135","17,600","18,400"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","0","0","0"
"94131 Weavers, knitters and other fabric making occupations","25","0","28,000"
"94132 Industrial sewing machine operators","90","15,600","17,600"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","0","0","0"
"9414 Machine operators and related workers in food, beverage and associated products processing","2,155","14,500","21,600"
"94140 Process control and machine operators, food and beverage processing","230","47,600","54,400"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","40","44,000","40,000"
"94142 Fish and seafood plant workers","1,645","13,500","16,440"
"94143 Testers and graders, food and beverage processing","245","18,800","22,400"
"9415 Printing equipment operators and related occupations","80","22,800","32,000"
"94150 Plateless printing equipment operators","55","20,000","26,000"
"94151 Camera, platemaking and other prepress occupations","0","0","0"
"94152 Binding and finishing machine operators","0","0","0"
"94153 Photographic and film processors","20","0","32,000"
"942 Assemblers and inspectors in manufacturing","540","28,800","37,000"
"9420 Mechanical, electrical and electronics assemblers and inspectors","130","33,200","46,000"
"94200 Motor vehicle assemblers, inspectors and testers","55","27,400","33,000"
"94201 Electronics assemblers, fabricators, inspectors and testers","25","0","76,000"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","0","0","0"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","0","0","0"
"94204 Mechanical assemblers and inspectors","40","28,800","48,000"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","0","0","0"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","410","28,800","34,200"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","80","20,200","24,400"
"94211 Assemblers and inspectors of other wood products","70","18,800","29,000"
"94212 Plastic products assemblers, finishers and inspectors","0","0","0"
"94213 Industrial painters, coaters and metal finishing process operators","115","53,200","50,000"
"94219 Other products assemblers, finishers and inspectors","130","23,400","29,600"
"95 Labourers in processing, manufacturing and utilities","4,040","14,600","19,700"
"951 Labourers in processing, manufacturing and utilities","4,040","14,600","19,700"
"9510 Labourers in processing, manufacturing and utilities","4,040","14,600","19,700"
"95100 Labourers in mineral and metal processing","60","32,000","35,000"
"95101 Labourers in metal fabrication","90","22,000","35,500"
"95102 Labourers in chemical products processing and utilities","70","29,000","35,000"
"95103 Labourers in wood, pulp and paper processing","145","17,400","24,000"
"95104 Labourers in rubber and plastic products manufacturing","35","0","28,000"
"95105 Labourers in textile processing and cutting","40","14,400","19,000"
"95106 Labourers in food and beverage processing","600","25,200","27,800"
"95107 Labourers in fish and seafood processing","2,245","13,400","15,020"
"95109 Other labourers in processing, manufacturing and utilities","760","16,200","21,520"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
