"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"14301 Correspondence, publication and regulatory clerks","205","52,800","58,000"
"144 Supply chain logistics, tracking and scheduling coordination occupations","2,410","39,600","42,840"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","2,410","39,600","42,840"
"14400 Shippers and receivers","850","35,200","37,400"
"14401 Storekeepers and partspersons","755","44,000","43,200"
"14402 Production logistics workers","65","39,600","50,000"
"14403 Purchasing and inventory control workers","390","36,000","38,400"
"14404 Dispatchers","305","63,200","60,000"
"14405 Transportation route and crew schedulers","45","48,400","50,000"
"2 Natural and applied sciences and related occupations","15,170","78,500","87,300"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","970","107,000","133,600"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","970","107,000","133,600"
"2001 Managers in engineering, architecture, science and information systems","970","107,000","133,600"
"20010 Engineering managers","395","130,000","160,000"
"20011 Architecture and science managers","110","87,000","112,000"
"20012 Computer and information systems managers","470","100,000","116,400"
"21 Professional occupations in natural and applied sciences","7,365","87,000","97,400"
"211 Professional occupations in natural sciences","1,240","81,000","89,200"
"2110 Physical science professionals","465","84,000","100,000"
"21100 Physicists and astronomers","25","0","150,000"
"21101 Chemists","95","94,000","86,000"
"21102 Geoscientists and oceanographers","305","84,000","105,000"
"21103 Meteorologists and climatologists","35","77,000","80,000"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","440","82,000","84,000"
"21110 Biologists and related scientists","405","83,000","84,800"
"21111 Forestry professionals","20","0","0"
"21112 Agricultural representatives, consultants and specialists","0","0","0"
"2112 Public and environmental health and safety professionals","340","69,500","81,200"
"21120 Public and environmental health and safety professionals","340","69,500","81,200"
"212 Professional occupations in applied sciences (except engineering)","3,020","77,000","77,200"
"2120 Architects, urban planners and land surveyors","510","72,500","80,000"
"21200 Architects","60","86,000","70,000"
"21201 Landscape architects","15","0","70,000"
"21202 Urban and land use planners","200","79,500","103,000"
"21203 Land surveyors","230","65,000","62,400"
"2121 Mathematicians, statisticians, actuaries and data scientists","75","64,500","66,000"
"21210 Mathematicians, statisticians and actuaries","55","64,000","60,000"
"21211 Data scientists","25","0","85,000"
"2122 Computer and information systems professionals","1,110","83,000","83,200"
"21220 Cybersecurity specialists","75","100,000","100,000"
"21221 Business systems specialists","150","85,000","84,000"
"21222 Information systems specialists","700","82,000","81,800"
"21223 Database analysts and data administrators","185","79,000","82,000"
"2123 Computer, software and Web designers and developers","1,325","73,500","71,800"
"21230 Computer systems developers and programmers","230","75,000","69,500"
"21231 Software engineers and designers","195","92,000","88,000"
"21232 Software developers and programmers","635","75,000","72,800"
"21233 Web designers","45","12,000","52,000"
"21234 Web developers and programmers","225","50,800","61,200"
"213 Professional occupations in engineering","3,100","106,000","120,300"
"2130 Civil and mechanical engineers","1,440","103,000","109,300"
"21300 Civil engineers","915","96,000","97,800"
"21301 Mechanical engineers","530","115,000","129,000"
"2131 Electrical, electronics and computer engineers","540","105,000","153,000"
"21310 Electrical and electronics engineers","440","106,000","168,000"
"21311 Computer engineers (except software engineers and designers)","95","93,000","84,000"
"2132 Manufacturing and processing engineers","175","89,000","93,000"
"21320 Chemical engineers","65","116,000","96,000"
"21321 Industrial and manufacturing engineers","70","97,000","108,000"
"21322 Metallurgical and materials engineers","45","52,000","62,000"
"2133 Natural resources engineers","375","134,000","143,000"
"21330 Mining engineers","60","102,000","108,000"
"21331 Geological engineers","35","0","120,000"
"21332 Petroleum engineers","285","144,000","153,000"
"2139 Other engineers","570","106,000","110,800"
"21390 Aerospace engineers","0","0","0"
"21399 Other professional engineers","560","108,000","111,200"
"22 Technical occupations related to natural and applied sciences","6,840","66,500","69,900"
"221 Technical occupations related to natural sciences","1,440","58,400","61,750"
