"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Alberta i10",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"143 Library, correspondence and other clerks","4,685","37,600","44,080"
"1430 Library, correspondence and other clerks","4,685","37,600","44,080"
"14300 Library assistants and clerks","1,805","22,000","25,220"
"14301 Correspondence, publication and regulatory clerks","2,880","50,000","55,850"
"144 Supply chain logistics, tracking and scheduling coordination occupations","29,810","46,800","50,640"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","29,810","46,800","50,640"
"14400 Shippers and receivers","13,875","40,800","42,040"
"14401 Storekeepers and partspersons","6,695","52,800","56,250"
"14402 Production logistics workers","830","62,000","74,800"
"14403 Purchasing and inventory control workers","3,970","44,000","45,240"
"14404 Dispatchers","4,020","65,500","69,400"
"14405 Transportation route and crew schedulers","425","64,000","70,800"
"2 Natural and applied sciences and related occupations","175,690","83,000","95,000"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","13,505","123,000","143,600"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","13,505","123,000","143,600"
"2001 Managers in engineering, architecture, science and information systems","13,505","123,000","143,600"
"20010 Engineering managers","5,165","143,000","166,000"
"20011 Architecture and science managers","1,500","106,000","116,400"
"20012 Computer and information systems managers","6,835","117,000","132,600"
"21 Professional occupations in natural and applied sciences","95,530","90,000","102,300"
"211 Professional occupations in natural sciences","14,285","79,500","92,400"
"2110 Physical science professionals","5,495","89,000","112,700"
"21100 Physicists and astronomers","165","87,000","110,000"
"21101 Chemists","1,665","72,500","83,800"
"21102 Geoscientists and oceanographers","3,460","101,000","127,700"
"21103 Meteorologists and climatologists","120","111,000","104,000"
"21109 Other professional occupations in physical sciences","85","89,000","84,000"
"2111 Life science professionals","5,130","74,000","78,100"
"21110 Biologists and related scientists","3,580","74,000","79,500"
"21111 Forestry professionals","435","85,000","81,200"
"21112 Agricultural representatives, consultants and specialists","1,120","66,500","72,200"
"2112 Public and environmental health and safety professionals","3,660","78,000","82,200"
"21120 Public and environmental health and safety professionals","3,660","78,000","82,200"
"212 Professional occupations in applied sciences (except engineering)","43,670","84,000","86,700"
"2120 Architects, urban planners and land surveyors","5,330","89,000","90,900"
"21200 Architects","1,075","73,500","84,200"
"21201 Landscape architects","175","82,000","74,000"
"21202 Urban and land use planners","2,925","98,000","99,700"
"21203 Land surveyors","1,150","73,500","77,200"
"2121 Mathematicians, statisticians, actuaries and data scientists","1,825","81,000","84,400"
"21210 Mathematicians, statisticians and actuaries","500","75,500","80,800"
"21211 Data scientists","1,325","82,000","85,800"
"2122 Computer and information systems professionals","19,195","88,000","89,800"
"21220 Cybersecurity specialists","955","98,000","117,200"
"21221 Business systems specialists","3,175","90,000","90,200"
"21222 Information systems specialists","12,805","88,000","88,900"
"21223 Database analysts and data administrators","2,265","79,500","82,400"
"2123 Computer, software and Web designers and developers","17,315","79,000","82,300"
"21230 Computer systems developers and programmers","1,975","79,000","83,600"
"21231 Software engineers and designers","4,520","97,000","102,000"
"21232 Software developers and programmers","6,970","81,000","83,400"
"21233 Web designers","820","29,600","37,800"
"21234 Web developers and programmers","3,025","60,000","61,850"
"213 Professional occupations in engineering","37,575","106,000","124,000"
"2130 Civil and mechanical engineers","17,690","100,000","117,000"
"21300 Civil engineers","9,595","100,000","114,600"
"21301 Mechanical engineers","8,090","100,000","119,900"
"2131 Electrical, electronics and computer engineers","8,355","101,000","109,300"
"21310 Electrical and electronics engineers","6,495","103,000","112,200"
"21311 Computer engineers (except software engineers and designers)","1,865","96,000","99,100"
"2132 Manufacturing and processing engineers","5,725","117,000","135,800"
"21320 Chemical engineers","3,455","121,000","140,400"
"21321 Industrial and manufacturing engineers","1,690","107,000","128,600"
"21322 Metallurgical and materials engineers","585","119,000","129,500"
"2133 Natural resources engineers","5,445","136,000","160,000"
"21330 Mining engineers","545","136,000","152,500"
"21331 Geological engineers","685","105,000","135,200"
"21332 Petroleum engineers","4,210","141,000","165,200"
"2139 Other engineers","365","79,000","80,800"
"21390 Aerospace engineers","135","80,000","90,000"
"21399 Other professional engineers","225","77,500","75,000"
"22 Technical occupations related to natural and applied sciences","66,655","68,500","74,800"
"221 Technical occupations related to natural sciences","7,825","59,600","67,900"
"2210 Technical occupations in physical sciences","3,260","82,000","93,200"
"22100 Chemical technologists and technicians","1,360","73,000","83,100"
"22101 Geological and mineral technologists and technicians","1,895","88,000","100,400"
"2211 Technical occupations in life sciences","4,570","47,600","49,920"
"22110 Biological technologists and technicians","940","48,000","51,300"
"22111 Agricultural and fish products inspectors","445","70,500","65,200"
"22112 Forestry technologists and technicians","430","66,500","70,400"
"22113 Conservation and fishery officers","270","75,000","65,000"
"22114 Landscape and horticulture technicians and specialists","2,485","34,400","41,520"
"222 Technical occupations related to applied sciences (except engineering)","31,190","68,500","73,000"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","8,580","61,200","64,800"
"22210 Architectural technologists and technicians","1,400","56,000","57,500"
"22211 Industrial designers","645","59,200","64,400"
"22212 Drafting technologists and technicians","4,450","58,000","62,550"
"22213 Land survey technologists and technicians","485","66,500","63,600"
"22214 Technical occupations in geomatics and meteorology","1,600","75,500","77,700"
"2222 Technical occupations in computer and information systems","11,870","68,500","71,100"
"22220 Computer network and web technicians","6,045","75,000","76,100"
"22221 User support technicians","5,290","62,800","65,200"
"22222 Information systems testing technicians","540","73,000","71,600"
"2223 Technical inspectors and regulatory officers","10,740","77,500","81,800"
"22230 Non-destructive testers and inspectors","2,805","80,000","84,400"
"22231 Engineering inspectors and regulatory officers","1,280","101,000","112,500"
"22232 Occupational health and safety specialists","3,760","69,000","75,200"
"22233 Construction inspectors","2,895","72,000","74,300"
"223 Technical occupations related to engineering","27,640","70,500","78,700"
"2230 Technical occupations in civil, mechanical and industrial engineering","12,015","74,500","80,500"
"22300 Civil engineering technologists and technicians","3,265","71,500","74,300"
"22301 Mechanical engineering technologists and technicians","2,875","78,000","88,700"
"22302 Industrial engineering and manufacturing technologists and technicians","1,375","75,000","81,700"
"22303 Construction estimators","4,495","73,500","79,300"
"2231 Technical occupations in electronics and electrical engineering","15,630","67,500","77,400"
"22310 Electrical and electronics engineering technologists and technicians","4,600","77,000","83,800"
"22311 Electronic service technicians (household and business equipment)","6,830","54,400","56,600"
"22312 Industrial instrument technicians and mechanics","3,575","99,000","108,500"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","620","79,500","79,200"
"3 Health occupations","175,655","56,400","65,500"
"30 Specialized middle management occupations in health care","4,090","98,000","92,600"
"300 Specialized middle management occupations in health care","4,090","98,000","92,600"
"3001 Managers in health care","4,090","98,000","92,600"
"30010 Managers in health care","4,090","98,000","92,600"
"31 Professional occupations in health","76,955","81,000","88,000"
"311 Health treating and consultation services professionals","23,135","101,000","121,700"
"3110 Physicians and veterinarians","12,170","123,000","149,800"
"31100 Specialists in clinical and laboratory medicine","3,700","154,000","185,200"
"31101 Specialists in surgery","1,050","151,000","190,800"
"31102 General practitioners and family physicians","6,095","120,000","133,200"
"31103 Veterinarians","1,325","92,000","95,000"
"3111 Dentists, optometrists and audiologists","4,495","89,000","100,200"
"31110 Dentists","2,260","110,000","120,300"
"31111 Optometrists","655","80,000","85,200"
"31112 Audiologists and speech-language pathologists","1,585","83,000","77,600"
"3112 Pharmacists and dietitians","6,465","92,000","83,800"
"31120 Pharmacists","5,275","99,000","87,600"
"31121 Dietitians and nutritionists","1,190","75,000","67,000"
"312 Therapy and assessment professionals","10,820","66,000","66,500"
"3120 Therapy and assessment professionals","10,820","66,000","66,500"
"31200 Psychologists","3,040","72,000","73,500"
"31201 Chiropractors","880","42,000","58,800"
"31202 Physiotherapists","3,115","68,500","65,900"
"31203 Occupational therapists","2,025","78,000","73,400"
"31204 Kinesiologists and other professional occupations in therapy and assessment","1,405","45,600","49,440"
"31209 Other professional occupations in health diagnosing and treating","365","47,200","59,200"
"313 Nursing and allied health professionals","43,000","79,000","75,300"
"3130 Nursing and allied health professionals","43,000","79,000","75,300"
"31300 Nursing coordinators and supervisors","1,220","93,000","85,800"
"31301 Registered nurses and registered psychiatric nurses","40,985","78,000","74,800"
"31302 Nurse practitioners","560","104,000","97,600"
"31303 Physician assistants, midwives and allied health professionals","240","48,000","55,200"
"32 Technical occupations in health","43,195","51,600","53,700"
"321 Technical occupations in health (except practitioners of natural healing)","35,755","59,200","60,200"
"3210 Technical occupations in therapy and assessment","22,780","54,800","56,850"
"32100 Opticians","1,280","41,600","44,800"
"32101 Licensed practical nurses","9,165","56,000","52,550"
"32102 Paramedical occupations","4,680","80,000","81,800"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","1,950","81,000","78,000"
"32104 Animal health technologists and veterinary technicians","2,800","38,000","37,040"
"32109 Other technical occupations in therapy and assessment","2,910","41,200","40,520"
"3211 Technical occupations in dental health care","3,980","57,200","55,250"
"32110 Denturists","335","40,400","54,800"
"32111 Dental hygienists and dental therapists","2,975","61,600","57,850"
"32112 Dental technologists and technicians","675","40,400","44,000"
"3212 Medical technologists and technicians","8,990","75,000","70,900"
"32120 Medical laboratory technologists","2,720","82,000","77,800"
"32121 Medical radiation technologists","2,595","80,000","74,400"
"32122 Medical sonographers","1,025","82,000","78,800"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","335","76,000","65,200"
"32124 Pharmacy technicians","2,085","56,000","54,350"
"32129 Other medical technologists and technicians","240","66,000","71,500"
"322 Practitioners of natural healing","7,445","17,800","22,440"
"3220 Practitioners of natural healing","7,445","17,800","22,440"
"32200 Traditional Chinese medicine practitioners and acupuncturists","590","23,200","27,100"
"32201 Massage therapists","6,420","18,200","22,360"
"32209 Other practitioners of natural healing","435","8,100","17,300"
"33 Assisting occupations in support of health services","51,410","39,600","39,680"
"331 Assisting occupations in support of health services","51,410","39,600","39,680"
"3310 Assisting occupations in support of health services","51,410","39,600","39,680"
"33100 Dental assistants and dental laboratory assistants","5,180","38,800","38,920"
"33101 Medical laboratory assistants and related technical occupations","3,170","50,000","47,240"
