"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Alberta i10",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"6001 Corporate sales managers","7,775","97,000","109,800"
"60010 Corporate sales managers","7,775","97,000","109,800"
"6002 Retail and wholesale trade managers","47,095","58,800","73,800"
"60020 Retail and wholesale trade managers","47,095","58,800","73,800"
"6003 Managers in food service and accommodation","17,315","39,600","46,680"
"60030 Restaurant and food service managers","14,215","38,800","44,760"
"60031 Accommodation service managers","3,105","47,200","55,450"
"6004 Managers in customer and personal services","3,525","36,400","44,800"
"60040 Managers in customer and personal services","3,525","36,400","44,800"
"62 Retail sales and service supervisors and specialized occupations in sales and services","43,090","38,800","52,500"
"620 Retail sales and service supervisors","23,585","34,800","39,320"
"6201 Retail sales supervisors","8,970","36,000","40,080"
"62010 Retail sales supervisors","8,970","36,000","40,080"
"6202 Service supervisors","14,615","33,600","38,840"
"62020 Food service supervisors","9,300","30,400","34,480"
"62021 Executive housekeepers","295","42,000","47,600"
"62022 Accommodation, travel, tourism and related services supervisors","985","29,400","31,750"
"62023 Customer and information services supervisors","685","62,800","63,500"
"62024 Cleaning supervisors","2,130","43,200","48,440"
"62029 Other services supervisors","1,220","42,400","44,800"
"621 Specialized sales occupations","12,020","76,500","89,000"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","12,020","76,500","89,000"
"62100 Technical sales specialists - wholesale trade","8,465","92,000","106,300"
"62101 Retail and wholesale buyers","3,560","38,400","47,760"
"622 Specialized services occupations","7,480","31,000","35,360"
"6220 Specialized occupations in services","7,480","31,000","35,360"
"62200 Chefs","6,815","30,000","33,520"
"62201 Funeral directors and embalmers","500","58,800","64,800"
"62202 Jewellers, jewellery and watch repairers and related occupations","175","18,800","24,200"
"63 Occupations in sales and services","64,035","24,400","36,640"
"631 Occupations in sales","22,115","51,600","62,850"
"6310 Insurance, real estate and financial sales occupations","22,115","51,600","62,850"
"63100 Insurance agents and brokers","8,505","57,600","72,400"
"63101 Real estate agents and salespersons","7,725","29,400","46,280"
"63102 Financial sales representatives","5,900","56,400","70,700"
"632 Occupations in services","41,915","18,200","22,800"
"6320 Cooks, butchers and bakers","25,095","20,800","24,480"
"63200 Cooks","19,820","19,200","23,260"
"63201 Butchers - retail and wholesale","460","38,800","39,800"
"63202 Bakers","4,815","25,800","28,120"
"6321 Hairstylists and estheticians","16,500","15,300","20,000"
"63210 Hairstylists and barbers","9,700","17,000","20,760"
"63211 Estheticians, electrologists and related occupations","6,795","13,200","18,920"
"6322 Shoe repairers, shoemakers and upholsterers","320","22,000","34,800"
"63220 Shoe repairers and shoemakers","60","15,100","27,000"
"63221 Upholsterers","260","24,000","36,400"
"64 Sales and service representatives and other customer and personal services occupations","139,050","24,400","34,640"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","82,180","21,000","34,160"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","82,180","21,000","34,160"
"64100 Retail salespersons and visual merchandisers","75,550","19,400","30,120"
"64101 Sales and account representatives - wholesale trade (non-technical)","6,635","65,500","79,800"
"642 Occupations in personal service","1,580","15,500","22,640"
"6420 Occupations in personal service","1,580","15,500","22,640"
"64200 Tailors, dressmakers, furriers and milliners","1,255","17,000","20,920"
"64201 Image, social and other personal consultants","320","10,600","29,300"
"643 Occupations in food, accommodation and tourism","15,570","15,500","22,220"
"6430 Occupations in food and beverage service","6,800","9,500","12,800"
"64300 Maîtres d'hôtel and hosts/hostesses","2,660","5,400","7,850"
"64301 Bartenders","4,140","13,500","16,000"
"6431 Occupations in travel and accommodation","7,225","29,400","31,640"
"64310 Travel counsellors","1,585","23,200","30,960"
"64311 Pursers and flight attendants","1,555","40,400","39,520"
"64312 Airline ticket and service agents","1,475","33,600","36,160"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","50","76,000","64,000"
"64314 Hotel front desk clerks","2,555","22,800","24,100"
"6432 Tourism and amusement services occupations","1,540","15,200","19,480"
"64320 Tour and travel guides","140","15,900","34,500"
"64321 Casino workers","1,170","14,600","16,200"
"64322 Outdoor sport and recreational guides","235","19,000","27,200"
"644 Occupations in customer, information and protective services","39,725","37,600","41,080"
"6440 Customer and information services representatives","27,155","39,200","42,840"
"64400 Customer services representatives - financial institutions","5,085","36,000","44,000"
"64401 Postal services representatives","830","31,600","34,800"
"64409 Other customer and information services representatives","21,235","40,400","42,880"
"6441 Security guards and related security service occupations","12,570","35,200","37,240"
"64410 Security guards and related security service occupations","12,570","35,200","37,240"
"65 Sales and service support occupations","189,300","15,100","21,420"
"651 Sales support occupations","65,650","16,000","22,320"
"6510 Cashiers and other sales support occupations","65,650","16,000","22,320"
"65100 Cashiers","37,160","13,700","20,520"
"65101 Service station attendants","905","17,000","21,680"
"65102 Store shelf stockers, clerks and order fillers","24,345","21,600","25,460"
"65109 Other sales related occupations","3,235","11,400","19,520"
"652 Support occupations in food, accommodation and tourism","71,205","12,000","17,240"
"6520 Food support occupations","62,645","12,100","16,920"
"65200 Food and beverage servers","16,625","10,900","13,940"
"65201 Food counter attendants, kitchen helpers and related support occupations","45,055","12,400","17,380"
"65202 Meat cutters and fishmongers - retail and wholesale","955","48,000","46,800"
"6521 Support occupations in accommodation, travel, tourism and amusement services","4,950","8,700","18,120"
"65210 Support occupations in accommodation, travel and facilities set-up services","290","11,800","16,400"
"65211 Operators and attendants in amusement, recreation and sport","4,665","8,600","18,240"
"6522 Support occupations in personal services","3,610","14,200","21,600"
"65220 Pet groomers and animal care workers","3,325","14,300","21,560"
"65229 Other support occupations in personal services","285","9,300","22,200"
"653 Support occupations in cleaning and related services","52,445","21,000","25,960"
"6531 Cleaners","48,105","21,000","26,240"
"65310 Light duty cleaners","27,800","18,600","23,140"
"65311 Specialized cleaners","6,295","22,400","29,240"
"65312 Janitors, caretakers and heavy-duty cleaners","14,010","27,800","31,080"
"6532 Service support and related occupations","4,340","18,600","22,940"
"65320 Dry cleaning, laundry and related occupations","1,835","27,400","27,560"
"65329 Other service support occupations","2,505","11,500","19,560"
"7 Trades, transport and equipment operators and related occupations","408,565","54,000","61,800"
"70 Middle management occupations in trades and transportation","33,975","76,500","89,900"
"700 Middle management occupations in trades and transportation","33,975","76,500","89,900"
"7001 Managers in construction and facility operation and maintenance","28,510","75,000","89,400"
"70010 Construction managers","13,065","91,000","103,500"
"70011 Home building and renovation managers","4,955","32,400","46,280"
"70012 Facility operation and maintenance managers","10,485","72,500","92,200"
"7002 Managers in transportation and postal and courier services","5,470","81,000","92,500"
"70020 Managers in transportation","5,045","83,000","94,900"
"70021 Postal and courier services managers","425","52,400","63,200"
"72 Technical trades and transportation officers and controllers","168,515","66,000","71,800"
"720 Technical trades contractors and supervisors","27,990","79,500","82,200"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","14,980","70,000","73,100"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","1,985","91,000","92,400"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","3,105","86,000","87,200"
"72012 Contractors and supervisors, pipefitting trades","1,450","89,000","88,300"
"72013 Contractors and supervisors, carpentry trades","1,805","68,500","66,200"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","6,630","49,200","59,200"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","13,005","87,000","92,600"
"72020 Contractors and supervisors, mechanic trades","3,515","94,000","99,000"
"72021 Contractors and supervisors, heavy equipment operator crews","6,830","94,000","99,300"
"72022 Supervisors, printing and related occupations","185","50,400","48,800"
"72023 Supervisors, railway transport operations","190","102,000","104,000"
"72024 Supervisors, motor transport and other ground transit operators","1,485","68,500","70,100"
"72025 Supervisors, mail and message distribution occupations","805","59,600","56,500"
"721 Technical industrial trades","24,675","60,800","64,100"
"7210 Machining, metal forming, shaping and erecting trades","24,675","60,800","64,100"
"72100 Machinists and machining and tooling inspectors","3,770","62,000","61,850"
"72101 Tool and die makers","225","50,400","48,000"
"72102 Sheet metal workers","2,310","52,800","55,000"
"72103 Boilermakers","890","60,800","69,400"
"72104 Structural metal and platework fabricators and fitters","640","61,600","61,200"
"72105 Ironworkers","1,850","65,000","66,200"
"72106 Welders and related machine operators","14,990","61,600","65,900"
"722 Technical electrical trades","24,735","69,000","75,600"
"7220 Technical electrical trades and electrical power line and telecommunications workers","24,735","69,000","75,600"
"72200 Electricians (except industrial and power system)","14,735","55,200","59,650"
"72201 Industrial electricians","4,430","99,000","105,700"
"72202 Power system electricians","830","100,000","100,200"
"72203 Electrical power line and cable workers","1,800","148,000","136,600"
"72204 Telecommunications line and cable installers and repairers","1,000","62,000","60,600"
"72205 Telecommunications equipment installation and cable television service technicians","1,935","73,500","68,200"
"723 Technical construction trades","34,560","51,200","55,550"
"7230 Plumbers, pipefitters and gas fitters","14,580","62,400","65,300"
"72300 Plumbers","7,765","55,200","56,650"
"72301 Steamfitters, pipefitters and sprinkler system installers","5,945","70,000","73,700"
"72302 Gas fitters","865","86,000","85,200"
"7231 Carpenters and cabinetmakers","16,365","42,400","46,440"
"72310 Carpenters","14,865","43,200","47,240"
"72311 Cabinetmakers","1,505","36,400","38,520"
"7232 Bricklayers and insulators","3,605","54,400","57,300"
"72320 Bricklayers","995","55,200","55,400"
"72321 Insulators","2,610","53,600","58,050"
"724 Technical maintenance trades","49,410","70,000","75,700"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","26,325","86,000","90,000"
"72400 Construction millwrights and industrial mechanics","7,805","91,000","98,400"
"72401 Heavy-duty equipment mechanics","12,375","87,000","91,400"
"72402 Heating, refrigeration and air conditioning mechanics","3,150","70,500","72,200"
"72403 Railway carmen/women","340","89,000","86,800"
"72404 Aircraft mechanics and aircraft inspectors","1,955","76,500","71,500"
"72405 Machine fitters","125","76,500","70,000"
"72406 Elevator constructors and mechanics","570","127,000","116,000"
"7241 Automotive service technicians","21,090","56,400","59,850"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","17,285","58,000","61,150"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","3,795","49,200","53,800"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","1,995","50,800","53,200"
"72420 Oil and solid fuel heating mechanics","100","47,200","51,000"
"72421 Appliance servicers and repairers","505","35,200","38,400"
"72422 Electrical mechanics","405","91,000","85,200"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","765","50,800","49,100"
"72429 Other small engine and small equipment repairers","225","40,400","44,400"
"725 Technical equipment operation trades","2,180","87,000","93,000"
"7250 Crane operators and water well drillers","2,180","87,000","93,000"
"72500 Crane operators","2,080","89,000","95,000"
"72501 Water well drillers","100","49,600","50,000"
"726 Transportation officers and controllers","3,815","94,000","109,900"
"7260 Transportation officers and controllers","3,815","94,000","109,900"
"72600 Air pilots, flight engineers and flying instructors","2,630","96,000","110,800"
"72601 Air traffic controllers and related occupations","630","107,000","126,000"
"72602 Deck officers, water transport","70","45,600","60,000"
"72603 Engineer officers, water transport","20","0","120,000"
"72604 Railway traffic controllers and marine traffic regulators","465","89,000","90,400"
"729 Other technical trades","1,150","53,600","53,600"
"7299 Other technical trades","1,150","53,600","53,600"
"72999 Other technical trades and related occupations","1,150","53,600","53,600"
"73 General trades","112,380","48,800","54,800"
"731 General construction trades","14,365","30,200","35,960"
"7310 Concrete finishers, tilesetters and plasterers","5,430","33,600","38,280"
"73100 Concrete finishers","1,260","48,000","50,600"
"73101 Tilesetters","865","27,600","30,750"
"73102 Plasterers, drywall installers and finishers and lathers","3,300","30,400","35,560"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","8,935","28,000","34,520"
"73110 Roofers and shinglers","2,330","36,400","42,000"
"73111 Glaziers","1,225","49,600","48,300"
"73112 Painters and decorators (except interior decorators)","4,225","18,800","26,360"
"73113 Floor covering installers","1,165","29,000","34,900"
"732 Building maintenance installers, servicers and repairers","19,220","42,800","45,680"
"7320 Building maintenance installers, servicers and repairers","19,220","42,800","45,680"
"73200 Residential and commercial installers and servicers","5,910","36,000","39,360"
"73201 General building maintenance workers and building superintendents","11,290","46,800","48,600"
"73202 Pest controllers and fumigators","330","51,600","51,800"
"73209 Other repairers and servicers","1,695","46,400","47,120"
"733 Transportation occupations","59,250","49,200","52,700"
"7330 Transport truck and transit drivers","57,245","47,600","51,120"
"73300 Transport truck drivers","45,180","51,600","54,250"
"73301 Bus drivers, subway operators and other transit operators","12,065","26,000","39,560"
"7331 Train crew operating occupations","2,010","98,000","97,500"
"73310 Railway and yard locomotive engineers","965","126,000","120,400"
"73311 Railway conductors and brakemen/women","1,050","76,500","76,400"
"734 Operators, drillers and blasters","19,545","72,000","84,000"
"7340 Operators, drillers and blasters","19,545","72,000","84,000"
"73400 Heavy equipment operators","18,275","73,500","85,700"
"73401 Printing press operators","740","44,000","46,000"
"73402 Drillers and blasters - surface mining, quarrying and construction","525","71,000","77,200"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","18,880","47,600","50,480"
"741 Mail and message distribution occupations","10,200","46,000","45,200"
"7410 Mail and message distribution occupations","10,200","46,000","45,200"
"74100 Mail and parcel sorters and related occupations","2,380","40,000","42,080"
"74101 Letter carriers","3,815","60,800","55,000"
"74102 Couriers and messengers","4,005","31,200","37,720"
"742 Transport equipment operators, utility maintenance and related workers","8,685","49,600","56,650"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","8,685","49,600","56,650"
"74200 Railway yard and track maintenance workers","795","80,000","75,000"
"74201 Water transport deck and engine room crew","110","72,000","76,000"
"74202 Air transport ramp attendants","1,390","34,000","37,720"
"74203 Automotive and heavy truck and equipment parts installers and servicers","3,175","37,200","51,160"
"74204 Utility maintenance workers","1,500","63,200","68,200"
"74205 Public works maintenance equipment operators and related workers","1,715","68,500","62,400"
"75 Helpers and labourers and other transport drivers, operators and labourers","74,805","33,200","40,000"
"751 Helpers and labourers","54,295","38,000","44,360"
"7510 Longshore workers and material handlers","25,445","40,800","46,440"
"75100 Longshore workers","0","0","0"
"75101 Material handlers","25,435","40,800","46,440"
"7511 Trades helpers and labourers","28,850","35,200","42,560"
"75110 Construction trades helpers and labourers","26,920","35,600","43,080"
"75119 Other trades helpers and labourers","1,930","29,800","35,480"
"752 Transport drivers, operators and labourers","20,515","17,800","28,400"
"7520 Taxi, personal service and delivery service drivers","16,460","14,000","23,540"
"75200 Taxi and limousine drivers and chauffeurs","5,690","7,700","14,840"
"75201 Delivery service drivers and door-to-door distributors","10,775","19,800","28,160"
"7521 Water and rail transport operators and labourers and related occupations","4,055","46,000","48,080"
"75210 Boat and cable ferry operators and related occupations","55","27,600","48,000"
"75211 Railway and motor transport labourers","705","38,800","42,900"
"75212 Public works and maintenance labourers","3,295","48,000","49,200"
"8 Natural resources, agriculture and related production occupations","88,130","31,000","50,680"
"80 Middle management occupations in production and agriculture","32,070","23,800","46,720"
"800 Middle management occupations in production and agriculture","32,070","23,800","46,720"
"8001 Managers in natural resources production and fishing","3,650","164,000","182,000"
"80010 Managers in natural resources production and fishing","3,650","164,000","182,000"
"8002 Managers in agriculture, horticulture and aquaculture","28,425","18,600","29,360"
"80020 Managers in agriculture","28,035","18,600","29,200"
"80021 Managers in horticulture","380","30,600","40,200"
"80022 Managers in aquaculture","0","0","0"
"82 Supervisors in natural resources, agriculture and related production","12,510","84,000","97,400"
"820 Supervisors in natural resources, agriculture and related production","12,510","84,000","97,400"
"8201 Supervisors, logging and forestry","1,405","96,000","102,500"
"82010 Supervisors, logging and forestry","1,405","96,000","102,500"
"8202 Contractors and supervisors, mining, oil and gas","8,195","98,000","111,900"
"82020 Supervisors, mining and quarrying","835","120,000","133,600"
"82021 Contractors and supervisors, oil and gas drilling and services","7,355","96,000","109,400"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","2,915","49,600","54,200"
"82030 Agricultural service contractors and farm supervisors","395","50,400","52,600"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","2,520","49,600","54,450"
"83 Occupations in natural resources and related production","4,745","72,500","79,300"
"831 Occupations in natural resources and fisheries","4,745","72,500","79,300"
"8310 Underground miners, oil and gas drillers and related occupations","4,025","73,000","81,200"
"83100 Underground production and development miners","410","97,000","95,200"
"83101 Oil and gas well drillers, servicers, testers and related workers","3,615","71,000","79,600"
"8311 Logging machinery operators","690","71,000","69,600"
"83110 Logging machinery operators","690","71,000","69,600"
"8312 Fishing vessel masters and fishermen/women","25","0","64,000"
"83120 Fishing masters and officers","0","0","0"
"83121 Fishermen/women","25","16,800","48,000"
"84 Workers in natural resources, agriculture and related production","11,765","42,000","51,300"
"841 Workers in natural resources and fisheries","11,765","42,000","51,300"
"8410 Mine service workers and operators in oil and gas drilling","4,095","78,000","83,900"
"84100 Underground mine service and support workers","145","88,000","92,000"
"84101 Oil and gas well drilling and related workers and services operators","3,950","77,500","83,700"
"8411 Logging and forestry workers","1,030","34,000","43,600"
"84110 Chain saw and skidder operators","390","44,800","48,800"
"84111 Silviculture and forestry workers","640","31,600","40,500"
"8412 Workers in agriculture and fishing occupations","6,640","25,600","32,360"
"84120 Specialized livestock workers and farm machinery operators","6,560","25,600","32,240"
"84121 Fishing vessel deckhands","85","36,000","41,000"
"85 Harvesting, landscaping and natural resources labourers","27,040","19,000","28,520"
"851 Harvesting, landscaping and natural resources labourers","27,040","19,000","28,520"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","7,090","17,800","26,120"
"85100 Livestock labourers","4,475","20,800","28,480"
"85101 Harvesting labourers","810","12,400","21,840"
"85102 Aquaculture and marine harvest labourers","0","0","0"
"85103 Nursery and greenhouse labourers","1,765","17,000","22,360"
"85104 Trappers and hunters","40","3,280","15,000"
"8511 Mine and oil and gas drilling, services and related labourers","4,650","45,600","53,000"
"85110 Mine labourers","150","53,600","70,000"
"85111 Oil and gas drilling, servicing and related labourers","4,500","45,200","52,450"
"8512 Logging, forestry, landscaping and other related labourers","15,300","15,100","22,200"
"85120 Logging and forestry labourers","330","17,400","26,300"
"85121 Landscaping and grounds maintenance labourers","14,965","15,000","22,100"
"9 Occupations in manufacturing and utilities","80,930","58,000","79,500"
"90 Middle management occupations in manufacturing and utilities","8,595","102,000","131,800"
"900 Middle management occupations in manufacturing and utilities","8,595","102,000","131,800"
"9001 Managers in manufacturing and utilities","8,595","102,000","131,800"
"90010 Manufacturing managers","6,190","92,000","108,400"
"90011 Utilities managers","2,405","151,000","191,800"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","17,160","96,000","114,500"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","5,680","90,000","107,900"
"9201 Supervisors, processing and manufacturing occupations","5,075","94,000","112,400"
"92010 Supervisors, mineral and metal processing","395","83,000","84,800"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","2,680","134,000","145,400"
"92012 Supervisors, food and beverage processing","1,240","63,200","65,400"
"92013 Supervisors, plastic and rubber products manufacturing","220","71,500","79,000"
"92014 Supervisors, forest products processing","490","95,000","94,000"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","50","53,200","56,000"
"9202 Supervisors, assembly and fabrication","610","64,000","70,400"
"92020 Supervisors, motor vehicle assembling","60","72,000","80,000"
"92021 Supervisors, electronics and electrical products manufacturing","140","61,600","68,000"
"92022 Supervisors, furniture and fixtures manufacturing","50","55,200","56,000"
"92023 Supervisors, other mechanical and metal products manufacturing","190","74,000","71,000"
"92024 Supervisors, other products manufacturing and assembly","170","59,600","72,000"
"921 Utilities equipment operators and controllers","11,480","100,000","117,800"
"9210 Utilities equipment operators and controllers","11,480","100,000","117,800"
"92100 Power engineers and power systems operators","9,335","115,000","127,500"
"92101 Water and waste treatment plant operators","2,145","76,500","75,600"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","9,945","125,000","129,000"
"931 Central control and process operators in processing and manufacturing","9,915","125,000","129,200"
"9310 Central control and process operators in processing and manufacturing","9,915","125,000","129,200"
"93100 Central control and process operators, mineral and metal processing","220","119,000","113,000"
"93101 Central control and process operators, petroleum, gas and chemical processing","9,640","125,000","129,600"
"93102 Pulping, papermaking and coating control operators","55","128,000","128,000"
"932 Aircraft assemblers and aircraft assembly inspectors","35","83,000","72,000"
"9320 Aircraft assemblers and aircraft assembly inspectors","35","83,000","72,000"
"93200 Aircraft assemblers and aircraft assembly inspectors","35","83,000","72,000"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","25,815","47,200","51,120"
"941 Processing and manufacturing machine operators and related production workers","17,665","49,600","53,750"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","2,820","49,600","56,050"
"94100 Machine operators, mineral and metal processing","385","79,500","98,400"
"94101 Foundry workers","30","0","44,000"
"94102 Glass forming and finishing machine operators and glass cutters","200","40,000","39,600"
"94103 Concrete, clay and stone forming operators","285","50,000","54,800"
"94104 Inspectors and testers, mineral and metal processing","250","50,800","57,200"
"94105 Metalworking and forging machine operators","920","48,400","48,600"
"94106 Machining tool operators","535","46,400","43,800"
"94107 Machine operators of other metal products","215","52,800","59,600"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","1,850","61,600","79,100"
"94110 Chemical plant machine operators","855","90,000","103,000"
"94111 Plastics processing machine operators","700","53,600","61,300"
"94112 Rubber processing machine operators and related workers","305","57,200","52,800"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","1,930","75,500","75,100"
"94120 Sawmill machine operators","765","71,500","67,200"
"94121 Pulp mill, papermaking and finishing machine operators","415","121,000","112,800"
"94122 Paper converting machine operators","65","46,000","54,000"
"94123 Lumber graders and other wood processing inspectors and graders","200","79,500","76,000"
"94124 Woodworking machine operators","285","40,800","40,800"
"94129 Other wood processing machine operators","200","83,000","81,000"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","945","29,600","28,750"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","125","18,800","24,400"
"94131 Weavers, knitters and other fabric making occupations","210","27,600","29,400"
"94132 Industrial sewing machine operators","590","30,000","29,100"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","25","0","40,000"
"9414 Machine operators and related workers in food, beverage and associated products processing","9,005","48,800","47,960"
"94140 Process control and machine operators, food and beverage processing","4,080","52,800","53,050"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","4,050","47,600","44,880"
"94142 Fish and seafood plant workers","30","10,500","28,000"
"94143 Testers and graders, food and beverage processing","850","35,600","39,100"
"9415 Printing equipment operators and related occupations","1,110","37,600","37,000"
"94150 Plateless printing equipment operators","495","39,200","39,600"
"94151 Camera, platemaking and other prepress occupations","145","47,600","50,000"
"94152 Binding and finishing machine operators","355","30,000","30,900"
"94153 Photographic and film processors","115","31,600","28,000"
"942 Assemblers and inspectors in manufacturing","8,150","42,400","45,360"
"9420 Mechanical, electrical and electronics assemblers and inspectors","3,065","43,200","46,120"
"94200 Motor vehicle assemblers, inspectors and testers","690","37,600","41,500"
"94201 Electronics assemblers, fabricators, inspectors and testers","705","38,000","41,200"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","770","46,800","47,600"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","180","50,800","54,000"
"94204 Mechanical assemblers and inspectors","620","45,600","52,200"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","100","41,600","50,000"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","5,080","42,400","44,920"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","1,095","36,400","36,300"
"94211 Assemblers and inspectors of other wood products","555","38,800","40,800"
"94212 Plastic products assemblers, finishers and inspectors","220","50,800","52,800"
"94213 Industrial painters, coaters and metal finishing process operators","1,605","50,400","54,150"
"94219 Other products assemblers, finishers and inspectors","1,620","39,600","41,960"
"95 Labourers in processing, manufacturing and utilities","19,405","35,600","37,680"
"951 Labourers in processing, manufacturing and utilities","19,405","35,600","37,680"
"9510 Labourers in processing, manufacturing and utilities","19,405","35,600","37,680"
"95100 Labourers in mineral and metal processing","715","43,200","49,600"
"95101 Labourers in metal fabrication","1,535","38,800","39,920"
"95102 Labourers in chemical products processing and utilities","1,100","44,000","50,200"
"95103 Labourers in wood, pulp and paper processing","1,315","52,800","52,400"
"95104 Labourers in rubber and plastic products manufacturing","475","36,000","37,200"
"95105 Labourers in textile processing and cutting","240","21,600","24,800"
"95106 Labourers in food and beverage processing","7,960","36,400","36,200"
"95107 Labourers in fish and seafood processing","30","0","28,000"
"95109 Other labourers in processing, manufacturing and utilities","6,045","29,400","32,760"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i10,"Geography name: Alberta; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Alta.; Dissemination Geography Unique Identifier (DGUID): 2021A000248; Alternative geographic code: 48; Province or territory geocode: 48; Long-form total non-response rate: 5.6; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
