Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
14102 Personnel clerks,"1,560","48,400","46,080",British Columbia
14103 Court clerks and related court services occupations,750,"51,600","56,100",British Columbia
"1411 Survey, statistical and data entry occupations","6,315","28,000","30,760",British Columbia
14110 Survey interviewers and statistical clerks,"1,370","7,250","22,400",British Columbia
14111 Data entry clerks,"4,865","31,600","32,800",British Columbia
14112 Desktop publishing operators and related occupations,80,"45,200","47,000",British Columbia
"142 Financial, insurance and related administrative support workers","25,865","44,800","47,000",British Columbia
"1420 Financial, insurance and related administrative support workers","25,865","44,800","47,000",British Columbia
14200 Accounting and related clerks,"22,550","44,000","46,800",British Columbia
"14201 Banking, insurance and other financial clerks","2,150","48,000","48,960",British Columbia
14202 Collection clerks,"1,170","51,200","47,300",British Columbia
"143 Library, correspondence and other clerks","4,850","40,400","40,200",British Columbia
"1430 Library, correspondence and other clerks","4,850","40,400","40,200",British Columbia
14300 Library assistants and clerks,"2,160","23,200","26,000",British Columbia
"14301 Correspondence, publication and regulatory clerks","2,690","50,800","51,550",British Columbia
"144 Supply chain logistics, tracking and scheduling coordination occupations","27,660","42,800","45,320",British Columbia
"1440 Supply chain logistics, tracking and scheduling coordination occupations","27,660","42,800","45,320",British Columbia
14400 Shippers and receivers,"13,155","37,600","38,840",British Columbia
14401 Storekeepers and partspersons,"4,915","49,200","52,550",British Columbia
14402 Production logistics workers,"1,045","49,600","50,600",British Columbia
14403 Purchasing and inventory control workers,"4,260","42,800","43,360",British Columbia
14404 Dispatchers,"3,765","54,400","56,700",British Columbia
14405 Transportation route and crew schedulers,530,"57,200","64,000",British Columbia
2 Natural and applied sciences and related occupations,"200,400","75,000","85,800",British Columbia
"20 Specialized middle management occupations in engineering, architecture, science and information systems","16,300","111,000","132,800",British Columbia
"200 Specialized middle management occupations in engineering, architecture, science and information systems","16,300","111,000","132,800",British Columbia
"2001 Managers in engineering, architecture, science and information systems","16,300","111,000","132,800",British Columbia
20010 Engineering managers,"4,080","116,000","130,800",British Columbia
20011 Architecture and science managers,"1,995","94,000","104,800",British Columbia
20012 Computer and information systems managers,"10,225","112,000","139,000",British Columbia
21 Professional occupations in natural and applied sciences,"117,410","81,000","92,100",British Columbia
211 Professional occupations in natural sciences,"16,205","72,000","79,200",British Columbia
2110 Physical science professionals,"4,655","71,500","92,400",British Columbia
21100 Physicists and astronomers,460,"93,000","96,800",British Columbia
21101 Chemists,"1,715","61,600","72,400",British Columbia
21102 Geoscientists and oceanographers,"2,270","78,500","107,800",British Columbia
21103 Meteorologists and climatologists,145,"94,000","86,000",British Columbia
21109 Other professional occupations in physical sciences,65,"70,000","68,000",British Columbia
2111 Life science professionals,"8,795","72,000","73,800",British Columbia
21110 Biologists and related scientists,"6,095","70,000","73,600",British Columbia
21111 Forestry professionals,"2,260","78,500","79,100",British Columbia
"21112 Agricultural representatives, consultants and specialists",440,"49,600","49,600",British Columbia
2112 Public and environmental health and safety professionals,"2,755","73,500","73,900",British Columbia
21120 Public and environmental health and safety professionals,"2,755","73,500","73,900",British Columbia
212 Professional occupations in applied sciences (except engineering),"71,115","81,000","92,100",British Columbia
"2120 Architects, urban planners and land surveyors","7,560","76,000","82,100",British Columbia
21200 Architects,"3,250","73,000","86,900",British Columbia
21201 Landscape architects,280,"76,000","68,500",British Columbia
21202 Urban and land use planners,"3,000","79,000","80,400",British Columbia
21203 Land surveyors,"1,030","72,500","75,400",British Columbia
"2121 Mathematicians, statisticians, actuaries and data scientists","2,460","84,000","97,900",British Columbia
"21210 Mathematicians, statisticians and actuaries",735,"86,000","103,200",British Columbia
21211 Data scientists,"1,725","83,000","95,600",British Columbia
2122 Computer and information systems professionals,"19,875","78,500","80,900",British Columbia
21220 Cybersecurity specialists,"1,295","91,000","98,500",British Columbia
21221 Business systems specialists,"3,860","77,500","76,600",British Columbia
21222 Information systems specialists,"12,325","78,500","81,300",British Columbia
21223 Database analysts and data administrators,"2,395","72,500","76,600",British Columbia
"2123 Computer, software and Web designers and developers","41,210","83,000","99,000",British Columbia
21230 Computer systems developers and programmers,"3,205","76,500","80,500",British Columbia
21231 Software engineers and designers,"16,870","101,000","126,400",British Columbia
21232 Software developers and programmers,"12,170","84,000","95,300",British Columbia
21233 Web designers,"2,065","34,400","41,840",British Columbia
21234 Web developers and programmers,"6,905","58,400","64,200",British Columbia
213 Professional occupations in engineering,"30,095","88,000","99,000",British Columbia
2130 Civil and mechanical engineers,"15,200","84,000","95,300",British Columbia
21300 Civil engineers,"9,335","87,000","99,100",British Columbia
21301 Mechanical engineers,"5,865","78,500","89,300",British Columbia
"2131 Electrical, electronics and computer engineers","8,540","93,000","103,000",British Columbia
21310 Electrical and electronics engineers,"6,160","91,000","99,700",British Columbia
21311 Computer engineers (except software engineers and designers),"2,380","98,000","111,400",British Columbia
2132 Manufacturing and processing engineers,"2,675","79,500","93,600",British Columbia
21320 Chemical engineers,"1,040","86,000","108,400",British Columbia
