"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"370","72423 Motorcycle, all-terrain vehicle and other related mechanics",6580,47200,48280,"Canada","72423",5
"371","72429 Other small engine and small equipment repairers",2580,30800,34040,"Canada","72429",5
"372","72500 Crane operators",13730,76500,81900,"Canada","72500",5
"373","72501 Water well drillers",580,50400,50600,"Canada","72501",5
"374","72600 Air pilots, flight engineers and flying instructors",17490,92000,109400,"Canada","72600",5
"375","72601 Air traffic controllers and related occupations",4655,107000,122500,"Canada","72601",5
"376","72602 Deck officers, water transport",5925,91000,103900,"Canada","72602",5
"377","72603 Engineer officers, water transport",1440,96000,99800,"Canada","72603",5
"378","72604 Railway traffic controllers and marine traffic regulators",1355,86000,85700,"Canada","72604",5
"379","72999 Other technical trades and related occupations",8900,45200,49080,"Canada","72999",5
"380","73100 Concrete finishers",8785,48400,50360,"Canada","73100",5
"381","73101 Tilesetters",8135,31400,35680,"Canada","73101",5
"382","73102 Plasterers, drywall installers and finishers and lathers",26455,35200,38080,"Canada","73102",5
"383","73110 Roofers and shinglers",21680,33200,38120,"Canada","73110",5
"384","73111 Glaziers",8130,45600,46000,"Canada","73111",5
"385","73112 Painters and decorators (except interior decorators)",38795,21400,27760,"Canada","73112",5
"386","73113 Floor covering installers",10475,27800,32720,"Canada","73113",5
"387","73200 Residential and commercial installers and servicers",48330,30400,34600,"Canada","73200",5
"388","73201 General building maintenance workers and building superintendents",98405,38000,40240,"Canada","73201",5
"389","73202 Pest controllers and fumigators",4060,39200,41600,"Canada","73202",5
"390","73209 Other repairers and servicers",10200,29600,34840,"Canada","73209",5
"391","73300 Transport truck drivers",350460,42400,45240,"Canada","73300",5
"392","73301 Bus drivers, subway operators and other transit operators",96240,27800,40240,"Canada","73301",5
"393","73310 Railway and yard locomotive engineers",5970,116000,109100,"Canada","73310",5
"394","73311 Railway conductors and brakemen/women",5655,81000,79400,"Canada","73311",5
"395","73400 Heavy equipment operators",93255,60800,65900,"Canada","73400",5
"396","73401 Printing press operators",14300,43600,45160,"Canada","73401",5
"397","73402 Drillers and blasters - surface mining, quarrying and construction",4245,68500,70400,"Canada","73402",5
"398","74100 Mail and parcel sorters and related occupations",23075,40800,42560,"Canada","74100",5
"399","74101 Letter carriers",33235,61200,55050,"Canada","74101",5
"400","74102 Couriers and messengers",32995,33600,38160,"Canada","74102",5
"401","74200 Railway yard and track maintenance workers",5665,77500,75300,"Canada","74200",5
"402","74201 Water transport deck and engine room crew",4615,58800,56600,"Canada","74201",5
"403","74202 Air transport ramp attendants",9315,32800,36560,"Canada","74202",5
"404","74203 Automotive and heavy truck and equipment parts installers and servicers",14175,31800,39480,"Canada","74203",5
"405","74204 Utility maintenance workers",5960,60800,63050,"Canada","74204",5
"406","74205 Public works maintenance equipment operators and related workers",15465,50400,48640,"Canada","74205",5
"407","75100 Longshore workers",5710,87000,90000,"Canada","75100",5
"408","75101 Material handlers",218515,36800,42400,"Canada","75101",5
"409","75110 Construction trades helpers and labourers",200790,32400,38680,"Canada","75110",5
"410","75119 Other trades helpers and labourers",12185,28000,34440,"Canada","75119",5
"411","75200 Taxi and limousine drivers and chauffeurs",53510,7300,13860,"Canada","75200",5
"412","75201 Delivery service drivers and door-to-door distributors",90360,18600,25960,"Canada","75201",5
"413","75210 Boat and cable ferry operators and related occupations",2875,40000,45600,"Canada","75210",5
"414","75211 Railway and motor transport labourers",4865,34800,39680,"Canada","75211",5
"415","75212 Public works and maintenance labourers",31655,44000,43160,"Canada","75212",5
"416","80010 Managers in natural resources production and fishing",9945,143000,170400,"Canada","80010",5
"417","80020 Managers in agriculture",141855,19200,28440,"Canada","80020",5
"418","80021 Managers in horticulture",3470,34000,44920,"Canada","80021",5
"419","80022 Managers in aquaculture",875,58400,59300,"Canada","80022",5
"420","82010 Supervisors, logging and forestry",6245,72500,80800,"Canada","82010",5
"421","82020 Supervisors, mining and quarrying",7980,122000,121300,"Canada","82020",5
"422","82021 Contractors and supervisors, oil and gas drilling and services",10140,98000,109700,"Canada","82021",5
"423","82030 Agricultural service contractors and farm supervisors",2800,44400,46280,"Canada","82030",5
"424","82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",19400,42000,48080,"Canada","82031",5
"425","83100 Underground production and development miners",13765,106000,101900,"Canada","83100",5
"426","83101 Oil and gas well drillers, servicers, testers and related workers",6875,64500,74000,"Canada","83101",5
"427","83110 Logging machinery operators",6985,57200,58800,"Canada","83110",5
"428","83120 Fishing masters and officers",1085,55200,72200,"Canada","83120",5
"429","83121 Fishermen/women",11115,22400,31960,"Canada","83121",5
"430","84100 Underground mine service and support workers",4195,80000,80700,"Canada","84100",5
"431","84101 Oil and gas well drilling and related workers and services operators",5620,75500,80900,"Canada","84101",5
"432","84110 Chain saw and skidder operators",6885,31400,38200,"Canada","84110",5
"433","84111 Silviculture and forestry workers",7630,26600,33480,"Canada","84111",5
"434","84120 Specialized livestock workers and farm machinery operators",41810,23600,29000,"Canada","84120",5
"435","84121 Fishing vessel deckhands",9405,20600,29520,"Canada","84121",5
"436","85100 Livestock labourers",26820,18000,24660,"Canada","85100",5
"437","85101 Harvesting labourers",12450,12500,17520,"Canada","85101",5
"438","85102 Aquaculture and marine harvest labourers",2585,23200,31880,"Canada","85102",5
"439","85103 Nursery and greenhouse labourers",16345,16800,21720,"Canada","85103",5
"440","85104 Trappers and hunters",385,9900,23400,"Canada","85104",5
"441","85110 Mine labourers",2765,47600,59800,"Canada","85110",5
"442","85111 Oil and gas drilling, servicing and related labourers",6830,45200,51550,"Canada","85111",5
"443","85120 Logging and forestry labourers",5325,17400,24100,"Canada","85120",5
"444","85121 Landscaping and grounds maintenance labourers",109675,15900,22380,"Canada","85121",5
"445","90010 Manufacturing managers",70875,81000,97400,"Canada","90010",5
"446","90011 Utilities managers",11295,125000,143000,"Canada","90011",5
"447","92010 Supervisors, mineral and metal processing",5560,81000,86500,"Canada","92010",5
"448","92011 Supervisors, petroleum, gas and chemical processing and utilities",12070,98000,111000,"Canada","92011",5
"449","92012 Supervisors, food and beverage processing",15370,58000,59300,"Canada","92012",5
"450","92013 Supervisors, plastic and rubber products manufacturing",3515,60800,63050,"Canada","92013",5
"451","92014 Supervisors, forest products processing",5640,76500,76500,"Canada","92014",5
"452","92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",1105,43600,45000,"Canada","92015",5
"453","92020 Supervisors, motor vehicle assembling",8365,72500,77400,"Canada","92020",5
"454","92021 Supervisors, electronics and electrical products manufacturing",2205,57200,61000,"Canada","92021",5
"455","92022 Supervisors, furniture and fixtures manufacturing",1615,52800,53450,"Canada","92022",5
"456","92023 Supervisors, other mechanical and metal products manufacturing",2865,72500,73700,"Canada","92023",5
"457","92024 Supervisors, other products manufacturing and assembly",3025,57600,61350,"Canada","92024",5
"458","92100 Power engineers and power systems operators",34540,86000,100200,"Canada","92100",5
"459","92101 Water and waste treatment plant operators",13360,69500,68000,"Canada","92101",5
"460","93100 Central control and process operators, mineral and metal processing",2430,98000,93700,"Canada","93100",5
"461","93101 Central control and process operators, petroleum, gas and chemical processing",22100,103000,113700,"Canada","93101",5
"462","93102 Pulping, papermaking and coating control operators",745,90000,87800,"Canada","93102",5
"463","93200 Aircraft assemblers and aircraft assembly inspectors",5635,64500,62150,"Canada","93200",5
"464","94100 Machine operators, mineral and metal processing",8395,80000,79400,"Canada","94100",5
"465","94101 Foundry workers",2420,52000,57500,"Canada","94101",5
"466","94102 Glass forming and finishing machine operators and glass cutters",2200,37600,38440,"Canada","94102",5
"467","94103 Concrete, clay and stone forming operators",3660,43200,47440,"Canada","94103",5
"468","94104 Inspectors and testers, mineral and metal processing",2270,53600,56700,"Canada","94104",5
"469","94105 Metalworking and forging machine operators",11380,44000,45000,"Canada","94105",5
"470","94106 Machining tool operators",8665,46800,48720,"Canada","94106",5
"471","94107 Machine operators of other metal products",2815,46000,47560,"Canada","94107",5
"472","94110 Chemical plant machine operators",7390,51600,59950,"Canada","94110",5
"473","94111 Plastics processing machine operators",13485,40400,43160,"Canada","94111",5
"474","94112 Rubber processing machine operators and related workers",5215,50800,50000,"Canada","94112",5
"475","94120 Sawmill machine operators",6225,47600,49160,"Canada","94120",5
"476","94121 Pulp mill, papermaking and finishing machine operators",5025,82000,81400,"Canada","94121",5
"477","94122 Paper converting machine operators",3565,54800,53700,"Canada","94122",5
"478","94123 Lumber graders and other wood processing inspectors and graders",2540,52400,53600,"Canada","94123",5
"479","94124 Woodworking machine operators",6585,35600,37200,"Canada","94124",5
"480","94129 Other wood processing machine operators",2145,54800,55550,"Canada","94129",5
"481","94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",2720,31800,32400,"Canada","94130",5
"482","94131 Weavers, knitters and other fabric making occupations",2095,29800,31920,"Canada","94131",5
"483","94132 Industrial sewing machine operators",13495,22400,24220,"Canada","94132",5
"484","94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",1620,27000,28720,"Canada","94133",5
"485","94140 Process control and machine operators, food and beverage processing",48305,45200,47360,"Canada","94140",5
"486","94141 Industrial butchers and meat cutters, poultry preparers and related workers",15860,43600,41600,"Canada","94141",5
"487","94142 Fish and seafood plant workers",7370,15300,20580,"Canada","94142",5
"488","94143 Testers and graders, food and beverage processing",7695,37200,40120,"Canada","94143",5
"489","94150 Plateless printing equipment operators",6815,37600,37440,"Canada","94150",5
"490","94151 Camera, platemaking and other prepress occupations",2035,47600,49040,"Canada","94151",5
"491","94152 Binding and finishing machine operators",3590,32800,33960,"Canada","94152",5
"492","94153 Photographic and film processors",1280,24600,28960,"Canada","94153",5
"493","94200 Motor vehicle assemblers, inspectors and testers",68960,43600,46320,"Canada","94200",5
"494","94201 Electronics assemblers, fabricators, inspectors and testers",13050,35200,36560,"Canada","94201",5
"495","94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",7220,36400,38320,"Canada","94202",5
"496","94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",2440,44000,46720,"Canada","94203",5
"497","94204 Mechanical assemblers and inspectors",10445,44400,46040,"Canada","94204",5
"498","94205 Machine operators and inspectors, electrical apparatus manufacturing",870,40400,43700,"Canada","94205",5
"499","94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",16770,32400,32400,"Canada","94210",5
"500","94211 Assemblers and inspectors of other wood products",8025,33600,34120,"Canada","94211",5
"501","94212 Plastic products assemblers, finishers and inspectors",4990,36800,36640,"Canada","94212",5
"502","94213 Industrial painters, coaters and metal finishing process operators",15050,44800,47560,"Canada","94213",5
"503","94219 Other products assemblers, finishers and inspectors",19790,32800,35440,"Canada","94219",5
"504","95100 Labourers in mineral and metal processing",9420,42800,47080,"Canada","95100",5
"505","95101 Labourers in metal fabrication",13225,34800,37240,"Canada","95101",5
"506","95102 Labourers in chemical products processing and utilities",19680,29400,34360,"Canada","95102",5
"507","95103 Labourers in wood, pulp and paper processing",17675,38000,41640,"Canada","95103",5
"508","95104 Labourers in rubber and plastic products manufacturing",9035,33600,35720,"Canada","95104",5
"509","95105 Labourers in textile processing and cutting",5735,23400,26440,"Canada","95105",5
"510","95106 Labourers in food and beverage processing",82620,30600,31760,"Canada","95106",5
"511","95107 Labourers in fish and seafood processing",8710,14900,18640,"Canada","95107",5
"512","95109 Other labourers in processing, manufacturing and utilities",85125,27600,30040,"Canada","95109",5
