"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"89","21234 Web developers and programmers",49965,59200,63000,"Canada","21234",5
"90","21300 Civil engineers",64670,86000,96300,"Canada","21300",5
"91","21301 Mechanical engineers",54950,84000,95700,"Canada","21301",5
"92","21310 Electrical and electronics engineers",44580,95000,103100,"Canada","21310",5
"93","21311 Computer engineers (except software engineers and designers)",24805,1e+05,111400,"Canada","21311",5
"94","21320 Chemical engineers",11310,90000,106900,"Canada","21320",5
"95","21321 Industrial and manufacturing engineers",16115,78000,86100,"Canada","21321",5
"96","21322 Metallurgical and materials engineers",2630,98000,105800,"Canada","21322",5
"97","21330 Mining engineers",3320,116000,151200,"Canada","21330",5
"98","21331 Geological engineers",3655,93000,110400,"Canada","21331",5
"99","21332 Petroleum engineers",5185,134000,157200,"Canada","21332",5
"100","21390 Aerospace engineers",5505,94000,94900,"Canada","21390",5
"101","21399 Other professional engineers",6050,86000,87900,"Canada","21399",5
"102","22100 Chemical technologists and technicians",12555,56800,61250,"Canada","22100",5
"103","22101 Geological and mineral technologists and technicians",7750,72500,83200,"Canada","22101",5
"104","22110 Biological technologists and technicians",10285,46000,47560,"Canada","22110",5
"105","22111 Agricultural and fish products inspectors",3550,61200,59850,"Canada","22111",5
"106","22112 Forestry technologists and technicians",6685,53600,53850,"Canada","22112",5
"107","22113 Conservation and fishery officers",3715,64000,59000,"Canada","22113",5
"108","22114 Landscape and horticulture technicians and specialists",23925,31800,38240,"Canada","22114",5
"109","22210 Architectural technologists and technicians",13475,50400,53650,"Canada","22210",5
"110","22211 Industrial designers",10225,54000,60550,"Canada","22211",5
"111","22212 Drafting technologists and technicians",27445,50800,53000,"Canada","22212",5
"112","22213 Land survey technologists and technicians",3300,50400,53550,"Canada","22213",5
"113","22214 Technical occupations in geomatics and meteorology",8985,65500,65200,"Canada","22214",5
"114","22220 Computer network and web technicians",66285,66500,67600,"Canada","22220",5
"115","22221 User support technicians",61155,54400,57500,"Canada","22221",5
"116","22222 Information systems testing technicians",10200,51200,56600,"Canada","22222",5
"117","22230 Non-destructive testers and inspectors",6635,74500,79900,"Canada","22230",5
"118","22231 Engineering inspectors and regulatory officers",7195,82000,85900,"Canada","22231",5
"119","22232 Occupational health and safety specialists",19625,70500,72400,"Canada","22232",5
"120","22233 Construction inspectors",15620,65500,66800,"Canada","22233",5
"121","22300 Civil engineering technologists and technicians",22425,62400,63500,"Canada","22300",5
"122","22301 Mechanical engineering technologists and technicians",31250,70000,73500,"Canada","22301",5
"123","22302 Industrial engineering and manufacturing technologists and technicians",16900,59200,62750,"Canada","22302",5
"124","22303 Construction estimators",26260,65500,71300,"Canada","22303",5
"125","22310 Electrical and electronics engineering technologists and technicians",44475,67500,70700,"Canada","22310",5
"126","22311 Electronic service technicians (household and business equipment)",49920,48400,50000,"Canada","22311",5
"127","22312 Industrial instrument technicians and mechanics",9080,92000,98000,"Canada","22312",5
"128","22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",5570,76000,75500,"Canada","22313",5
"129","30010 Managers in health care",37340,95000,97200,"Canada","30010",5
"130","31100 Specialists in clinical and laboratory medicine",32985,146000,172400,"Canada","31100",5
"131","31101 Specialists in surgery",9610,149000,182400,"Canada","31101",5
"132","31102 General practitioners and family physicians",54325,118000,139400,"Canada","31102",5
"133","31103 Veterinarians",10865,85000,90200,"Canada","31103",5
"134","31110 Dentists",19905,87000,101400,"Canada","31110",5
"135","31111 Optometrists",6055,79500,84300,"Canada","31111",5
"136","31112 Audiologists and speech-language pathologists",12445,70000,66300,"Canada","31112",5
"137","31120 Pharmacists",41945,96000,90600,"Canada","31120",5
"138","31121 Dietitians and nutritionists",11150,62800,58400,"Canada","31121",5
"139","31200 Psychologists",18900,77000,77200,"Canada","31200",5
"140","31201 Chiropractors",8305,48800,58550,"Canada","31201",5
"141","31202 Physiotherapists",26185,64000,61900,"Canada","31202",5
"142","31203 Occupational therapists",17615,72500,67500,"Canada","31203",5
"143","31204 Kinesiologists and other professional occupations in therapy and assessment",10660,36400,40120,"Canada","31204",5
"144","31209 Other professional occupations in health diagnosing and treating",6805,31000,43560,"Canada","31209",5
"145","31300 Nursing coordinators and supervisors",14520,84000,80700,"Canada","31300",5
"146","31301 Registered nurses and registered psychiatric nurses",324220,76500,73200,"Canada","31301",5
"147","31302 Nurse practitioners",6505,109000,101000,"Canada","31302",5
"148","31303 Physician assistants, midwives and allied health professionals",2910,72000,66700,"Canada","31303",5
"149","32100 Opticians",9555,42000,44360,"Canada","32100",5
"150","32101 Licensed practical nurses",73385,55600,52600,"Canada","32101",5
"151","32102 Paramedical occupations",30340,81000,78900,"Canada","32102",5
"152","32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13265,77500,75100,"Canada","32103",5
"153","32104 Animal health technologists and veterinary technicians",21220,32800,33480,"Canada","32104",5
"154","32109 Other technical occupations in therapy and assessment",17945,38000,39280,"Canada","32109",5
"155","32110 Denturists",2365,38000,51900,"Canada","32110",5
"156","32111 Dental hygienists and dental therapists",27930,44400,44960,"Canada","32111",5
"157","32112 Dental technologists and technicians",4945,36000,39880,"Canada","32112",5
"158","32120 Medical laboratory technologists",20180,72000,68600,"Canada","32120",5
"159","32121 Medical radiation technologists",20035,71500,68600,"Canada","32121",5
"160","32122 Medical sonographers",6650,70000,65300,"Canada","32122",5
"161","32123 Cardiology technologists and electrophysiological diagnostic technologists",3135,56400,55350,"Canada","32123",5
"162","32124 Pharmacy technicians",26560,39600,41000,"Canada","32124",5
"163","32129 Other medical technologists and technicians",5005,48400,50240,"Canada","32129",5
"164","32200 Traditional Chinese medicine practitioners and acupuncturists",4295,17000,24760,"Canada","32200",5
"165","32201 Massage therapists",37720,18800,23600,"Canada","32201",5
"166","32209 Other practitioners of natural healing",4750,8200,17700,"Canada","32209",5
