"occupation","employment","median.income","mean.income","geography"
"6202 Service supervisors",113995,32800,38440,"Canada"
"62020 Food service supervisors",71205,29200,34800,"Canada"
"62021 Executive housekeepers",1935,39600,42000,"Canada"
"62022 Accommodation, travel, tourism and related services supervisors",5975,25800,31360,"Canada"
"62023 Customer and information services supervisors",10585,54000,57700,"Canada"
"62024 Cleaning supervisors",13140,40800,42720,"Canada"
"62029 Other services supervisors",11150,40000,41640,"Canada"
"621 Specialized sales occupations",84730,61200,78900,"Canada"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers",84730,61200,78900,"Canada"
"62100 Technical sales specialists - wholesale trade",50240,82000,100500,"Canada"
"62101 Retail and wholesale buyers",34495,37600,47440,"Canada"
"622 Specialized services occupations",71460,26000,32200,"Canada"
"6220 Specialized occupations in services",71460,26000,32200,"Canada"
"62200 Chefs",62880,25000,30280,"Canada"
"62201 Funeral directors and embalmers",5210,54000,60100,"Canada"
"62202 Jewellers, jewellery and watch repairers and related occupations",3365,16600,24560,"Canada"
"63 Occupations in sales and services",625815,23000,37720,"Canada"
"631 Occupations in sales",233805,49600,66000,"Canada"
"6310 Insurance, real estate and financial sales occupations",233805,49600,66000,"Canada"
"63100 Insurance agents and brokers",77515,53200,66900,"Canada"
"63101 Real estate agents and salespersons",97705,38000,61650,"Canada"
"63102 Financial sales representatives",58590,53600,72100,"Canada"
"632 Occupations in services",392005,15500,20840,"Canada"
"6320 Cooks, butchers and bakers",234805,17400,21880,"Canada"
"63200 Cooks",179445,16000,20540,"Canada"
"63201 Butchers - retail and wholesale",10605,33600,33600,"Canada"
"63202 Bakers",44755,21200,24520,"Canada"
"6321 Hairstylists and estheticians",143810,12000,16880,"Canada"
"63210 Hairstylists and barbers",86365,12700,17200,"Canada"
"63211 Estheticians, electrologists and related occupations",57440,10900,16400,"Canada"
"6322 Shoe repairers, shoemakers and upholsterers",13390,41600,45280,"Canada"
"63220 Shoe repairers and shoemakers",10010,46800,50000,"Canada"
"63221 Upholsterers",3380,28800,31280,"Canada"
"64 Sales and service representatives and other customer and personal services occupations",1255825,23400,32520,"Canada"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives",690545,19400,32160,"Canada"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives",690545,19400,32160,"Canada"
"64100 Retail salespersons and visual merchandisers",629295,17600,28560,"Canada"
"64101 Sales and account representatives - wholesale trade (non-technical)",61250,57200,69300,"Canada"
"642 Occupations in personal service",19290,16400,21420,"Canada"
"6420 Occupations in personal service",19290,16400,21420,"Canada"
"64200 Tailors, dressmakers, furriers and milliners",17180,16200,19240,"Canada"
"64201 Image, social and other personal consultants",2115,19400,39160,"Canada"
"643 Occupations in food, accommodation and tourism",120210,13900,22200,"Canada"
"6430 Occupations in food and beverage service",49045,8400,11620,"Canada"
"64300 Maîtres d'hôtel and hosts/hostesses",20175,5560,8280,"Canada"
"64301 Bartenders",28865,10900,13960,"Canada"
"6431 Occupations in travel and accommodation",59130,27000,31880,"Canada"
"64310 Travel counsellors",17695,23000,29080,"Canada"
"64311 Pursers and flight attendants",11840,38800,41880,"Canada"
"64312 Airline ticket and service agents",11160,31400,36960,"Canada"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",1715,54000,53200,"Canada"
"64314 Hotel front desk clerks",16715,20000,22240,"Canada"
"6432 Tourism and amusement services occupations",12035,12200,17600,"Canada"
"64320 Tour and travel guides",2670,7300,14980,"Canada"
"64321 Casino workers",6995,12800,18100,"Canada"
"64322 Outdoor sport and recreational guides",2375,14800,19100,"Canada"
"644 Occupations in customer, information and protective services",425780,33600,36560,"Canada"
"6440 Customer and information services representatives",309330,34000,37080,"Canada"
"64400 Customer services representatives - financial institutions",58750,35200,38160,"Canada"
"64401 Postal services representatives",7375,31800,35080,"Canada"
"64409 Other customer and information services representatives",243205,34000,36880,"Canada"
"6441 Security guards and related security service occupations",116450,32000,35160,"Canada"
"64410 Security guards and related security service occupations",116450,32000,35160,"Canada"
"65 Sales and service support occupations",1654815,13100,19560,"Canada"
"651 Sales support occupations",620815,12800,19080,"Canada"
"6510 Cashiers and other sales support occupations",620815,12800,19080,"Canada"
"65100 Cashiers",358760,11100,17360,"Canada"
"65101 Service station attendants",8975,12700,17800,"Canada"
"65102 Store shelf stockers, clerks and order fillers",225115,16400,20920,"Canada"
"65109 Other sales related occupations",27970,13200,26640,"Canada"
"652 Support occupations in food, accommodation and tourism",590915,10500,15840,"Canada"
"6520 Food support occupations",525705,10500,15520,"Canada"
"65200 Food and beverage servers",127700,9900,13320,"Canada"
"65201 Food counter attendants, kitchen helpers and related support occupations",391160,10600,15900,"Canada"
"65202 Meat cutters and fishmongers - retail and wholesale",6845,34800,35000,"Canada"
"6521 Support occupations in accommodation, travel, tourism and amusement services",37895,8600,17660,"Canada"
"65210 Support occupations in accommodation, travel and facilities set-up services",3115,18800,29400,"Canada"
"65211 Operators and attendants in amusement, recreation and sport",34780,8200,16600,"Canada"
"6522 Support occupations in personal services",27310,13000,19460,"Canada"
"65220 Pet groomers and animal care workers",25095,13400,19680,"Canada"
"65229 Other support occupations in personal services",2220,7750,16840,"Canada"
"653 Support occupations in cleaning and related services",443090,20400,25180,"Canada"
"6531 Cleaners",400855,20800,25400,"Canada"
"65310 Light duty cleaners",251930,17400,22440,"Canada"
"65311 Specialized cleaners",40005,21000,26080,"Canada"
"65312 Janitors, caretakers and heavy-duty cleaners",108925,30200,32000,"Canada"
"6532 Service support and related occupations",42230,17800,23160,"Canada"
"65320 Dry cleaning, laundry and related occupations",17285,25400,26760,"Canada"
"65329 Other service support occupations",24945,13100,20680,"Canada"
"7 Trades, transport and equipment operators and related occupations",3105230,46000,52300,"Canada"
"70 Middle management occupations in trades and transportation",252080,63600,73500,"Canada"
"700 Middle management occupations in trades and transportation",252080,63600,73500,"Canada"
"7001 Managers in construction and facility operation and maintenance",208800,60400,70800,"Canada"
"70010 Construction managers",88725,76000,85400,"Canada"
"70011 Home building and renovation managers",47050,24000,37240,"Canada"
"70012 Facility operation and maintenance managers",73020,65000,74700,"Canada"
"7002 Managers in transportation and postal and courier services",43280,77000,86500,"Canada"
"70020 Managers in transportation",39275,78000,88400,"Canada"
"70021 Postal and courier services managers",4010,64500,68100,"Canada"
"72 Technical trades and transportation officers and controllers",1234610,56000,61450,"Canada"
"720 Technical trades contractors and supervisors",189870,68000,72600,"Canada"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers",100025,62400,67300,"Canada"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",13520,74500,79200,"Canada"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",22355,79000,82400,"Canada"
"72012 Contractors and supervisors, pipefitting trades",7485,82000,82600,"Canada"
"72013 Contractors and supervisors, carpentry trades",14550,59200,60950,"Canada"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",42120,47600,54900,"Canada"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",89845,73500,78600,"Canada"
"72020 Contractors and supervisors, mechanic trades",25520,74500,79800,"Canada"
"72021 Contractors and supervisors, heavy equipment operator crews",42270,81000,86000,"Canada"
"72022 Supervisors, printing and related occupations",2030,56400,57150,"Canada"
"72023 Supervisors, railway transport operations",1225,96000,97600,"Canada"
"72024 Supervisors, motor transport and other ground transit operators",10425,62400,64800,"Canada"
"72025 Supervisors, mail and message distribution occupations",8380,59600,56500,"Canada"
"721 Technical industrial trades",176590,52800,55700,"Canada"
"7210 Machining, metal forming, shaping and erecting trades",176590,52800,55700,"Canada"
"72100 Machinists and machining and tooling inspectors",37095,54000,55250,"Canada"
"72101 Tool and die makers",10045,60000,61550,"Canada"
"72102 Sheet metal workers",18990,53600,54600,"Canada"
"72103 Boilermakers",3810,62000,68400,"Canada"
"72104 Structural metal and platework fabricators and fitters",6555,54800,55900,"Canada"
"72105 Ironworkers",12925,61200,63100,"Canada"
"72106 Welders and related machine operators",87165,49600,53800,"Canada"
"722 Technical electrical trades",168095,63600,66600,"Canada"
"7220 Technical electrical trades and electrical power line and telecommunications workers",168095,63600,66600,"Canada"
"72200 Electricians (except industrial and power system)",97680,53200,55900,"Canada"
"72201 Industrial electricians",21960,89000,91100,"Canada"
"72202 Power system electricians",4975,95000,95400,"Canada"
"72203 Electrical power line and cable workers",13300,107000,105700,"Canada"
"72204 Telecommunications line and cable installers and repairers",9700,59600,59000,"Canada"
"72205 Telecommunications equipment installation and cable television service technicians",20485,63200,62650,"Canada"
"723 Technical construction trades",274770,44000,47360,"Canada"
"7230 Plumbers, pipefitters and gas fitters",78055,56400,58700,"Canada"
"72300 Plumbers",50615,52400,54150,"Canada"
"72301 Steamfitters, pipefitters and sprinkler system installers",20825,67000,68900,"Canada"
"72302 Gas fitters",6620,56400,61500,"Canada"
"7231 Carpenters and cabinetmakers",171590,39600,42240,"Canada"
"72310 Carpenters",155690,40400,43000,"Canada"
"72311 Cabinetmakers",15900,34000,34960,"Canada"
"7232 Bricklayers and insulators",25130,43600,47160,"Canada"
"72320 Bricklayers",16300,41200,44680,"Canada"
"72321 Insulators",8825,48400,51800,"Canada"
"724 Technical maintenance trades",371215,58000,62100,"Canada"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)",168305,72500,75500,"Canada"
"72400 Construction millwrights and industrial mechanics",65385,74000,77900,"Canada"
"72401 Heavy-duty equipment mechanics",44340,74000,79300,"Canada"
"72402 Heating, refrigeration and air conditioning mechanics",29605,59600,62450,"Canada"
"72403 Railway carmen/women",2495,84000,81000,"Canada"
"72404 Aircraft mechanics and aircraft inspectors",18495,72500,71300,"Canada"
"72405 Machine fitters",2140,61600,62150,"Canada"
"72406 Elevator constructors and mechanics",5845,102000,101500,"Canada"
"7241 Automotive service technicians",176220,48000,51080,"Canada"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",147535,49200,51900,"Canada"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",28690,43200,46880,"Canada"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)",26695,48800,50480,"Canada"
"72420 Oil and solid fuel heating mechanics",1585,47200,50440,"Canada"
"72421 Appliance servicers and repairers",5480,35200,39840,"Canada"
"72422 Electrical mechanics",10465,60400,61500,"Canada"
"72423 Motorcycle, all-terrain vehicle and other related mechanics",6580,47200,48280,"Canada"
"72429 Other small engine and small equipment repairers",2580,30800,34040,"Canada"
"725 Technical equipment operation trades",14310,74500,80700,"Canada"
"7250 Crane operators and water well drillers",14310,74500,80700,"Canada"
"72500 Crane operators",13730,76500,81900,"Canada"
"72501 Water well drillers",580,50400,50600,"Canada"
"726 Transportation officers and controllers",30865,94000,108800,"Canada"
"7260 Transportation officers and controllers",30865,94000,108800,"Canada"
"72600 Air pilots, flight engineers and flying instructors",17490,92000,109400,"Canada"
"72601 Air traffic controllers and related occupations",4655,107000,122500,"Canada"
"72602 Deck officers, water transport",5925,91000,103900,"Canada"
"72603 Engineer officers, water transport",1440,96000,99800,"Canada"
"72604 Railway traffic controllers and marine traffic regulators",1355,86000,85700,"Canada"
"729 Other technical trades",8900,45200,49080,"Canada"
"7299 Other technical trades",8900,45200,49080,"Canada"
"72999 Other technical trades and related occupations",8900,45200,49080,"Canada"
"73 General trades",853565,40400,45040,"Canada"
"731 General construction trades",122455,31200,35600,"Canada"
"7310 Concrete finishers, tilesetters and plasterers",43365,37200,40120,"Canada"
"73100 Concrete finishers",8785,48400,50360,"Canada"
"73101 Tilesetters",8135,31400,35680,"Canada"
"73102 Plasterers, drywall installers and finishers and lathers",26455,35200,38080,"Canada"
"7311 Roofers, glaziers, painters, decorators and floor covering installers",79085,27800,33120,"Canada"
"73110 Roofers and shinglers",21680,33200,38120,"Canada"
"73111 Glaziers",8130,45600,46000,"Canada"
"73112 Painters and decorators (except interior decorators)",38795,21400,27760,"Canada"
"73113 Floor covering installers",10475,27800,32720,"Canada"
"732 Building maintenance installers, servicers and repairers",160990,34800,38240,"Canada"
"7320 Building maintenance installers, servicers and repairers",160990,34800,38240,"Canada"
"73200 Residential and commercial installers and servicers",48330,30400,34600,"Canada"
"73201 General building maintenance workers and building superintendents",98405,38000,40240,"Canada"
"73202 Pest controllers and fumigators",4060,39200,41600,"Canada"
"73209 Other repairers and servicers",10200,29600,34840,"Canada"
"733 Transportation occupations",458325,40800,45440,"Canada"
"7330 Transport truck and transit drivers",446705,40000,44160,"Canada"
"73300 Transport truck drivers",350460,42400,45240,"Canada"
"73301 Bus drivers, subway operators and other transit operators",96240,27800,40240,"Canada"
"7331 Train crew operating occupations",11620,96000,94600,"Canada"
"73310 Railway and yard locomotive engineers",5970,116000,109100,"Canada"
"73311 Railway conductors and brakemen/women",5655,81000,79400,"Canada"
"734 Operators, drillers and blasters",111795,58800,63450,"Canada"
"7340 Operators, drillers and blasters",111795,58800,63450,"Canada"
"73400 Heavy equipment operators",93255,60800,65900,"Canada"
"73401 Printing press operators",14300,43600,45160,"Canada"
"73402 Drillers and blasters - surface mining, quarrying and construction",4245,68500,70400,"Canada"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers",144505,46800,46960,"Canada"
"741 Mail and message distribution occupations",89310,46800,45600,"Canada"
"7410 Mail and message distribution occupations",89310,46800,45600,"Canada"
"74100 Mail and parcel sorters and related occupations",23075,40800,42560,"Canada"
"74101 Letter carriers",33235,61200,55050,"Canada"
"74102 Couriers and messengers",32995,33600,38160,"Canada"
"742 Transport equipment operators, utility maintenance and related workers",55195,46400,49200,"Canada"
"7420 Transport equipment operators, utility maintenance and related maintenance workers",55195,46400,49200,"Canada"
"74200 Railway yard and track maintenance workers",5665,77500,75300,"Canada"
"74201 Water transport deck and engine room crew",4615,58800,56600,"Canada"
"74202 Air transport ramp attendants",9315,32800,36560,"Canada"
"74203 Automotive and heavy truck and equipment parts installers and servicers",14175,31800,39480,"Canada"
"74204 Utility maintenance workers",5960,60800,63050,"Canada"
"74205 Public works maintenance equipment operators and related workers",15465,50400,48640,"Canada"
"75 Helpers and labourers and other transport drivers, operators and labourers",620470,30200,36640,"Canada"
"751 Helpers and labourers",437205,34800,41080,"Canada"
"7510 Longshore workers and material handlers",224230,37200,43600,"Canada"
"75100 Longshore workers",5710,87000,90000,"Canada"
"75101 Material handlers",218515,36800,42400,"Canada"
"7511 Trades helpers and labourers",212975,32000,38440,"Canada"
"75110 Construction trades helpers and labourers",200790,32400,38680,"Canada"
"75119 Other trades helpers and labourers",12185,28000,34440,"Canada"
"752 Transport drivers, operators and labourers",183265,17200,26040,"Canada"
"7520 Taxi, personal service and delivery service drivers",143875,13000,21440,"Canada"
"75200 Taxi and limousine drivers and chauffeurs",53510,7300,13860,"Canada"
"75201 Delivery service drivers and door-to-door distributors",90360,18600,25960,"Canada"
"7521 Water and rail transport operators and labourers and related occupations",39395,42400,42880,"Canada"
"75210 Boat and cable ferry operators and related occupations",2875,40000,45600,"Canada"
"75211 Railway and motor transport labourers",4865,34800,39680,"Canada"
"75212 Public works and maintenance labourers",31655,44000,43160,"Canada"
"8 Natural resources, agriculture and related production occupations",501260,24400,39040,"Canada"
"80 Middle management occupations in production and agriculture",156155,21800,38040,"Canada"
"800 Middle management occupations in production and agriculture",156155,21800,38040,"Canada"
"8001 Managers in natural resources production and fishing",9945,143000,170400,"Canada"
"80010 Managers in natural resources production and fishing",9945,143000,170400,"Canada"
"8002 Managers in agriculture, horticulture and aquaculture",146210,19600,29040,"Canada"
"80020 Managers in agriculture",141855,19200,28440,"Canada"
"80021 Managers in horticulture",3470,34000,44920,"Canada"
"80022 Managers in aquaculture",875,58400,59300,"Canada"
"82 Supervisors in natural resources, agriculture and related production",46565,64000,78300,"Canada"
"820 Supervisors in natural resources, agriculture and related production",46565,64000,78300,"Canada"
"8201 Supervisors, logging and forestry",6245,72500,80800,"Canada"
"82010 Supervisors, logging and forestry",6245,72500,80800,"Canada"
"8202 Contractors and supervisors, mining, oil and gas",18120,109000,114800,"Canada"
"82020 Supervisors, mining and quarrying",7980,122000,121300,"Canada"
"82021 Contractors and supervisors, oil and gas drilling and services",10140,98000,109700,"Canada"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",22200,42400,47840,"Canada"
"82030 Agricultural service contractors and farm supervisors",2800,44400,46280,"Canada"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",19400,42000,48080,"Canada"
"83 Occupations in natural resources and related production",39830,61600,69200,"Canada"
"831 Occupations in natural resources and fisheries",39830,61600,69200,"Canada"
"8310 Underground miners, oil and gas drillers and related occupations",20645,94000,92600,"Canada"
"83100 Underground production and development miners",13765,106000,101900,"Canada"
"83101 Oil and gas well drillers, servicers, testers and related workers",6875,64500,74000,"Canada"
"8311 Logging machinery operators",6985,57200,58800,"Canada"
"83110 Logging machinery operators",6985,57200,58800,"Canada"
"8312 Fishing vessel masters and fishermen/women",12200,24400,35560,"Canada"
"83120 Fishing masters and officers",1085,55200,72200,"Canada"
"83121 Fishermen/women",11115,22400,31960,"Canada"
"84 Workers in natural resources, agriculture and related production",75540,27800,37080,"Canada"
"841 Workers in natural resources and fisheries",75540,27800,37080,"Canada"
"8410 Mine service workers and operators in oil and gas drilling",9815,77500,80800,"Canada"
"84100 Underground mine service and support workers",4195,80000,80700,"Canada"
"84101 Oil and gas well drilling and related workers and services operators",5620,75500,80900,"Canada"
"8411 Logging and forestry workers",14515,28400,35720,"Canada"
"84110 Chain saw and skidder operators",6885,31400,38200,"Canada"
"84111 Silviculture and forestry workers",7630,26600,33480,"Canada"
"8412 Workers in agriculture and fishing occupations",51215,22800,29080,"Canada"
"84120 Specialized livestock workers and farm machinery operators",41810,23600,29000,"Canada"
"84121 Fishing vessel deckhands",9405,20600,29520,"Canada"
"85 Harvesting, landscaping and natural resources labourers",183175,16800,24160,"Canada"
"851 Harvesting, landscaping and natural resources labourers",183175,16800,24160,"Canada"
"8510 Agriculture, horticulture and harvesting labourers and related occupations",58580,16200,22640,"Canada"
"85100 Livestock labourers",26820,18000,24660,"Canada"
"85101 Harvesting labourers",12450,12500,17520,"Canada"
"85102 Aquaculture and marine harvest labourers",2585,23200,31880,"Canada"
"85103 Nursery and greenhouse labourers",16345,16800,21720,"Canada"
"85104 Trappers and hunters",385,9900,23400,"Canada"
"8511 Mine and oil and gas drilling, services and related labourers",9595,45600,53950,"Canada"
"85110 Mine labourers",2765,47600,59800,"Canada"
"85111 Oil and gas drilling, servicing and related labourers",6830,45200,51550,"Canada"
"8512 Logging, forestry, landscaping and other related labourers",115000,15900,22460,"Canada"
"85120 Logging and forestry labourers",5325,17400,24100,"Canada"
"85121 Landscaping and grounds maintenance labourers",109675,15900,22380,"Canada"
"9 Occupations in manufacturing and utilities",848015,43200,53450,"Canada"
"90 Middle management occupations in manufacturing and utilities",82170,86000,103600,"Canada"
"900 Middle management occupations in manufacturing and utilities",82170,86000,103600,"Canada"
"9001 Managers in manufacturing and utilities",82170,86000,103600,"Canada"
"90010 Manufacturing managers",70875,81000,97400,"Canada"
"90011 Utilities managers",11295,125000,143000,"Canada"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers",109230,73000,83000,"Canada"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations",61325,69500,76600,"Canada"
"9201 Supervisors, processing and manufacturing occupations",43260,71000,79400,"Canada"
"92010 Supervisors, mineral and metal processing",5560,81000,86500,"Canada"
"92011 Supervisors, petroleum, gas and chemical processing and utilities",12070,98000,111000,"Canada"
"92012 Supervisors, food and beverage processing",15370,58000,59300,"Canada"
"92013 Supervisors, plastic and rubber products manufacturing",3515,60800,63050,"Canada"
"92014 Supervisors, forest products processing",5640,76500,76500,"Canada"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",1105,43600,45000,"Canada"
"9202 Supervisors, assembly and fabrication",18070,66000,70000,"Canada"
"92020 Supervisors, motor vehicle assembling",8365,72500,77400,"Canada"
"92021 Supervisors, electronics and electrical products manufacturing",2205,57200,61000,"Canada"
"92022 Supervisors, furniture and fixtures manufacturing",1615,52800,53450,"Canada"
"92023 Supervisors, other mechanical and metal products manufacturing",2865,72500,73700,"Canada"
"92024 Supervisors, other products manufacturing and assembly",3025,57600,61350,"Canada"
"921 Utilities equipment operators and controllers",47905,79000,91200,"Canada"
"9210 Utilities equipment operators and controllers",47905,79000,91200,"Canada"
"92100 Power engineers and power systems operators",34540,86000,100200,"Canada"
"92101 Water and waste treatment plant operators",13360,69500,68000,"Canada"
"93 Central control and process operators and aircraft assembly assemblers and inspectors",30910,89000,102100,"Canada"
"931 Central control and process operators in processing and manufacturing",25275,101000,111000,"Canada"
"9310 Central control and process operators in processing and manufacturing",25275,101000,111000,"Canada"
"93100 Central control and process operators, mineral and metal processing",2430,98000,93700,"Canada"
"93101 Central control and process operators, petroleum, gas and chemical processing",22100,103000,113700,"Canada"
"93102 Pulping, papermaking and coating control operators",745,90000,87800,"Canada"
"932 Aircraft assemblers and aircraft assembly inspectors",5635,64500,62150,"Canada"
"9320 Aircraft assemblers and aircraft assembly inspectors",5635,64500,62150,"Canada"
"93200 Aircraft assemblers and aircraft assembly inspectors",5635,64500,62150,"Canada"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing",374480,40800,43800,"Canada"
"941 Processing and manufacturing machine operators and related production workers",206870,42400,45440,"Canada"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing",41810,48800,54100,"Canada"
"94100 Machine operators, mineral and metal processing",8395,80000,79400,"Canada"
"94101 Foundry workers",2420,52000,57500,"Canada"
"94102 Glass forming and finishing machine operators and glass cutters",2200,37600,38440,"Canada"
"94103 Concrete, clay and stone forming operators",3660,43200,47440,"Canada"
"94104 Inspectors and testers, mineral and metal processing",2270,53600,56700,"Canada"
"94105 Metalworking and forging machine operators",11380,44000,45000,"Canada"
"94106 Machining tool operators",8665,46800,48720,"Canada"
"94107 Machine operators of other metal products",2815,46000,47560,"Canada"
"9411 Machine operators and related workers in chemical, plastic and rubber processing",26095,45200,49280,"Canada"
"94110 Chemical plant machine operators",7390,51600,59950,"Canada"
"94111 Plastics processing machine operators",13485,40400,43160,"Canada"
"94112 Rubber processing machine operators and related workers",5215,50800,50000,"Canada"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing",26085,50400,53950,"Canada"
"94120 Sawmill machine operators",6225,47600,49160,"Canada"
"94121 Pulp mill, papermaking and finishing machine operators",5025,82000,81400,"Canada"
"94122 Paper converting machine operators",3565,54800,53700,"Canada"
"94123 Lumber graders and other wood processing inspectors and graders",2540,52400,53600,"Canada"
"94124 Woodworking machine operators",6585,35600,37200,"Canada"
"94129 Other wood processing machine operators",2145,54800,55550,"Canada"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",19930,24000,26520,"Canada"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",2720,31800,32400,"Canada"
"94131 Weavers, knitters and other fabric making occupations",2095,29800,31920,"Canada"
"94132 Industrial sewing machine operators",13495,22400,24220,"Canada"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",1620,27000,28720,"Canada"
"9414 Machine operators and related workers in food, beverage and associated products processing",79225,42000,43000,"Canada"
"94140 Process control and machine operators, food and beverage processing",48305,45200,47360,"Canada"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",15860,43600,41600,"Canada"
"94142 Fish and seafood plant workers",7370,15300,20580,"Canada"
"94143 Testers and graders, food and beverage processing",7695,37200,40120,"Canada"
"9415 Printing equipment operators and related occupations",13720,36400,37440,"Canada"
"94150 Plateless printing equipment operators",6815,37600,37440,"Canada"
"94151 Camera, platemaking and other prepress occupations",2035,47600,49040,"Canada"
"94152 Binding and finishing machine operators",3590,32800,33960,"Canada"
"94153 Photographic and film processors",1280,24600,28960,"Canada"
"942 Assemblers and inspectors in manufacturing",167610,39200,41760,"Canada"
"9420 Mechanical, electrical and electronics assemblers and inspectors",102980,42000,44480,"Canada"
"94200 Motor vehicle assemblers, inspectors and testers",68960,43600,46320,"Canada"
"94201 Electronics assemblers, fabricators, inspectors and testers",13050,35200,36560,"Canada"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",7220,36400,38320,"Canada"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",2440,44000,46720,"Canada"
"94204 Mechanical assemblers and inspectors",10445,44400,46040,"Canada"
"94205 Machine operators and inspectors, electrical apparatus manufacturing",870,40400,43700,"Canada"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors",64630,35600,37400,"Canada"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",16770,32400,32400,"Canada"
"94211 Assemblers and inspectors of other wood products",8025,33600,34120,"Canada"
"94212 Plastic products assemblers, finishers and inspectors",4990,36800,36640,"Canada"
"94213 Industrial painters, coaters and metal finishing process operators",15050,44800,47560,"Canada"
"94219 Other products assemblers, finishers and inspectors",19790,32800,35440,"Canada"
"95 Labourers in processing, manufacturing and utilities",251230,29600,32520,"Canada"
"951 Labourers in processing, manufacturing and utilities",251230,29600,32520,"Canada"
"9510 Labourers in processing, manufacturing and utilities",251230,29600,32520,"Canada"
"95100 Labourers in mineral and metal processing",9420,42800,47080,"Canada"
"95101 Labourers in metal fabrication",13225,34800,37240,"Canada"
"95102 Labourers in chemical products processing and utilities",19680,29400,34360,"Canada"
"95103 Labourers in wood, pulp and paper processing",17675,38000,41640,"Canada"
"95104 Labourers in rubber and plastic products manufacturing",9035,33600,35720,"Canada"
"95105 Labourers in textile processing and cutting",5735,23400,26440,"Canada"
"95106 Labourers in food and beverage processing",82620,30600,31760,"Canada"
"95107 Labourers in fish and seafood processing",8710,14900,18640,"Canada"
"95109 Other labourers in processing, manufacturing and utilities",85125,27600,30040,"Canada"
