"occupation","employment","median.income","mean.income","geography"
"14404 Dispatchers",30305,52800,56150,"Canada"
"14405 Transportation route and crew schedulers",3950,54000,57400,"Canada"
"2 Natural and applied sciences and related occupations",1541595,75000,83300,"Canada"
"20 Specialized middle management occupations in engineering, architecture, science and information systems",128520,112000,129600,"Canada"
"200 Specialized middle management occupations in engineering, architecture, science and information systems",128520,112000,129600,"Canada"
"2001 Managers in engineering, architecture, science and information systems",128520,112000,129600,"Canada"
"20010 Engineering managers",31400,120000,138000,"Canada"
"20011 Architecture and science managers",14890,1e+05,112100,"Canada"
"20012 Computer and information systems managers",82235,112000,129400,"Canada"
"21 Professional occupations in natural and applied sciences",888575,81000,88800,"Canada"
"211 Professional occupations in natural sciences",98400,71500,77900,"Canada"
"2110 Physical science professionals",31315,73000,86900,"Canada"
"21100 Physicists and astronomers",2620,97000,107800,"Canada"
"21101 Chemists",16325,65000,70800,"Canada"
"21102 Geoscientists and oceanographers",10880,84000,106300,"Canada"
"21103 Meteorologists and climatologists",915,1e+05,91000,"Canada"
"21109 Other professional occupations in physical sciences",575,72000,77200,"Canada"
"2111 Life science professionals",47075,69000,73600,"Canada"
"21110 Biologists and related scientists",34980,69500,75500,"Canada"
"21111 Forestry professionals",5165,75000,74700,"Canada"
"21112 Agricultural representatives, consultants and specialists",6930,61200,63350,"Canada"
"2112 Public and environmental health and safety professionals",20010,74000,73800,"Canada"
"21120 Public and environmental health and safety professionals",20010,74000,73800,"Canada"
"212 Professional occupations in applied sciences (except engineering)",547400,80000,85300,"Canada"
"2120 Architects, urban planners and land surveyors",47525,73500,79800,"Canada"
"21200 Architects",18800,70500,82800,"Canada"
"21201 Landscape architects",2030,64000,68100,"Canada"
"21202 Urban and land use planners",19490,78500,82000,"Canada"
"21203 Land surveyors",7210,67000,69300,"Canada"
"2121 Mathematicians, statisticians, actuaries and data scientists",27360,86000,98700,"Canada"
"21210 Mathematicians, statisticians and actuaries",13205,89000,107000,"Canada"
"21211 Data scientists",14155,84000,91000,"Canada"
"2122 Computer and information systems professionals",200815,82000,83600,"Canada"
"21220 Cybersecurity specialists",14095,92000,97100,"Canada"
"21221 Business systems specialists",30310,79500,79400,"Canada"
"21222 Information systems specialists",131890,83000,84600,"Canada"
"21223 Database analysts and data administrators",24525,73000,75400,"Canada"
"2123 Computer, software and Web designers and developers",271695,78500,86300,"Canada"
"21230 Computer systems developers and programmers",41000,74000,78000,"Canada"
"21231 Software engineers and designers",82890,95000,108300,"Canada"
"21232 Software developers and programmers",87015,81000,87800,"Canada"
"21233 Web designers",10825,34800,43200,"Canada"
"21234 Web developers and programmers",49965,59200,63000,"Canada"
"213 Professional occupations in engineering",242780,90000,100900,"Canada"
"2130 Civil and mechanical engineers",119620,85000,96000,"Canada"
"21300 Civil engineers",64670,86000,96300,"Canada"
"21301 Mechanical engineers",54950,84000,95700,"Canada"
"2131 Electrical, electronics and computer engineers",69390,97000,106100,"Canada"
"21310 Electrical and electronics engineers",44580,95000,103100,"Canada"
"21311 Computer engineers (except software engineers and designers)",24805,1e+05,111400,"Canada"
"2132 Manufacturing and processing engineers",30050,83000,95600,"Canada"
"21320 Chemical engineers",11310,90000,106900,"Canada"
"21321 Industrial and manufacturing engineers",16115,78000,86100,"Canada"
"21322 Metallurgical and materials engineers",2630,98000,105800,"Canada"
"2133 Natural resources engineers",12160,114000,141400,"Canada"
"21330 Mining engineers",3320,116000,151200,"Canada"
"21331 Geological engineers",3655,93000,110400,"Canada"
"21332 Petroleum engineers",5185,134000,157200,"Canada"
"2139 Other engineers",11555,90000,91200,"Canada"
"21390 Aerospace engineers",5505,94000,94900,"Canada"
"21399 Other professional engineers",6050,86000,87900,"Canada"
"22 Technical occupations related to natural and applied sciences",524500,59200,62850,"Canada"
"221 Technical occupations related to natural sciences",68470,47600,52700,"Canada"
"2210 Technical occupations in physical sciences",20305,60400,69600,"Canada"
"22100 Chemical technologists and technicians",12555,56800,61250,"Canada"
"22101 Geological and mineral technologists and technicians",7750,72500,83200,"Canada"
"2211 Technical occupations in life sciences",48165,42000,45600,"Canada"
"22110 Biological technologists and technicians",10285,46000,47560,"Canada"
"22111 Agricultural and fish products inspectors",3550,61200,59850,"Canada"
"22112 Forestry technologists and technicians",6685,53600,53850,"Canada"
"22113 Conservation and fishery officers",3715,64000,59000,"Canada"
"22114 Landscape and horticulture technicians and specialists",23925,31800,38240,"Canada"
"222 Technical occupations related to applied sciences (except engineering)",250145,60000,62950,"Canada"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",63430,53200,56100,"Canada"
"22210 Architectural technologists and technicians",13475,50400,53650,"Canada"
"22211 Industrial designers",10225,54000,60550,"Canada"
"22212 Drafting technologists and technicians",27445,50800,53000,"Canada"
"22213 Land survey technologists and technicians",3300,50400,53550,"Canada"
"22214 Technical occupations in geomatics and meteorology",8985,65500,65200,"Canada"
