"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Manitoba i8",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"14 Administrative and financial support and supply chain logistics occupations","35,400","36,400","36,600"
"141 Office, court, and data support occupations","17,510","31,200","31,960"
"1410 Office support and court services occupations","14,760","31,600","32,320"
"14100 General office support workers","8,725","36,000","35,800"
"14101 Receptionists","5,450","24,200","25,480"
"14102 Personnel clerks","450","44,000","41,200"
"14103 Court clerks and related court services occupations","140","52,000","52,000"
"1411 Survey, statistical and data entry occupations","2,750","28,600","30,040"
"14110 Survey interviewers and statistical clerks","785","20,800","24,320"
"14111 Data entry clerks","1,935","32,400","32,360"
"14112 Desktop publishing operators and related occupations","30","38,000","30,000"
"142 Financial, insurance and related administrative support workers","8,310","40,800","40,800"
"1420 Financial, insurance and related administrative support workers","8,310","40,800","40,800"
"14200 Accounting and related clerks","7,025","40,400","40,760"
"14201 Banking, insurance and other financial clerks","950","43,600","41,900"
"14202 Collection clerks","335","38,400","38,000"
"143 Library, correspondence and other clerks","1,110","41,200","40,300"
"1430 Library, correspondence and other clerks","1,110","41,200","40,300"
"14300 Library assistants and clerks","505","23,400","27,200"
"14301 Correspondence, publication and regulatory clerks","610","51,600","51,000"
"144 Supply chain logistics, tracking and scheduling coordination occupations","8,460","40,000","41,560"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","8,460","40,000","41,560"
"14400 Shippers and receivers","3,915","36,000","36,520"
"14401 Storekeepers and partspersons","1,665","46,000","45,080"
"14402 Production logistics workers","375","48,800","50,800"
"14403 Purchasing and inventory control workers","1,215","38,800","37,800"
"14404 Dispatchers","1,150","46,400","53,200"
"14405 Transportation route and crew schedulers","150","49,600","54,000"
"2 Natural and applied sciences and related occupations","38,710","68,500","73,700"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","2,340","101,000","107,800"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","2,340","101,000","107,800"
"2001 Managers in engineering, architecture, science and information systems","2,340","101,000","107,800"
"20010 Engineering managers","605","106,000","108,800"
"20011 Architecture and science managers","300","84,000","99,000"
"20012 Computer and information systems managers","1,430","103,000","109,300"
"21 Professional occupations in natural and applied sciences","19,560","75,000","81,600"
"211 Professional occupations in natural sciences","3,315","67,000","69,200"
"2110 Physical science professionals","600","66,500","73,200"
"21100 Physicists and astronomers","45","73,000","88,000"
"21101 Chemists","340","59,600","62,600"
"21102 Geoscientists and oceanographers","195","85,000","87,000"
"21103 Meteorologists and climatologists","15","0","90,000"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","1,990","69,500","70,200"
"21110 Biologists and related scientists","1,185","69,000","71,400"
"21111 Forestry professionals","30","0","85,000"
"21112 Agricultural representatives, consultants and specialists","775","70,000","67,600"
"2112 Public and environmental health and safety professionals","720","64,000","63,300"
"21120 Public and environmental health and safety professionals","720","64,000","63,300"
"212 Professional occupations in applied sciences (except engineering)","10,820","73,500","77,300"
"2120 Architects, urban planners and land surveyors","1,160","67,000","71,800"
"21200 Architects","475","68,000","80,800"
"21201 Landscape architects","80","52,400","43,000"
"21202 Urban and land use planners","400","67,000","64,800"
"21203 Land surveyors","205","71,000","76,000"
"2121 Mathematicians, statisticians, actuaries and data scientists","685","82,000","91,600"
"21210 Mathematicians, statisticians and actuaries","515","84,000","101,200"
"21211 Data scientists","165","64,500","61,600"
"2122 Computer and information systems professionals","4,120","78,500","80,300"
"21220 Cybersecurity specialists","315","78,500","86,000"
"21221 Business systems specialists","695","78,500","81,600"
"21222 Information systems specialists","2,535","80,000","80,200"
"21223 Database analysts and data administrators","570","71,500","75,600"
"2123 Computer, software and Web designers and developers","4,850","70,000","74,100"
"21230 Computer systems developers and programmers","795","72,500","68,000"
"21231 Software engineers and designers","895","82,000","82,800"
"21232 Software developers and programmers","1,985","71,500","84,900"
"21233 Web designers","265","29,800","39,200"
"21234 Web developers and programmers","910","59,200","57,300"
"213 Professional occupations in engineering","5,430","84,000","97,700"
"2130 Civil and mechanical engineers","3,010","83,000","105,900"
"21300 Civil engineers","1,655","87,000","121,500"
"21301 Mechanical engineers","1,350","79,000","86,700"
"2131 Electrical, electronics and computer engineers","1,455","87,000","90,100"
"21310 Electrical and electronics engineers","1,065","87,000","89,800"
"21311 Computer engineers (except software engineers and designers)","395","86,000","91,200"
"2132 Manufacturing and processing engineers","570","68,500","78,000"
"21320 Chemical engineers","125","65,000","73,000"
"21321 Industrial and manufacturing engineers","425","69,000","80,000"
"21322 Metallurgical and materials engineers","25","0","72,000"
"2133 Natural resources engineers","170","107,000","104,000"
"21330 Mining engineers","75","116,000","116,000"
"21331 Geological engineers","85","89,000","92,000"
"21332 Petroleum engineers","0","0","0"
"2139 Other engineers","215","79,500","82,000"
"21390 Aerospace engineers","155","87,000","86,000"
"21399 Other professional engineers","60","72,500","74,000"
"22 Technical occupations related to natural and applied sciences","16,810","58,000","59,750"
"221 Technical occupations related to natural sciences","1,985","47,600","49,520"
"2210 Technical occupations in physical sciences","445","59,200","65,600"
"22100 Chemical technologists and technicians","260","54,400","56,800"
"22101 Geological and mineral technologists and technicians","185","76,500","78,000"
"2211 Technical occupations in life sciences","1,545","44,000","44,880"
"22110 Biological technologists and technicians","450","40,000","42,000"
"22111 Agricultural and fish products inspectors","200","58,000","57,200"
"22112 Forestry technologists and technicians","110","28,200","34,500"
"22113 Conservation and fishery officers","195","74,000","68,000"
"22114 Landscape and horticulture technicians and specialists","585","33,600","37,200"
"222 Technical occupations related to applied sciences (except engineering)","8,010","56,800","58,750"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","1,925","50,000","51,000"
"22210 Architectural technologists and technicians","230","49,600","50,000"
"22211 Industrial designers","230","48,800","50,000"
"22212 Drafting technologists and technicians","1,150","48,400","50,100"
"22213 Land survey technologists and technicians","95","56,800","50,000"
"22214 Technical occupations in geomatics and meteorology","220","63,200","58,000"
"2222 Technical occupations in computer and information systems","4,460","57,200","58,050"
"22220 Computer network and web technicians","2,045","66,500","66,300"
"22221 User support technicians","2,230","47,600","50,880"
"22222 Information systems testing technicians","190","54,800","53,200"
"2223 Technical inspectors and regulatory officers","1,630","69,500","69,700"
"22230 Non-destructive testers and inspectors","150","70,000","80,000"
"22231 Engineering inspectors and regulatory officers","240","82,000","88,000"
"22232 Occupational health and safety specialists","685","67,000","67,200"
"22233 Construction inspectors","560","67,000","62,200"
"223 Technical occupations related to engineering","6,810","62,800","63,950"
"2230 Technical occupations in civil, mechanical and industrial engineering","3,050","66,000","67,600"
"22300 Civil engineering technologists and technicians","750","65,000","60,700"
"22301 Mechanical engineering technologists and technicians","775","69,500","73,200"
"22302 Industrial engineering and manufacturing technologists and technicians","605","52,800","54,600"
"22303 Construction estimators","915","73,000","77,000"
"2231 Technical occupations in electronics and electrical engineering","3,765","60,400","60,950"
"22310 Electrical and electronics engineering technologists and technicians","1,415","74,500","73,300"
"22311 Electronic service technicians (household and business equipment)","2,000","50,000","48,880"
"22312 Industrial instrument technicians and mechanics","165","89,000","85,000"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","190","75,500","75,000"
"3 Health occupations","57,280","49,200","62,300"
"30 Specialized middle management occupations in health care","1,455","90,000","86,000"
"300 Specialized middle management occupations in health care","1,455","90,000","86,000"
"3001 Managers in health care","1,455","90,000","86,000"
"30010 Managers in health care","1,455","90,000","86,000"
"31 Professional occupations in health","24,145","78,500","88,400"
"311 Health treating and consultation services professionals","6,960","96,000","128,600"
"3110 Physicians and veterinarians","3,630","116,000","165,200"
"31100 Specialists in clinical and laboratory medicine","1,255","162,000","207,200"
"31101 Specialists in surgery","360","210,000","211,000"
"31102 General practitioners and family physicians","1,645","102,000","140,200"
"31103 Veterinarians","370","88,000","89,600"
"3111 Dentists, optometrists and audiologists","1,285","89,000","97,000"
"31110 Dentists","550","100,000","110,000"
"31111 Optometrists","220","120,000","118,000"
"31112 Audiologists and speech-language pathologists","515","81,000","74,000"
"3112 Pharmacists and dietitians","2,045","86,000","83,600"
"31120 Pharmacists","1,565","99,000","92,700"
"31121 Dietitians and nutritionists","485","58,400","54,200"
"312 Therapy and assessment professionals","2,720","62,800","65,800"
"3120 Therapy and assessment professionals","2,720","62,800","65,800"
"31200 Psychologists","460","88,000","92,800"
"31201 Chiropractors","285","77,500","86,000"
"31202 Physiotherapists","985","58,800","57,200"
"31203 Occupational therapists","655","69,000","62,100"
"31204 Kinesiologists and other professional occupations in therapy and assessment","255","39,600","41,200"
"31209 Other professional occupations in health diagnosing and treating","75","50,000","52,000"
"313 Nursing and allied health professionals","14,470","76,500","73,300"
"3130 Nursing and allied health professionals","14,470","76,500","73,300"
"31300 Nursing coordinators and supervisors","415","88,000","79,600"
"31301 Registered nurses and registered psychiatric nurses","13,590","75,500","72,300"
"31302 Nurse practitioners","235","102,000","100,000"
"31303 Physician assistants, midwives and allied health professionals","220","100,000","93,000"
"32 Technical occupations in health","11,215","48,400","53,100"
"321 Technical occupations in health (except practitioners of natural healing)","9,550","54,000","57,850"
"3210 Technical occupations in therapy and assessment","5,680","51,600","56,850"
"32100 Opticians","345","41,200","42,400"
"32101 Licensed practical nurses","2,270","50,800","50,680"
"32102 Paramedical occupations","1,240","91,000","87,000"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","420","86,000","85,600"
"32104 Animal health technologists and veterinary technicians","855","37,200","37,800"
"32109 Other technical occupations in therapy and assessment","540","28,200","30,400"
"3211 Technical occupations in dental health care","1,095","48,400","50,500"
"32110 Denturists","55","83,000","112,000"
"32111 Dental hygienists and dental therapists","860","49,600","49,300"
"32112 Dental technologists and technicians","180","33,600","36,800"
"3212 Medical technologists and technicians","2,775","63,600","62,850"
"32120 Medical laboratory technologists","815","77,000","72,200"
"32121 Medical radiation technologists","835","78,000","74,200"
"32122 Medical sonographers","140","72,000","68,000"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","110","60,800","62,000"
"32124 Pharmacy technicians","800","40,800","41,100"
"32129 Other medical technologists and technicians","75","46,400","56,000"
"322 Practitioners of natural healing","1,665","23,200","25,840"
"3220 Practitioners of natural healing","1,665","23,200","25,840"
"32200 Traditional Chinese medicine practitioners and acupuncturists","25","0","24,000"
"32201 Massage therapists","1,500","23,600","26,160"
"32209 Other practitioners of natural healing","145","12,900","23,200"
"33 Assisting occupations in support of health services","20,465","34,800","34,920"
"331 Assisting occupations in support of health services","20,465","34,800","34,920"
"3310 Assisting occupations in support of health services","20,465","34,800","34,920"
"33100 Dental assistants and dental laboratory assistants","1,210","34,400","35,600"
"33101 Medical laboratory assistants and related technical occupations","725","43,200","41,300"
"33102 Nurse aides, orderlies and patient service associates","16,055","34,800","34,560"
"33103 Pharmacy technical assistants and pharmacy assistants","970","36,000","34,800"
"33109 Other assisting occupations in support of health services","1,505","32,000","35,600"
"4 Occupations in education, law and social, community and government services","91,130","48,000","55,250"
"40 Managers in public administration, in education and social and community services and in public protection services","5,410","89,000","86,000"
"400 Managers in public administration, in education and social and community services and in public protection services","5,410","89,000","86,000"
"4001 Managers in public administration","810","95,000","96,000"
"40010 Government managers - health and social policy development and program administration","230","97,000","101,000"
"40011 Government managers - economic analysis, policy development and program administration","385","102,000","103,600"
"40012 Government managers - education policy development and program administration","50","103,000","92,000"
"40019 Other managers in public administration","150","68,000","69,000"
"4002 Managers in education","1,955","105,000","99,500"
"40020 Administrators - post-secondary education and vocational training","565","81,000","85,600"
"40021 School principals and administrators of elementary and secondary education","1,385","108,000","105,200"
"4003 Managers in social, community and correctional services","1,575","60,000","62,550"
"40030 Managers in social, community and correctional services","1,575","60,000","62,550"
"4004 Managers in public protection services","1,070","90,000","88,400"
"40040 Commissioned police officers and related occupations in public protection services","40","149,000","120,000"
"40041 Fire chiefs and senior firefighting officers","105","90,000","92,000"
"40042 Commissioned officers of the Canadian Armed Forces","925","89,000","86,600"
"41 Professional occupations in law, education, social, community and government services","41,775","69,000","67,500"
"411 Professional occupations in law","2,360","93,000","129,200"
"4110 Judges, lawyers and Quebec notaries","2,360","93,000","129,200"
"41100 Judges","135","296,000","276,000"
"41101 Lawyers and Quebec notaries","2,230","88,000","120,500"
"412 Professional occupations in education services","26,300","73,000","64,600"
"4120 University professors and post-secondary assistants","5,435","46,800","57,800"
"41200 University professors and lecturers","2,475","98,000","92,600"
"41201 Post-secondary teaching and research assistants","2,960","15,100","28,680"
"4121 College and other vocational instructors","2,510","73,500","65,200"
"41210 College and other vocational instructors","2,510","73,500","65,200"
"4122 Secondary, elementary and kindergarten school teachers","18,355","78,000","66,500"
"41220 Secondary school teachers","5,795","84,000","71,200"
"41221 Elementary school and kindergarten teachers","12,560","74,000","64,300"
"413 Professional occupations in social and community services","7,465","61,600","59,800"
"4130 Social and community service professionals","5,425","59,600","57,950"
"41300 Social workers","3,120","65,000","62,050"
"41301 Therapists in counselling and related specialized therapies","935","55,600","53,800"
"41302 Religious leaders","1,370","50,800","51,500"
"4131 Police investigators and probation officers","425","88,000","88,800"
"41310 Police investigators and other investigative occupations","145","115,000","108,000"
"41311 Probation and parole officers","285","79,500","78,500"
"4132 Educational and employment counsellors","1,615","58,000","58,400"
"41320 Educational counsellors","1,135","67,000","64,800"
"41321 Career development practitioners and career counsellors (except education)","480","40,800","43,200"
"414 Professional occupations in government services","5,645","64,500","65,600"
"4140 Policy and program researchers, consultants and officers","5,645","64,500","65,600"
"41400 Natural and applied science policy researchers, consultants and program officers","740","73,000","72,800"
"41401 Economists and economic policy researchers and analysts","370","81,000","83,200"
"41402 Business development officers and market researchers and analysts","1,070","66,500","70,800"
"41403 Social policy researchers, consultants and program officers","1,335","64,000","62,550"
"41404 Health policy researchers, consultants and program officers","700","65,500","69,400"
"41405 Education policy researchers, consultants and program officers","700","62,000","61,400"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","360","40,400","39,400"
"41407 Program officers unique to government","235","68,500","62,000"
"41409 Other professional occupations in social science","130","43,600","46,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","22,180","34,800","45,120"
"421 Occupations in front-line public protection services","3,830","114,000","103,600"
"4210 Occupations in front-line public protection services","3,830","114,000","103,600"
"42100 Police officers (except commissioned)","2,695","116,000","105,500"
"42101 Firefighters","1,105","112,000","100,200"
"42102 Specialized members of the Canadian Armed Forces","30","63,600","60,000"
"422 Paraprofessional occupations in legal, social, community and education services","18,350","29,600","32,880"
"4220 Paraprofessional occupations in legal, social, community and education services","18,350","29,600","32,880"
"42200 Paralegals and related occupations","505","57,600","57,400"
"42201 Social and community service workers","9,165","38,000","39,000"
"42202 Early childhood educators and assistants","8,055","20,400","24,420"
"42203 Instructors of persons with disabilities","205","33,600","40,400"
"42204 Religion workers","415","24,000","29,500"
"43 Assisting occupations in education and in legal and public protection","15,280","28,800","38,840"
"431 Assisting occupations in educational","10,810","23,400","24,600"
"4310 Assisting occupations in education","10,810","23,400","24,600"
"43100 Elementary and secondary school teacher assistants","9,970","23,800","24,700"
"43109 Other instructors","845","14,100","23,400"
"432 Assisting occupations in legal and public protection","4,470","76,500","73,300"
"4320 Assisting occupations in legal and public protection","4,470","76,500","73,300"
"43200 Sheriffs and bailiffs","160","56,800","54,400"
"43201 Correctional service officers","2,085","81,000","78,100"
"43202 By-law enforcement and other regulatory officers","395","62,000","56,400"
"43203 Border services, customs, and immigration officers","400","88,000","78,400"
"43204 Operations members of the Canadian Armed Forces","1,430","70,500","71,600"
"44 Care providers and legal and public protection support occupations","5,770","23,200","26,120"
"441 Home care provider occupations","5,330","22,000","24,640"
"4410 Home care provider occupations","5,330","22,000","24,640"
"44100 Home child care providers","1,605","9,600","15,660"
"44101 Home support workers, caregivers and related occupations","3,720","27,800","28,520"
"442 Primary combat members of the Canadian Armed Forces","445","46,400","44,000"
"4420 Primary combat members of the Canadian Armed Forces","445","46,400","44,000"
"44200 Primary combat members of the Canadian Armed Forces","445","46,400","44,000"
"45 Student monitors, crossing guards and related occupations","710","2,780","6,600"
"451 Student monitors, crossing guards and related occupations","710","2,780","6,600"
"4510 Student monitors, crossing guards and related occupations","710","2,780","6,600"
"45100 Student monitors, crossing guards and related occupations","710","2,780","6,600"
"5 Occupations in art, culture, recreation and sport","15,180","21,800","32,840"
"50 Specialized middle management occupations in art, culture, recreation and sport","840","47,600","59,600"
"500 Specialized middle management occupations in art, culture, recreation and sport","840","47,600","59,600"
"5001 Managers in art, culture, recreation and sport","840","47,600","59,600"
"50010 Library, archive, museum and art gallery managers","145","46,400","49,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","245","56,000","65,000"
"50012 Recreation, sports and fitness program and service directors","445","46,400","60,400"
"51 Professional occupations in art and culture","3,705","27,200","37,480"
"511 Professional occupations in art and culture","3,705","27,200","37,480"
"5110 Librarians, archivists, conservators and curators","365","52,400","55,200"
"51100 Librarians","210","55,600","58,400"
"51101 Conservators and curators","70","52,400","50,000"
"51102 Archivists","80","49,200","53,000"
"5111 Writing, translating and related communications professionals","1,650","36,400","41,840"
"51110 Editors","325","26,000","36,800"
"51111 Authors and writers (except technical)","455","15,800","27,500"
"51112 Technical writers","185","66,500","61,600"
"51113 Journalists","300","54,800","55,200"
"51114 Translators, terminologists and interpreters","390","38,000","43,600"
"5112 Creative and performing artists","1,690","15,000","29,400"
"51120 Producers, directors, choreographers and related occupations","660","42,400","51,100"
"51121 Conductors, composers and arrangers","65","5,600","15,600"
"51122 Musicians and singers","970","8,600","15,560"
"52 Technical occupations in art, culture and sport","4,630","34,800","39,680"
"521 Technical occupations in art and culture","4,630","34,800","39,680"
"5210 Technical occupations in libraries and public archives","605","33,200","34,000"
"52100 Library and public archive technicians","605","33,200","34,000"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","1,585","40,000","47,000"
"52110 Film and video camera operators","200","15,500","37,600"
"52111 Graphic arts technicians","105","30,000","30,400"
"52112 Broadcast technicians","50","50,800","50,000"
"52113 Audio and video recording technicians","355","16,000","26,300"
"52114 Announcers and other broadcasters","215","34,000","47,200"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","665","64,000","63,300"
"5212 Graphic and interior designers","2,440","33,200","36,360"
"52120 Graphic designers and illustrators","1,735","34,400","36,160"
"52121 Interior designers and interior decorators","705","31,800","36,800"
"53 Occupations in art, culture and sport","3,015","11,200","25,100"
"531 Occupations in art and culture","2,620","9,900","18,520"
"5310 Occupations related to museums and art galleries","240","12,800","18,800"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","240","12,800","18,800"
"5311 Photographers and support occupations in arts and culture","730","18,400","23,520"
"53110 Photographers","425","17,800","23,100"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","300","20,200","24,200"
"5312 Occupations in creative and performing art","1,645","6,120","16,260"
"53120 Dancers","350","5,280","12,160"
"53121 Actors, comedians and circus performers","315","3,080","10,600"
"53122 Painters, sculptors and other visual artists","315","4,200","9,900"
"53123 Theatre, fashion, exhibit and other creative designers","220","23,800","30,400"
"53124 Artisans and craftspersons","435","10,600","21,000"
"53125 Patternmakers - textile, leather and fur products","0","0","0"
"532 Occupations in sports","395","21,600","68,800"
"5320 Athletes, coaches, referees and related occupations","395","21,600","68,800"
"53200 Athletes","75","13,700","180,000"
"53201 Coaches","270","32,800","46,000"
"53202 Sports officials and referees","50","6,080","10,400"
"54 Support occupations in sport","2,900","8,000","16,460"
"541 Support occupations in sport","2,900","8,000","16,460"
"5410 Program leaders and instructors in recreation, sport and fitness","2,900","8,000","16,460"
"54100 Program leaders and instructors in recreation, sport and fitness","2,900","8,000","16,460"
"55 Support occupations in art and culture","85","13,300","26,400"
"551 Support occupations in art and culture","85","13,300","26,400"
"5510 Support occupations in art and culture","85","13,300","26,400"
"55109 Other performers","85","13,300","26,400"
"6 Sales and service occupations","155,065","21,400","31,320"
"60 Middle management occupations in retail and wholesale trade and customer services","21,285","48,800","60,800"
"600 Middle management occupations in retail and wholesale trade and customer services","21,285","48,800","60,800"
"6001 Corporate sales managers","2,045","90,000","100,100"
"60010 Corporate sales managers","2,045","90,000","100,100"
"6002 Retail and wholesale trade managers","13,145","52,400","63,950"
"60020 Retail and wholesale trade managers","13,145","52,400","63,950"
"6003 Managers in food service and accommodation","5,185","33,600","40,680"
"60030 Restaurant and food service managers","4,110","32,800","39,840"
"60031 Accommodation service managers","1,075","36,000","43,900"
"6004 Managers in customer and personal services","915","30,000","41,600"
"60040 Managers in customer and personal services","915","30,000","41,600"
"62 Retail sales and service supervisors and specialized occupations in sales and services","11,400","32,400","41,680"
"620 Retail sales and service supervisors","6,950","29,200","34,160"
"6201 Retail sales supervisors","2,485","30,200","36,680"
"62010 Retail sales supervisors","2,485","30,200","36,680"
"6202 Service supervisors","4,465","28,000","32,760"
"62020 Food service supervisors","2,645","22,800","27,160"
"62021 Executive housekeepers","115","44,400","46,000"
"62022 Accommodation, travel, tourism and related services supervisors","220","25,600","30,600"
"62023 Customer and information services supervisors","495","37,600","44,800"
"62024 Cleaning supervisors","625","39,200","41,600"
"62029 Other services supervisors","360","39,200","39,000"
"621 Specialized sales occupations","2,820","54,000","63,600"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","2,820","54,000","63,600"
"62100 Technical sales specialists - wholesale trade","1,735","71,000","79,400"
"62101 Retail and wholesale buyers","1,085","32,800","38,300"
"622 Specialized services occupations","1,630","26,800","35,920"
"6220 Specialized occupations in services","1,630","26,800","35,920"
"62200 Chefs","1,330","23,800","29,200"
"62201 Funeral directors and embalmers","255","55,600","73,500"
