"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"14300 Library assistants and clerks","340","25,800","26,800"
"14301 Correspondence, publication and regulatory clerks","305","42,400","41,200"
"144 Supply chain logistics, tracking and scheduling coordination occupations","4,525","38,800","39,440"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","4,525","38,800","39,440"
"14400 Shippers and receivers","1,825","36,400","36,480"
"14401 Storekeepers and partspersons","1,145","38,400","37,900"
"14402 Production logistics workers","140","48,800","57,000"
"14403 Purchasing and inventory control workers","620","39,200","36,800"
"14404 Dispatchers","705","44,400","47,100"
"14405 Transportation route and crew schedulers","90","40,400","50,000"
"2 Natural and applied sciences and related occupations","24,260","64,500","69,600"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","1,705","97,000","101,300"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","1,705","97,000","101,300"
"2001 Managers in engineering, architecture, science and information systems","1,705","97,000","101,300"
"20010 Engineering managers","375","114,000","119,200"
"20011 Architecture and science managers","155","92,000","88,000"
"20012 Computer and information systems managers","1,170","94,000","97,200"
"21 Professional occupations in natural and applied sciences","11,615","73,000","78,300"
"211 Professional occupations in natural sciences","1,510","69,000","72,200"
"2110 Physical science professionals","300","61,600","73,500"
"21100 Physicists and astronomers","30","0","120,000"
"21101 Chemists","150","53,200","61,000"
"21102 Geoscientists and oceanographers","95","66,000","80,000"
"21103 Meteorologists and climatologists","20","0","72,000"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","840","73,000","74,400"
"21110 Biologists and related scientists","560","73,500","72,800"
"21111 Forestry professionals","170","66,500","84,000"
"21112 Agricultural representatives, consultants and specialists","110","69,500","67,000"
"2112 Public and environmental health and safety professionals","365","69,500","66,000"
"21120 Public and environmental health and safety professionals","365","69,500","66,000"
