"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Quebec i6",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"143 Library, correspondence and other clerks","6,970","36,800","38,000"
"1430 Library, correspondence and other clerks","6,970","36,800","38,000"
"14300 Library assistants and clerks","2,605","26,400","28,280"
"14301 Correspondence, publication and regulatory clerks","4,370","44,000","43,800"
"144 Supply chain logistics, tracking and scheduling coordination occupations","70,185","35,200","37,640"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","70,185","35,200","37,640"
"14400 Shippers and receivers","36,275","29,400","31,440"
"14401 Storekeepers and partspersons","15,080","41,200","42,400"
"14402 Production logistics workers","2,485","37,600","43,720"
"14403 Purchasing and inventory control workers","7,305","36,400","39,800"
"14404 Dispatchers","8,140","48,800","50,880"
"14405 Transportation route and crew schedulers","905","47,200","52,800"
"2 Natural and applied sciences and related occupations","355,695","67,500","73,200"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","26,435","105,000","115,800"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","26,435","105,000","115,800"
"2001 Managers in engineering, architecture, science and information systems","26,435","105,000","115,800"
"20010 Engineering managers","5,545","111,000","121,500"
"20011 Architecture and science managers","3,550","100,000","107,000"
"20012 Computer and information systems managers","17,340","104,000","115,700"
"21 Professional occupations in natural and applied sciences","198,060","75,000","78,900"
"211 Professional occupations in natural sciences","20,535","64,500","67,900"
"2110 Physical science professionals","6,520","67,000","71,500"
"21100 Physicists and astronomers","660","87,000","88,200"
"21101 Chemists","4,315","61,200","64,200"
"21102 Geoscientists and oceanographers","1,095","73,500","83,400"
"21103 Meteorologists and climatologists","300","101,000","93,000"
"21109 Other professional occupations in physical sciences","150","73,500","78,000"
"2111 Life science professionals","10,495","62,800","67,000"
"21110 Biologists and related scientists","7,020","65,000","69,200"
"21111 Forestry professionals","1,420","68,000","65,800"
"21112 Agricultural representatives, consultants and specialists","2,055","56,800","60,000"
"2112 Public and environmental health and safety professionals","3,510","64,000","63,950"
"21120 Public and environmental health and safety professionals","3,510","64,000","63,950"
"212 Professional occupations in applied sciences (except engineering)","123,895","73,500","76,600"
"2120 Architects, urban planners and land surveyors","11,545","65,000","69,600"
"21200 Architects","5,415","63,200","69,500"
"21201 Landscape architects","535","52,400","62,000"
"21202 Urban and land use planners","3,560","70,000","71,600"
"21203 Land surveyors","2,040","66,000","68,200"
"2121 Mathematicians, statisticians, actuaries and data scientists","6,680","82,000","91,900"
"21210 Mathematicians, statisticians and actuaries","4,280","86,000","95,800"
"21211 Data scientists","2,405","77,000","84,900"
"2122 Computer and information systems professionals","44,000","79,000","79,200"
"21220 Cybersecurity specialists","3,035","89,000","89,700"
"21221 Business systems specialists","4,175","76,500","75,700"
"21222 Information systems specialists","30,025","81,000","81,000"
