"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Saskatchewan i9",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"141 Office, court, and data support occupations","12,480","32,800","32,960"
"1410 Office support and court services occupations","10,410","33,600","33,720"
"14100 General office support workers","5,775","38,800","37,400"
"14101 Receptionists","4,330","27,400","27,960"
"14102 Personnel clerks","195","38,000","42,000"
"14103 Court clerks and related court services occupations","105","58,800","54,000"
"1411 Survey, statistical and data entry occupations","2,075","23,400","29,120"
"14110 Survey interviewers and statistical clerks","860","4,480","14,600"
"14111 Data entry clerks","1,190","39,600","39,200"
"14112 Desktop publishing operators and related occupations","20","0","52,000"
"142 Financial, insurance and related administrative support workers","4,810","46,400","47,240"
"1420 Financial, insurance and related administrative support workers","4,810","46,400","47,240"
"14200 Accounting and related clerks","4,115","45,600","46,720"
"14201 Banking, insurance and other financial clerks","520","52,000","50,600"
"14202 Collection clerks","175","50,000","49,600"
"143 Library, correspondence and other clerks","1,240","30,600","36,800"
"1430 Library, correspondence and other clerks","1,240","30,600","36,800"
"14300 Library assistants and clerks","620","17,600","22,100"
"14301 Correspondence, publication and regulatory clerks","625","48,000","51,400"
"144 Supply chain logistics, tracking and scheduling coordination occupations","6,520","43,600","46,080"
"1440 Supply chain logistics, tracking and scheduling coordination occupations","6,520","43,600","46,080"
"14400 Shippers and receivers","2,745","38,400","39,080"
"14401 Storekeepers and partspersons","1,890","49,200","49,720"
"14402 Production logistics workers","210","55,200","56,000"
"14403 Purchasing and inventory control workers","760","42,400","45,200"
"14404 Dispatchers","795","55,600","58,400"
"14405 Transportation route and crew schedulers","120","59,600","56,000"
"2 Natural and applied sciences and related occupations","30,075","76,000","80,300"
"20 Specialized middle management occupations in engineering, architecture, science and information systems","2,050","111,000","113,700"
"200 Specialized middle management occupations in engineering, architecture, science and information systems","2,050","111,000","113,700"
"2001 Managers in engineering, architecture, science and information systems","2,050","111,000","113,700"
"20010 Engineering managers","575","125,000","130,500"
"20011 Architecture and science managers","335","98,000","100,000"
"20012 Computer and information systems managers","1,135","110,000","109,200"
"21 Professional occupations in natural and applied sciences","15,145","80,000","85,200"
"211 Professional occupations in natural sciences","3,590","72,500","75,300"
"2110 Physical science professionals","720","75,500","86,600"
"21100 Physicists and astronomers","45","75,500","84,000"
"21101 Chemists","255","69,500","86,000"
"21102 Geoscientists and oceanographers","395","85,000","89,600"
"21103 Meteorologists and climatologists","20","0","45,000"
"21109 Other professional occupations in physical sciences","0","0","0"
"2111 Life science professionals","2,180","70,500","71,200"
"21110 Biologists and related scientists","1,040","70,500","74,000"
"21111 Forestry professionals","50","35,600","50,000"
"21112 Agricultural representatives, consultants and specialists","1,095","70,000","69,600"
"2112 Public and environmental health and safety professionals","695","82,000","76,600"
"21120 Public and environmental health and safety professionals","695","82,000","76,600"
"212 Professional occupations in applied sciences (except engineering)","6,835","77,000","78,800"
"2120 Architects, urban planners and land surveyors","645","77,500","83,000"
"21200 Architects","125","71,500","76,000"
"21201 Landscape architects","35","39,200","44,000"
"21202 Urban and land use planners","355","87,000","90,400"
"21203 Land surveyors","135","77,500","79,000"
"2121 Mathematicians, statisticians, actuaries and data scientists","315","95,000","92,000"
"21210 Mathematicians, statisticians and actuaries","170","82,000","89,000"
"21211 Data scientists","140","98,000","96,000"
"2122 Computer and information systems professionals","2,935","81,000","81,600"
"21220 Cybersecurity specialists","145","80,000","79,000"
"21221 Business systems specialists","410","83,000","82,000"
"21222 Information systems specialists","2,050","81,000","82,200"
"21223 Database analysts and data administrators","325","79,000","78,800"
"2123 Computer, software and Web designers and developers","2,945","72,000","73,500"
"21230 Computer systems developers and programmers","560","81,000","91,200"
"21231 Software engineers and designers","555","82,000","86,800"
"21232 Software developers and programmers","1,120","75,000","77,200"
"21233 Web designers","145","14,300","27,200"
"21234 Web developers and programmers","565","44,000","47,600"
"213 Professional occupations in engineering","4,725","94,000","102,000"
"2130 Civil and mechanical engineers","2,600","89,000","97,200"
"21300 Civil engineers","1,640","85,000","91,900"
"21301 Mechanical engineers","960","97,000","106,200"
"2131 Electrical, electronics and computer engineers","1,050","102,000","106,000"
"21310 Electrical and electronics engineers","820","105,000","106,600"
"21311 Computer engineers (except software engineers and designers)","230","96,000","104,000"
"2132 Manufacturing and processing engineers","525","85,000","97,200"
"21320 Chemical engineers","230","75,000","100,000"
"21321 Industrial and manufacturing engineers","255","85,000","90,000"
"21322 Metallurgical and materials engineers","35","101,000","130,000"
"2133 Natural resources engineers","480","110,000","124,400"
"21330 Mining engineers","175","118,000","132,000"
"21331 Geological engineers","130","104,000","128,000"
"21332 Petroleum engineers","175","94,000","114,000"
"2139 Other engineers","70","94,000","100,000"
"21390 Aerospace engineers","0","0","0"
"21399 Other professional engineers","70","91,000","100,000"
"22 Technical occupations related to natural and applied sciences","12,880","67,500","69,200"
"221 Technical occupations related to natural sciences","1,850","62,000","65,600"
"2210 Technical occupations in physical sciences","585","86,000","98,400"
"22100 Chemical technologists and technicians","245","78,500","78,000"
"22101 Geological and mineral technologists and technicians","340","103,000","113,200"
"2211 Technical occupations in life sciences","1,265","48,000","50,400"
"22110 Biological technologists and technicians","395","59,200","51,000"
"22111 Agricultural and fish products inspectors","225","45,200","47,600"
"22112 Forestry technologists and technicians","50","60,400","54,000"
"22113 Conservation and fishery officers","145","90,000","80,000"
"22114 Landscape and horticulture technicians and specialists","455","36,000","41,000"
"222 Technical occupations related to applied sciences (except engineering)","5,710","68,000","67,700"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","1,315","64,000","63,350"
"22210 Architectural technologists and technicians","260","59,200","58,400"
"22211 Industrial designers","75","53,600","62,000"
"22212 Drafting technologists and technicians","680","65,000","66,400"
"22213 Land survey technologists and technicians","95","35,200","49,000"
"22214 Technical occupations in geomatics and meteorology","200","65,000","67,000"
"2222 Technical occupations in computer and information systems","2,660","67,500","65,200"
"22220 Computer network and web technicians","1,375","74,500","70,600"
"22221 User support technicians","1,195","59,600","58,700"
"22222 Information systems testing technicians","85","75,000","68,000"
"2223 Technical inspectors and regulatory officers","1,735","75,500","74,900"
"22230 Non-destructive testers and inspectors","320","82,000","76,000"
"22231 Engineering inspectors and regulatory officers","175","100,000","89,000"
"22232 Occupational health and safety specialists","670","73,500","74,400"
"22233 Construction inspectors","570","68,500","70,800"
"223 Technical occupations related to engineering","5,320","69,000","72,000"
"2230 Technical occupations in civil, mechanical and industrial engineering","1,955","75,500","74,500"
"22300 Civil engineering technologists and technicians","640","67,000","66,800"
"22301 Mechanical engineering technologists and technicians","530","88,000","82,800"
"22302 Industrial engineering and manufacturing technologists and technicians","230","62,000","68,500"
"22303 Construction estimators","550","82,000","78,000"
"2231 Technical occupations in electronics and electrical engineering","3,365","66,000","70,500"
"22310 Electrical and electronics engineering technologists and technicians","985","79,500","80,800"
"22311 Electronic service technicians (household and business equipment)","1,775","57,200","55,900"
"22312 Industrial instrument technicians and mechanics","540","100,000","99,600"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","70","77,000","74,000"
"3 Health occupations","48,785","53,600","62,700"
"30 Specialized middle management occupations in health care","1,260","99,000","92,800"
"300 Specialized middle management occupations in health care","1,260","99,000","92,800"
"3001 Managers in health care","1,260","99,000","92,800"
"30010 Managers in health care","1,260","99,000","92,800"
"31 Professional occupations in health","20,775","82,000","85,600"
"311 Health treating and consultation services professionals","5,725","88,000","108,500"
"3110 Physicians and veterinarians","2,810","92,000","137,400"
"31100 Specialists in clinical and laboratory medicine","860","114,000","169,600"
"31101 Specialists in surgery","285","97,000","152,000"
"31102 General practitioners and family physicians","1,240","96,000","132,800"
"31103 Veterinarians","425","72,000","76,000"
"3111 Dentists, optometrists and audiologists","1,030","71,500","74,000"
"31110 Dentists","405","77,500","79,200"
"31111 Optometrists","175","54,000","65,000"
"31112 Audiologists and speech-language pathologists","445","74,000","72,400"
"3112 Pharmacists and dietitians","1,890","91,000","84,300"
"31120 Pharmacists","1,585","96,000","89,000"
"31121 Dietitians and nutritionists","300","70,000","59,200"
"312 Therapy and assessment professionals","2,085","71,500","65,500"
"3120 Therapy and assessment professionals","2,085","71,500","65,500"
"31200 Psychologists","450","92,000","81,600"
"31201 Chiropractors","190","43,200","46,000"
"31202 Physiotherapists","775","73,000","65,600"
"31203 Occupational therapists","330","77,000","67,600"
"31204 Kinesiologists and other professional occupations in therapy and assessment","265","51,600","49,600"
"31209 Other professional occupations in health diagnosing and treating","70","23,200","64,000"
"313 Nursing and allied health professionals","12,960","82,000","78,800"
"3130 Nursing and allied health professionals","12,960","82,000","78,800"
"31300 Nursing coordinators and supervisors","325","95,000","92,400"
"31301 Registered nurses and registered psychiatric nurses","12,390","82,000","78,000"
"31302 Nurse practitioners","195","116,000","110,000"
"31303 Physician assistants, midwives and allied health professionals","50","79,000","64,000"
"32 Technical occupations in health","10,090","57,200","55,750"
"321 Technical occupations in health (except practitioners of natural healing)","8,520","63,600","61,050"
"3210 Technical occupations in therapy and assessment","4,855","62,800","60,950"
"32100 Opticians","260","45,600","47,600"
"32101 Licensed practical nurses","2,450","68,500","62,750"
"32102 Paramedical occupations","1,015","77,000","75,600"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","245","77,000","77,000"
"32104 Animal health technologists and veterinary technicians","600","36,400","36,400"
"32109 Other technical occupations in therapy and assessment","290","46,000","44,400"
"3211 Technical occupations in dental health care","935","57,600","58,500"
"32110 Denturists","70","72,500","72,000"
"32111 Dental hygienists and dental therapists","710","60,400","60,600"
"32112 Dental technologists and technicians","155","39,200","42,000"
"3212 Medical technologists and technicians","2,725","68,000","62,150"
"32120 Medical laboratory technologists","845","73,500","66,200"
"32121 Medical radiation technologists","785","75,500","67,000"
"32122 Medical sonographers","190","79,500","72,000"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","100","73,000","69,000"
"32124 Pharmacy technicians","725","54,000","48,100"
"32129 Other medical technologists and technicians","80","64,500","66,000"
"322 Practitioners of natural healing","1,570","22,800","27,040"
"3220 Practitioners of natural healing","1,570","22,800","27,040"
"32200 Traditional Chinese medicine practitioners and acupuncturists","60","33,200","52,000"
"32201 Massage therapists","1,400","23,800","27,000"
"32209 Other practitioners of natural healing","110","5,240","14,400"
"33 Assisting occupations in support of health services","16,660","37,600","36,080"
"331 Assisting occupations in support of health services","16,660","37,600","36,080"
"3310 Assisting occupations in support of health services","16,660","37,600","36,080"
"33100 Dental assistants and dental laboratory assistants","1,165","40,400","39,600"
"33101 Medical laboratory assistants and related technical occupations","580","44,400","42,200"
"33102 Nurse aides, orderlies and patient service associates","12,860","37,600","36,120"
"33103 Pharmacy technical assistants and pharmacy assistants","895","26,400","27,850"
"33109 Other assisting occupations in support of health services","1,165","36,800","35,500"
"4 Occupations in education, law and social, community and government services","69,745","54,800","59,800"
"40 Managers in public administration, in education and social and community services and in public protection services","4,250","99,000","94,200"
"400 Managers in public administration, in education and social and community services and in public protection services","4,250","99,000","94,200"
"4001 Managers in public administration","765","102,000","103,200"
"40010 Government managers - health and social policy development and program administration","225","104,000","105,000"
"40011 Government managers - economic analysis, policy development and program administration","265","109,000","103,000"
"40012 Government managers - education policy development and program administration","110","113,000","112,000"
"40019 Other managers in public administration","160","94,000","96,000"
"4002 Managers in education","1,860","107,000","106,800"
"40020 Administrators - post-secondary education and vocational training","530","87,000","102,400"
"40021 School principals and administrators of elementary and secondary education","1,330","110,000","108,600"
"4003 Managers in social, community and correctional services","1,145","62,400","70,400"
"40030 Managers in social, community and correctional services","1,145","62,400","70,400"
"4004 Managers in public protection services","480","93,000","88,000"
"40040 Commissioned police officers and related occupations in public protection services","45","120,000","128,000"
"40041 Fire chiefs and senior firefighting officers","55","106,000","100,000"
"40042 Commissioned officers of the Canadian Armed Forces","375","88,000","80,800"
"41 Professional occupations in law, education, social, community and government services","35,265","71,000","69,400"
"411 Professional occupations in law","1,815","107,000","125,100"
"4110 Judges, lawyers and Quebec notaries","1,815","107,000","125,100"
"41100 Judges","130","318,000","280,000"
"41101 Lawyers and Quebec notaries","1,685","102,000","113,000"
"412 Professional occupations in education services","22,160","74,000","68,000"
"4120 University professors and post-secondary assistants","4,695","60,400","76,000"
"41200 University professors and lecturers","2,320","122,000","118,500"
"41201 Post-secondary teaching and research assistants","2,370","18,200","34,440"
"4121 College and other vocational instructors","2,270","77,500","69,300"
"41210 College and other vocational instructors","2,270","77,500","69,300"
"4122 Secondary, elementary and kindergarten school teachers","15,195","75,000","65,400"
"41220 Secondary school teachers","4,635","84,000","70,400"
"41221 Elementary school and kindergarten teachers","10,560","72,000","63,150"
"413 Professional occupations in social and community services","5,850","62,000","58,650"
"4130 Social and community service professionals","4,420","58,800","55,300"
"41300 Social workers","2,375","66,500","61,600"
"41301 Therapists in counselling and related specialized therapies","675","56,400","55,100"
"41302 Religious leaders","1,365","44,000","44,440"
"4131 Police investigators and probation officers","415","74,000","78,400"
"41310 Police investigators and other investigative occupations","65","130,000","108,000"
"41311 Probation and parole officers","345","73,500","72,800"
"4132 Educational and employment counsellors","1,025","68,000","65,200"
"41320 Educational counsellors","740","74,000","70,400"
"41321 Career development practitioners and career counsellors (except education)","285","53,600","51,600"
"414 Professional occupations in government services","5,435","68,000","68,300"
"4140 Policy and program researchers, consultants and officers","5,435","68,000","68,300"
"41400 Natural and applied science policy researchers, consultants and program officers","790","81,000","79,800"
"41401 Economists and economic policy researchers and analysts","305","96,000","102,000"
"41402 Business development officers and market researchers and analysts","775","71,000","75,400"
"41403 Social policy researchers, consultants and program officers","1,005","68,500","67,800"
"41404 Health policy researchers, consultants and program officers","710","61,600","63,700"
"41405 Education policy researchers, consultants and program officers","865","78,500","69,800"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","450","54,000","50,400"
"41407 Program officers unique to government","415","14,400","36,400"
"41409 Other professional occupations in social science","105","50,000","58,000"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","16,665","38,800","49,560"
"421 Occupations in front-line public protection services","3,755","112,000","103,500"
"4210 Occupations in front-line public protection services","3,755","112,000","103,500"
"42100 Police officers (except commissioned)","2,595","114,000","109,100"
"42101 Firefighters","1,125","112,000","92,200"
"42102 Specialized members of the Canadian Armed Forces","35","0","56,000"
"422 Paraprofessional occupations in legal, social, community and education services","12,910","31,400","33,840"
"4220 Paraprofessional occupations in legal, social, community and education services","12,910","31,400","33,840"
"42200 Paralegals and related occupations","385","59,600","57,200"
"42201 Social and community service workers","6,670","41,600","41,480"
"42202 Early childhood educators and assistants","5,290","20,000","22,940"
"42203 Instructors of persons with disabilities","230","34,400","36,400"
"42204 Religion workers","330","27,600","25,700"
"43 Assisting occupations in education and in legal and public protection","10,020","31,800","41,880"
"431 Assisting occupations in educational","6,780","26,800","27,280"
"4310 Assisting occupations in education","6,780","26,800","27,280"
"43100 Elementary and secondary school teacher assistants","6,110","27,200","27,360"
"43109 Other instructors","665","17,200","26,600"
"432 Assisting occupations in legal and public protection","3,240","72,500","72,400"
"4320 Assisting occupations in legal and public protection","3,240","72,500","72,400"
"43200 Sheriffs and bailiffs","290","65,500","67,500"
"43201 Correctional service officers","2,060","75,500","73,700"
"43202 By-law enforcement and other regulatory officers","265","60,000","56,400"
"43203 Border services, customs, and immigration officers","190","84,000","71,500"
"43204 Operations members of the Canadian Armed Forces","430","71,000","80,000"
"44 Care providers and legal and public protection support occupations","3,465","15,100","21,500"
"441 Home care provider occupations","3,310","14,100","21,100"
"4410 Home care provider occupations","3,310","14,100","21,100"
"44100 Home child care providers","2,125","10,400","16,460"
"44101 Home support workers, caregivers and related occupations","1,185","28,800","29,400"
"442 Primary combat members of the Canadian Armed Forces","160","29,200","30,000"
"4420 Primary combat members of the Canadian Armed Forces","160","29,200","30,000"
"44200 Primary combat members of the Canadian Armed Forces","160","29,200","30,000"
"45 Student monitors, crossing guards and related occupations","90","3,960","8,400"
"451 Student monitors, crossing guards and related occupations","90","3,960","8,400"
"4510 Student monitors, crossing guards and related occupations","90","3,960","8,400"
"45100 Student monitors, crossing guards and related occupations","90","3,960","8,400"
"5 Occupations in art, culture, recreation and sport","10,720","20,000","31,440"
"50 Specialized middle management occupations in art, culture, recreation and sport","750","49,200","53,000"
"500 Specialized middle management occupations in art, culture, recreation and sport","750","49,200","53,000"
"5001 Managers in art, culture, recreation and sport","750","49,200","53,000"
"50010 Library, archive, museum and art gallery managers","175","63,200","66,500"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","120","48,000","40,000"
"50012 Recreation, sports and fitness program and service directors","455","46,800","51,200"
"51 Professional occupations in art and culture","2,545","27,200","38,720"
"511 Professional occupations in art and culture","2,545","27,200","38,720"
"5110 Librarians, archivists, conservators and curators","485","36,000","49,800"
"51100 Librarians","410","28,000","46,600"
"51101 Conservators and curators","40","75,500","76,000"
"51102 Archivists","35","48,800","56,000"
"5111 Writing, translating and related communications professionals","1,065","36,400","40,400"
"51110 Editors","195","22,000","34,400"
"51111 Authors and writers (except technical)","355","26,200","37,800"
"51112 Technical writers","95","59,200","61,000"
"51113 Journalists","280","43,600","44,400"
"51114 Translators, terminologists and interpreters","140","32,800","33,000"
"5112 Creative and performing artists","995","15,500","31,450"
"51120 Producers, directors, choreographers and related occupations","355","46,400","47,400"
"51121 Conductors, composers and arrangers","40","3,020","14,000"
"51122 Musicians and singers","600","10,800","23,300"
"52 Technical occupations in art, culture and sport","2,740","36,400","40,440"
"521 Technical occupations in art and culture","2,740","36,400","40,440"
"5210 Technical occupations in libraries and public archives","570","33,600","36,800"
"52100 Library and public archive technicians","570","33,600","36,800"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","910","45,600","48,200"
"52110 Film and video camera operators","110","29,400","30,000"
"52111 Graphic arts technicians","60","40,000","42,000"
"52112 Broadcast technicians","50","68,000","64,000"
"52113 Audio and video recording technicians","165","24,200","32,000"
"52114 Announcers and other broadcasters","230","38,400","43,600"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","300","68,500","66,500"
"5212 Graphic and interior designers","1,260","34,400","36,500"
"52120 Graphic designers and illustrators","900","34,000","35,700"
"52121 Interior designers and interior decorators","360","37,200","38,400"
"53 Occupations in art, culture and sport","2,285","9,300","21,900"
"531 Occupations in art and culture","1,945","8,000","16,700"
"5310 Occupations related to museums and art galleries","265","7,700","18,000"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","265","7,700","18,000"
"5311 Photographers and support occupations in arts and culture","525","9,800","17,300"
"53110 Photographers","455","10,600","17,300"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","70","9,500","17,000"
"5312 Occupations in creative and performing art","1,155","7,500","16,160"
"53120 Dancers","305","7,150","16,000"
"53121 Actors, comedians and circus performers","145","7,500","23,200"
"53122 Painters, sculptors and other visual artists","280","6,850","13,400"
"53123 Theatre, fashion, exhibit and other creative designers","105","8,000","20,000"
"53124 Artisans and craftspersons","320","6,650","14,200"
"53125 Patternmakers - textile, leather and fur products","0","0","0"
"532 Occupations in sports","340","27,800","52,000"
"5320 Athletes, coaches, referees and related occupations","340","27,800","52,000"
"53200 Athletes","80","23,400","42,000"
"53201 Coaches","225","37,200","52,400"
"53202 Sports officials and referees","30","10,300","72,000"
"54 Support occupations in sport","2,350","8,900","15,940"
"541 Support occupations in sport","2,350","8,900","15,940"
"5410 Program leaders and instructors in recreation, sport and fitness","2,350","8,900","15,940"
"54100 Program leaders and instructors in recreation, sport and fitness","2,350","8,900","15,940"
"55 Support occupations in art and culture","55","8,100","11,200"
"551 Support occupations in art and culture","55","8,100","11,200"
"5510 Support occupations in art and culture","55","8,100","11,200"
"55109 Other performers","55","8,100","11,200"
"6 Sales and service occupations","127,855","23,200","33,320"
"60 Middle management occupations in retail and wholesale trade and customer services","18,590","48,800","62,900"
"600 Middle management occupations in retail and wholesale trade and customer services","18,590","48,800","62,900"
"6001 Corporate sales managers","1,440","93,000","101,200"
"60010 Corporate sales managers","1,440","93,000","101,200"
"6002 Retail and wholesale trade managers","11,705","54,400","69,800"
"60020 Retail and wholesale trade managers","11,705","54,400","69,800"
"6003 Managers in food service and accommodation","4,680","34,800","38,520"
"60030 Restaurant and food service managers","3,635","35,200","37,720"
"60031 Accommodation service managers","1,050","34,400","41,300"
"6004 Managers in customer and personal services","755","30,400","34,900"
"60040 Managers in customer and personal services","755","30,400","34,900"
"62 Retail sales and service supervisors and specialized occupations in sales and services","9,935","35,600","45,880"
"620 Retail sales and service supervisors","6,315","32,800","37,600"
"6201 Retail sales supervisors","2,250","34,000","37,200"
"62010 Retail sales supervisors","2,250","34,000","37,200"
"6202 Service supervisors","4,065","32,000","37,800"
"62020 Food service supervisors","2,725","30,200","34,160"
"62021 Executive housekeepers","80","37,200","34,500"
"62022 Accommodation, travel, tourism and related services supervisors","275","40,400","43,200"
"62023 Customer and information services supervisors","210","62,000","62,000"
"62024 Cleaning supervisors","515","38,800","44,600"
"62029 Other services supervisors","260","38,400","39,200"
"621 Specialized sales occupations","2,310","67,000","76,300"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","2,310","67,000","76,300"
"62100 Technical sales specialists - wholesale trade","1,550","82,000","91,900"
"62101 Retail and wholesale buyers","760","26,800","44,500"
"622 Specialized services occupations","1,310","26,200","32,080"
"6220 Specialized occupations in services","1,310","26,200","32,080"
"62200 Chefs","1,070","23,600","28,500"
"62201 Funeral directors and embalmers","180","49,200","51,600"
"62202 Jewellers, jewellery and watch repairers and related occupations","55","14,100","38,000"
