"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","British Columbia i11",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"53123 Theatre, fashion, exhibit and other creative designers","2,245","37,200","50,520"
"53124 Artisans and craftspersons","2,795","8,600","18,120"
"53125 Patternmakers - textile, leather and fur products","95","48,800","52,000"
"532 Occupations in sports","3,450","17,000","46,960"
"5320 Athletes, coaches, referees and related occupations","3,450","17,000","46,960"
"53200 Athletes","525","16,200","129,500"
"53201 Coaches","2,660","19,200","34,000"
"53202 Sports officials and referees","265","2,400","13,300"
"54 Support occupations in sport","16,115","9,000","17,400"
"541 Support occupations in sport","16,115","9,000","17,400"
"5410 Program leaders and instructors in recreation, sport and fitness","16,115","9,000","17,400"
"54100 Program leaders and instructors in recreation, sport and fitness","16,115","9,000","17,400"
"55 Support occupations in art and culture","655","9,500","31,150"
"551 Support occupations in art and culture","655","9,500","31,150"
"5510 Support occupations in art and culture","655","9,500","31,150"
"55109 Other performers","655","9,500","31,150"
"6 Sales and service occupations","639,885","23,200","34,800"
"60 Middle management occupations in retail and wholesale trade and customer services","98,695","50,000","63,350"
"600 Middle management occupations in retail and wholesale trade and customer services","98,695","50,000","63,350"
"6001 Corporate sales managers","9,690","96,000","112,800"
"60010 Corporate sales managers","9,690","96,000","112,800"
"6002 Retail and wholesale trade managers","58,160","53,200","65,500"
"60020 Retail and wholesale trade managers","58,160","53,200","65,500"
"6003 Managers in food service and accommodation","26,045","37,200","43,760"
"60030 Restaurant and food service managers","20,720","36,400","42,320"
"60031 Accommodation service managers","5,325","40,800","49,280"
"6004 Managers in customer and personal services","4,805","34,400","42,960"
"60040 Managers in customer and personal services","4,805","34,400","42,960"
"62 Retail sales and service supervisors and specialized occupations in sales and services","50,170","35,600","45,480"
"620 Retail sales and service supervisors","24,785","33,600","37,960"
"6201 Retail sales supervisors","9,025","38,000","42,000"
"62010 Retail sales supervisors","9,025","38,000","42,000"
"6202 Service supervisors","15,755","31,400","35,640"
"62020 Food service supervisors","10,095","29,000","32,160"
"62021 Executive housekeepers","325","43,200","45,400"
"62022 Accommodation, travel, tourism and related services supervisors","1,190","17,200","27,000"
"62023 Customer and information services supervisors","985","58,800","63,200"
"62024 Cleaning supervisors","1,735","37,200","39,080"
"62029 Other services supervisors","1,415","41,600","42,200"
"621 Specialized sales occupations","11,300","60,000","77,100"
"6210 Technical sales specialists in wholesale trade and retail and wholesale buyers","11,300","60,000","77,100"
"62100 Technical sales specialists - wholesale trade","6,880","78,500","96,100"
"62101 Retail and wholesale buyers","4,420","37,600","47,400"
"622 Specialized services occupations","14,080","29,200","33,320"
"6220 Specialized occupations in services","14,080","29,200","33,320"
"62200 Chefs","13,085","29,200","33,000"
"62201 Funeral directors and embalmers","420","57,200","53,400"
"62202 Jewellers, jewellery and watch repairers and related occupations","570","13,100","25,700"
"63 Occupations in sales and services","91,880","25,000","38,480"
"631 Occupations in sales","36,270","48,800","63,200"
"6310 Insurance, real estate and financial sales occupations","36,270","48,800","63,200"
"63100 Insurance agents and brokers","12,130","51,200","62,350"
"63101 Real estate agents and salespersons","16,735","36,000","56,000"
"63102 Financial sales representatives","7,410","57,600","80,800"
"632 Occupations in services","55,610","18,000","22,360"
"6320 Cooks, butchers and bakers","34,125","19,800","23,660"
"63200 Cooks","26,150","18,400","22,220"
"63201 Butchers - retail and wholesale","930","36,000","35,400"
"63202 Bakers","7,045","25,800","27,400"
"6321 Hairstylists and estheticians","20,945","14,600","20,060"
"63210 Hairstylists and barbers","11,925","16,200","21,280"
"63211 Estheticians, electrologists and related occupations","9,020","12,800","18,480"
"6322 Shoe repairers, shoemakers and upholsterers","545","26,400","29,400"
"63220 Shoe repairers and shoemakers","155","17,600","23,200"
"63221 Upholsterers","390","29,600","31,900"
"64 Sales and service representatives and other customer and personal services occupations","174,215","23,400","32,520"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","101,315","20,800","32,800"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","101,315","20,800","32,800"
"64100 Retail salespersons and visual merchandisers","92,115","18,800","29,080"
"64101 Sales and account representatives - wholesale trade (non-technical)","9,200","58,000","69,800"
"642 Occupations in personal service","2,195","15,100","23,040"
"6420 Occupations in personal service","2,195","15,100","23,040"
"64200 Tailors, dressmakers, furriers and milliners","1,895","15,300","22,420"
"64201 Image, social and other personal consultants","300","12,800","27,000"
"643 Occupations in food, accommodation and tourism","22,680","13,800","21,900"
"6430 Occupations in food and beverage service","9,355","9,100","11,970"
"64300 Maîtres d'hôtel and hosts/hostesses","4,240","5,800","7,780"
"64301 Bartenders","5,115","13,600","15,440"
"6431 Occupations in travel and accommodation","10,740","27,400","32,000"
"64310 Travel counsellors","3,270","17,000","26,040"
"64311 Pursers and flight attendants","2,000","42,400","43,400"
"64312 Airline ticket and service agents","2,040","29,400","36,200"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","380","52,000","52,600"
"64314 Hotel front desk clerks","3,050","23,400","25,520"
"6432 Tourism and amusement services occupations","2,585","9,900","15,940"
"64320 Tour and travel guides","575","9,000","13,750"
"64321 Casino workers","1,340","9,600","14,880"
"64322 Outdoor sport and recreational guides","675","13,100","19,920"
"644 Occupations in customer, information and protective services","48,020","35,200","37,480"
"6440 Customer and information services representatives","33,440","36,400","38,440"
"64400 Customer services representatives - financial institutions","6,220","33,600","36,360"
"64401 Postal services representatives","960","35,600","35,500"
"64409 Other customer and information services representatives","26,260","37,200","39,040"
"6441 Security guards and related security service occupations","14,580","32,000","35,240"
"64410 Security guards and related security service occupations","14,580","32,000","35,240"
"65 Sales and service support occupations","224,925","13,600","20,200"
"651 Sales support occupations","75,690","14,600","21,460"
"6510 Cashiers and other sales support occupations","75,690","14,600","21,460"
"65100 Cashiers","43,680","12,800","20,140"
"65101 Service station attendants","985","13,800","21,840"
"65102 Store shelf stockers, clerks and order fillers","28,085","19,000","23,440"
"65109 Other sales related occupations","2,940","10,900","22,340"
"652 Support occupations in food, accommodation and tourism","91,245","11,000","16,160"
"6520 Food support occupations","81,360","10,900","15,520"
"65200 Food and beverage servers","24,500","10,900","14,040"
"65201 Food counter attendants, kitchen helpers and related support occupations","55,830","10,700","15,700"
"65202 Meat cutters and fishmongers - retail and wholesale","1,035","40,400","40,200"
"6521 Support occupations in accommodation, travel, tourism and amusement services","5,660","10,300","22,260"
"65210 Support occupations in accommodation, travel and facilities set-up services","805","44,400","47,400"
"65211 Operators and attendants in amusement, recreation and sport","4,855","8,600","18,080"
"6522 Support occupations in personal services","4,220","13,500","20,320"
"65220 Pet groomers and animal care workers","3,695","14,300","20,200"
"65229 Other support occupations in personal services","530","7,700","21,200"
"653 Support occupations in cleaning and related services","57,990","19,800","24,920"
"6531 Cleaners","52,445","20,200","25,180"
"65310 Light duty cleaners","29,695","16,000","21,160"
"65311 Specialized cleaners","5,510","20,800","27,160"
"65312 Janitors, caretakers and heavy-duty cleaners","17,245","28,200","31,440"
"6532 Service support and related occupations","5,545","16,200","22,600"
"65320 Dry cleaning, laundry and related occupations","2,370","24,400","26,000"
"65329 Other service support occupations","3,170","11,900","20,040"
"7 Trades, transport and equipment operators and related occupations","443,515","50,400","56,700"
"70 Middle management occupations in trades and transportation","42,935","66,000","74,500"
"700 Middle management occupations in trades and transportation","42,935","66,000","74,500"
"7001 Managers in construction and facility operation and maintenance","36,310","64,000","72,700"
"70010 Construction managers","16,115","79,500","87,900"
"70011 Home building and renovation managers","8,035","30,400","41,400"
"70012 Facility operation and maintenance managers","12,155","65,000","73,200"
"7002 Managers in transportation and postal and courier services","6,625","74,500","84,400"
"70020 Managers in transportation","5,960","76,000","86,800"
"70021 Postal and courier services managers","660","54,400","62,700"
"72 Technical trades and transportation officers and controllers","176,805","60,000","65,500"
"720 Technical trades contractors and supervisors","30,655","70,500","76,100"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","19,095","63,600","67,800"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","1,770","86,000","85,300"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","3,725","77,500","81,900"
"72012 Contractors and supervisors, pipefitting trades","1,635","83,000","81,100"
"72013 Contractors and supervisors, carpentry trades","3,035","65,500","66,500"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","8,930","49,600","56,550"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","11,555","82,000","89,800"
"72020 Contractors and supervisors, mechanic trades","2,890","87,000","90,100"
"72021 Contractors and supervisors, heavy equipment operator crews","6,170","86,000","98,100"
"72022 Supervisors, printing and related occupations","155","58,000","59,000"
"72023 Supervisors, railway transport operations","180","93,000","92,000"
"72024 Supervisors, motor transport and other ground transit operators","1,320","64,000","68,300"
"72025 Supervisors, mail and message distribution occupations","845","67,500","66,400"
"721 Technical industrial trades","19,305","62,000","63,700"
"7210 Machining, metal forming, shaping and erecting trades","19,305","62,000","63,700"
"72100 Machinists and machining and tooling inspectors","2,915","71,000","67,800"
"72101 Tool and die makers","325","51,200","53,800"
"72102 Sheet metal workers","2,900","59,600","59,900"
"72103 Boilermakers","455","71,000","72,800"
"72104 Structural metal and platework fabricators and fitters","1,705","64,000","64,800"
"72105 Ironworkers","2,025","57,200","63,300"
"72106 Welders and related machine operators","8,980","60,000","63,350"
"722 Technical electrical trades","24,730","59,200","64,500"
"7220 Technical electrical trades and electrical power line and telecommunications workers","24,730","59,200","64,500"
"72200 Electricians (except industrial and power system)","16,635","48,000","52,600"
"72201 Industrial electricians","3,015","94,000","91,400"
"72202 Power system electricians","525","110,000","107,600"
"72203 Electrical power line and cable workers","1,290","139,000","134,400"
"72204 Telecommunications line and cable installers and repairers","1,095","72,500","67,000"
"72205 Telecommunications equipment installation and cable television service technicians","2,175","68,500","65,600"
"723 Technical construction trades","44,760","44,800","47,600"
"7230 Plumbers, pipefitters and gas fitters","13,140","53,200","55,800"
"72300 Plumbers","9,585","49,600","51,350"
"72301 Steamfitters, pipefitters and sprinkler system installers","2,550","69,500","69,700"
"72302 Gas fitters","1,000","60,400","62,700"
"7231 Carpenters and cabinetmakers","28,995","42,000","44,200"
"72310 Carpenters","26,675","42,400","44,760"
"72311 Cabinetmakers","2,320","37,600","37,800"
"7232 Bricklayers and insulators","2,630","40,800","44,080"
"72320 Bricklayers","1,445","36,400","42,360"
"72321 Insulators","1,180","43,200","46,200"
"724 Technical maintenance trades","46,310","66,000","69,700"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","22,160","82,000","84,400"
"72400 Construction millwrights and industrial mechanics","7,035","88,000","87,000"
"72401 Heavy-duty equipment mechanics","7,130","87,000","90,700"
"72402 Heating, refrigeration and air conditioning mechanics","3,390","62,400","68,600"
"72403 Railway carmen/women","330","86,000","83,600"
"72404 Aircraft mechanics and aircraft inspectors","3,030","75,500","72,900"
"72405 Machine fitters","90","81,000","69,000"
"72406 Elevator constructors and mechanics","1,160","107,000","107,800"
"7241 Automotive service technicians","21,240","54,400","57,050"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","16,975","56,000","57,800"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","4,265","50,400","54,100"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","2,910","47,200","50,640"
"72420 Oil and solid fuel heating mechanics","75","44,800","50,000"
"72421 Appliance servicers and repairers","805","32,800","40,400"
"72422 Electrical mechanics","350","70,000","72,000"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","1,425","54,000","53,100"
"72429 Other small engine and small equipment repairers","255","42,400","40,400"
"725 Technical equipment operation trades","2,385","85,000","92,100"
"7250 Crane operators and water well drillers","2,385","85,000","92,100"
"72500 Crane operators","2,335","86,000","92,800"
"72501 Water well drillers","50","62,400","62,000"
"726 Transportation officers and controllers","6,640","97,000","109,000"
"7260 Transportation officers and controllers","6,640","97,000","109,000"
"72600 Air pilots, flight engineers and flying instructors","3,315","90,000","106,300"
"72601 Air traffic controllers and related occupations","715","111,000","125,600"
"72602 Deck officers, water transport","2,165","96,000","108,600"
"72603 Engineer officers, water transport","245","119,000","118,000"
"72604 Railway traffic controllers and marine traffic regulators","205","92,000","88,000"
"729 Other technical trades","2,020","55,200","56,700"
"7299 Other technical trades","2,020","55,200","56,700"
"72999 Other technical trades and related occupations","2,020","55,200","56,700"
"73 General trades","112,835","48,000","51,500"
"731 General construction trades","21,295","31,200","36,200"
"7310 Concrete finishers, tilesetters and plasterers","6,785","35,600","39,480"
"73100 Concrete finishers","1,220","50,000","49,500"
"73101 Tilesetters","1,630","32,000","38,160"
"73102 Plasterers, drywall installers and finishers and lathers","3,935","33,600","36,880"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","14,510","29,200","34,680"
"73110 Roofers and shinglers","2,985","36,800","41,280"
"73111 Glaziers","1,805","47,600","47,040"
"73112 Painters and decorators (except interior decorators)","7,850","22,800","29,440"
"73113 Floor covering installers","1,875","26,800","34,320"
"732 Building maintenance installers, servicers and repairers","21,880","36,000","39,320"
"7320 Building maintenance installers, servicers and repairers","21,880","36,000","39,320"
"73200 Residential and commercial installers and servicers","7,815","35,600","38,480"
"73201 General building maintenance workers and building superintendents","11,780","38,000","40,600"
"73202 Pest controllers and fumigators","530","42,400","43,600"
"73209 Other repairers and servicers","1,745","28,400","33,440"
"733 Transportation occupations","54,310","55,200","56,150"
"7330 Transport truck and transit drivers","51,755","54,000","54,300"
"73300 Transport truck drivers","41,810","53,600","55,100"
"73301 Bus drivers, subway operators and other transit operators","9,940","55,200","50,880"
"7331 Train crew operating occupations","2,555","95,000","93,500"
"73310 Railway and yard locomotive engineers","1,385","111,000","106,300"
"73311 Railway conductors and brakemen/women","1,175","82,000","78,400"
"734 Operators, drillers and blasters","15,355","69,000","73,700"
"7340 Operators, drillers and blasters","15,355","69,000","73,700"
"73400 Heavy equipment operators","13,440","72,000","76,400"
"73401 Printing press operators","1,235","44,800","43,000"
"73402 Drillers and blasters - surface mining, quarrying and construction","680","75,500","76,400"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","20,880","50,400","49,160"
"741 Mail and message distribution occupations","12,800","49,200","46,800"
"7410 Mail and message distribution occupations","12,800","49,200","46,800"
"74100 Mail and parcel sorters and related occupations","3,050","43,600","43,160"
"74101 Letter carriers","4,725","62,000","56,850"
"74102 Couriers and messengers","5,025","35,200","39,520"
"742 Transport equipment operators, utility maintenance and related workers","8,075","52,000","52,950"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","8,075","52,000","52,950"
"74200 Railway yard and track maintenance workers","935","82,000","80,200"
"74201 Water transport deck and engine room crew","1,330","63,200","62,000"
"74202 Air transport ramp attendants","1,630","31,800","35,800"
"74203 Automotive and heavy truck and equipment parts installers and servicers","1,985","36,000","43,720"
"74204 Utility maintenance workers","560","61,600","63,600"
"74205 Public works maintenance equipment operators and related workers","1,635","57,600","54,650"
"75 Helpers and labourers and other transport drivers, operators and labourers","90,055","30,800","39,280"
"751 Helpers and labourers","63,210","35,200","43,720"
"7510 Longshore workers and material handlers","31,930","40,000","49,480"
"75100 Longshore workers","3,210","103,000","104,100"
"75101 Material handlers","28,725","37,200","43,400"
"7511 Trades helpers and labourers","31,275","30,800","37,840"
"75110 Construction trades helpers and labourers","30,000","31,000","37,920"
"75119 Other trades helpers and labourers","1,275","28,600","36,200"
"752 Transport drivers, operators and labourers","26,845","21,000","28,800"
"7520 Taxi, personal service and delivery service drivers","21,515","16,600","24,300"
"75200 Taxi and limousine drivers and chauffeurs","6,350","13,500","20,200"
"75201 Delivery service drivers and door-to-door distributors","15,160","19,000","26,000"
"7521 Water and rail transport operators and labourers and related occupations","5,330","45,600","46,960"
"75210 Boat and cable ferry operators and related occupations","1,350","42,800","49,360"
"75211 Railway and motor transport labourers","665","46,000","46,600"
"75212 Public works and maintenance labourers","3,310","48,000","46,040"
"8 Natural resources, agriculture and related production occupations","65,480","26,800","41,400"
"80 Middle management occupations in production and agriculture","13,765","24,000","45,920"
"800 Middle management occupations in production and agriculture","13,765","24,000","45,920"
"8001 Managers in natural resources production and fishing","1,820","120,000","151,600"
"80010 Managers in natural resources production and fishing","1,820","120,000","151,600"
"8002 Managers in agriculture, horticulture and aquaculture","11,945","18,200","29,840"
"80020 Managers in agriculture","10,700","15,700","27,600"
"80021 Managers in horticulture","825","36,000","42,700"
"80022 Managers in aquaculture","430","67,000","61,600"
"82 Supervisors in natural resources, agriculture and related production","7,620","64,000","76,700"
"820 Supervisors in natural resources, agriculture and related production","7,620","64,000","76,700"
"8201 Supervisors, logging and forestry","1,630","84,000","91,600"
"82010 Supervisors, logging and forestry","1,630","84,000","91,600"
"8202 Contractors and supervisors, mining, oil and gas","1,900","125,000","120,200"
"82020 Supervisors, mining and quarrying","1,160","136,000","123,400"
"82021 Contractors and supervisors, oil and gas drilling and services","735","102,000","115,200"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","4,090","46,000","50,560"
"82030 Agricultural service contractors and farm supervisors","450","35,200","42,600"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","3,645","48,000","51,550"
"83 Occupations in natural resources and related production","4,955","74,500","71,900"
"831 Occupations in natural resources and fisheries","4,955","74,500","71,900"
"8310 Underground miners, oil and gas drillers and related occupations","1,890","96,000","89,400"
"83100 Underground production and development miners","1,250","105,000","95,600"
"83101 Oil and gas well drillers, servicers, testers and related workers","640","78,000","77,200"
"8311 Logging machinery operators","2,265","75,000","70,900"
"83110 Logging machinery operators","2,265","75,000","70,900"
"8312 Fishing vessel masters and fishermen/women","800","20,200","33,700"
"83120 Fishing masters and officers","155","36,400","64,000"
"83121 Fishermen/women","645","19,400","26,400"
"84 Workers in natural resources, agriculture and related production","8,350","31,600","40,600"
"841 Workers in natural resources and fisheries","8,350","31,600","40,600"
"8410 Mine service workers and operators in oil and gas drilling","855","78,500","80,000"
"84100 Underground mine service and support workers","385","88,000","83,200"
"84101 Oil and gas well drilling and related workers and services operators","470","72,000","77,600"
"8411 Logging and forestry workers","3,640","43,600","47,720"
"84110 Chain saw and skidder operators","2,130","50,800","52,750"
"84111 Silviculture and forestry workers","1,505","36,800","40,520"
"8412 Workers in agriculture and fishing occupations","3,855","17,000","25,180"
"84120 Specialized livestock workers and farm machinery operators","3,310","16,400","24,940"
"84121 Fishing vessel deckhands","545","20,400","26,700"
"85 Harvesting, landscaping and natural resources labourers","30,795","19,000","25,920"
"851 Harvesting, landscaping and natural resources labourers","30,795","19,000","25,920"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","10,195","16,000","22,560"
"85100 Livestock labourers","2,795","17,400","25,220"
"85101 Harvesting labourers","3,410","12,100","16,580"
"85102 Aquaculture and marine harvest labourers","455","41,200","43,000"
"85103 Nursery and greenhouse labourers","3,505","20,200","23,660"
"85104 Trappers and hunters","35","5,000","16,000"
"8511 Mine and oil and gas drilling, services and related labourers","1,115","50,000","57,500"
"85110 Mine labourers","530","52,800","60,200"
"85111 Oil and gas drilling, servicing and related labourers","585","49,200","55,000"
"8512 Logging, forestry, landscaping and other related labourers","19,480","19,800","25,880"
"85120 Logging and forestry labourers","1,600","24,200","33,640"
"85121 Landscaping and grounds maintenance labourers","17,875","19,200","25,200"
"9 Occupations in manufacturing and utilities","86,150","45,600","56,200"
"90 Middle management occupations in manufacturing and utilities","10,435","77,500","93,000"
"900 Middle management occupations in manufacturing and utilities","10,435","77,500","93,000"
"9001 Managers in manufacturing and utilities","10,435","77,500","93,000"
"90010 Manufacturing managers","8,940","73,500","88,100"
"90011 Utilities managers","1,495","118,000","122,400"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","12,840","76,000","83,900"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","5,560","69,500","78,900"
"9201 Supervisors, processing and manufacturing occupations","4,670","71,000","81,500"
"92010 Supervisors, mineral and metal processing","465","88,000","94,400"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","1,090","99,000","117,600"
"92012 Supervisors, food and beverage processing","1,585","52,800","54,050"
"92013 Supervisors, plastic and rubber products manufacturing","250","56,000","55,600"
"92014 Supervisors, forest products processing","1,205","87,000","87,800"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","85","45,200","52,000"
"9202 Supervisors, assembly and fabrication","895","58,400","65,000"
"92020 Supervisors, motor vehicle assembling","85","71,000","78,000"
"92021 Supervisors, electronics and electrical products manufacturing","245","51,200","59,200"
"92022 Supervisors, furniture and fixtures manufacturing","130","58,400","55,000"
"92023 Supervisors, other mechanical and metal products manufacturing","170","75,000","77,000"
"92024 Supervisors, other products manufacturing and assembly","265","56,400","63,200"
"921 Utilities equipment operators and controllers","7,280","79,500","87,800"
"9210 Utilities equipment operators and controllers","7,280","79,500","87,800"
"92100 Power engineers and power systems operators","5,575","82,000","92,200"
"92101 Water and waste treatment plant operators","1,705","73,000","73,400"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","2,790","108,000","110,400"
"931 Central control and process operators in processing and manufacturing","2,700","110,000","112,800"
"9310 Central control and process operators in processing and manufacturing","2,700","110,000","112,800"
"93100 Central control and process operators, mineral and metal processing","590","108,000","102,800"
"93101 Central control and process operators, petroleum, gas and chemical processing","1,940","111,000","116,600"
"93102 Pulping, papermaking and coating control operators","170","117,000","105,000"
"932 Aircraft assemblers and aircraft assembly inspectors","95","33,200","40,000"
"9320 Aircraft assemblers and aircraft assembly inspectors","95","33,200","40,000"
"93200 Aircraft assemblers and aircraft assembly inspectors","95","33,200","40,000"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","30,980","42,000","46,440"
"941 Processing and manufacturing machine operators and related production workers","20,655","45,200","49,520"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","2,920","52,400","57,650"
"94100 Machine operators, mineral and metal processing","550","89,000","86,000"
"94101 Foundry workers","115","60,400","61,000"
"94102 Glass forming and finishing machine operators and glass cutters","250","37,200","39,200"
"94103 Concrete, clay and stone forming operators","565","54,000","54,000"
"94104 Inspectors and testers, mineral and metal processing","140","53,600","61,000"
"94105 Metalworking and forging machine operators","805","50,000","51,500"
"94106 Machining tool operators","335","48,800","48,800"
"94107 Machine operators of other metal products","155","40,800","45,000"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","1,225","48,800","52,300"
"94110 Chemical plant machine operators","380","50,000","63,400"
"94111 Plastics processing machine operators","640","49,200","47,700"
"94112 Rubber processing machine operators and related workers","200","46,800","46,000"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","5,145","63,200","63,500"
"94120 Sawmill machine operators","1,975","58,800","56,500"
"94121 Pulp mill, papermaking and finishing machine operators","870","94,000","91,400"
"94122 Paper converting machine operators","195","49,600","50,400"
"94123 Lumber graders and other wood processing inspectors and graders","835","62,000","61,800"
"94124 Woodworking machine operators","670","46,800","50,200"
"94129 Other wood processing machine operators","605","68,000","67,600"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","1,955","30,200","30,560"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","205","25,400","27,200"
"94131 Weavers, knitters and other fabric making occupations","160","29,600","26,400"
"94132 Industrial sewing machine operators","1,410","30,200","30,960"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","185","32,800","35,200"
"9414 Machine operators and related workers in food, beverage and associated products processing","7,860","41,600","44,760"
"94140 Process control and machine operators, food and beverage processing","5,070","45,200","48,880"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","1,145","44,000","42,400"
"94142 Fish and seafood plant workers","950","24,400","27,150"
"94143 Testers and graders, food and beverage processing","690","38,400","42,600"
"9415 Printing equipment operators and related occupations","1,545","32,400","33,360"
"94150 Plateless printing equipment operators","660","36,800","34,600"
"94151 Camera, platemaking and other prepress occupations","165","52,000","47,600"
"94152 Binding and finishing machine operators","340","25,400","28,800"
"94153 Photographic and film processors","385","23,200","29,100"
"942 Assemblers and inspectors in manufacturing","10,325","38,000","40,320"
"9420 Mechanical, electrical and electronics assemblers and inspectors","3,490","39,200","40,680"
"94200 Motor vehicle assemblers, inspectors and testers","875","36,800","40,300"
"94201 Electronics assemblers, fabricators, inspectors and testers","1,320","36,400","36,440"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","375","40,000","40,800"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","105","48,800","55,000"
"94204 Mechanical assemblers and inspectors","700","45,200","45,900"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","120","44,800","46,000"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","6,835","37,600","40,160"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","1,780","31,000","31,280"
"94211 Assemblers and inspectors of other wood products","1,025","37,600","38,600"
"94212 Plastic products assemblers, finishers and inspectors","335","40,800","44,800"
"94213 Industrial painters, coaters and metal finishing process operators","1,555","48,400","51,350"
"94219 Other products assemblers, finishers and inspectors","2,145","35,600","39,400"
"95 Labourers in processing, manufacturing and utilities","29,110","32,800","36,000"
"951 Labourers in processing, manufacturing and utilities","29,110","32,800","36,000"
"9510 Labourers in processing, manufacturing and utilities","29,110","32,800","36,000"
"95100 Labourers in mineral and metal processing","980","41,200","48,500"
"95101 Labourers in metal fabrication","1,520","35,600","36,760"
"95102 Labourers in chemical products processing and utilities","865","33,200","40,200"
"95103 Labourers in wood, pulp and paper processing","4,920","51,600","51,300"
"95104 Labourers in rubber and plastic products manufacturing","605","36,400","35,800"
"95105 Labourers in textile processing and cutting","585","23,600","26,300"
"95106 Labourers in food and beverage processing","10,955","31,000","32,360"
"95107 Labourers in fish and seafood processing","765","17,400","23,640"
"95109 Other labourers in processing, manufacturing and utilities","7,920","28,000","31,360"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i11,"Geography name: British Columbia; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A000259; Alternative geographic code: 59; Province or territory geocode: 59; Long-form total non-response rate: 4.9; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
