Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
1201 Administrative and financial supervisors,"66,695","59,600","63,550",Canada
"12010 Supervisors, general office and administrative support workers","18,390","61,600","65,700",Canada
"12011 Supervisors, finance and insurance office workers","17,550","64,000","67,500",Canada
"12012 Supervisors, library, correspondence and related information workers","2,535","46,000","48,000",Canada
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","28,215","56,400","61,100",Canada
121 Specialized administrative occupations,"214,445","57,600","61,100",Canada
1210 Administrative and regulatory occupations,"191,125","58,800","63,000",Canada
12100 Executive assistants,"48,125","61,200","67,600",Canada
12101 Human resources and recruitment officers,"39,830","55,200","61,350",Canada
12102 Procurement and purchasing agents and officers,"49,755","64,000","71,500",Canada
12103 Conference and event planners,"21,060","36,800","40,680",Canada
12104 Employment insurance and revenue officers,"32,360","59,200","59,700",Canada
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","23,320","45,200","45,200",Canada
"12110 Court reporters, medical transcriptionists and related occupations","9,085","25,200","29,600",Canada
12111 Health information management occupations,"6,245","58,000","57,600",Canada
12112 Records management technicians,"2,845","53,200","55,450",Canada
12113 Statistical officers and related research support occupations,"5,145","51,200","51,950",Canada
"122 Accounting, insurance and related business administrative occupations","198,365","44,800","49,000",Canada
"1220 Accounting, insurance and related business administrative occupations","198,365","44,800","49,000",Canada
12200 Accounting technicians and bookkeepers,"135,850","35,600","40,160",Canada
12201 Insurance adjusters and claims examiners,"30,730","64,500","66,100",Canada
12202 Insurance underwriters,"16,835","67,000","73,600",Canada
"12203 Assessors, business valuators and appraisers","14,950","58,400","66,700",Canada
13 Administrative occupations and transportation logistics occupations,"746,840","44,000","45,760",Canada
131 Administrative occupations,"693,150","43,200","45,000",Canada
"1310 Administrative, property and payroll officers","351,925","47,600","50,560",Canada
13100 Administrative officers,"272,280","46,800","49,880",Canada
13101 Property administrators,"39,720","44,000","51,250",Canada
13102 Payroll administrators,"39,925","54,400","54,550",Canada
"1311 Office administrative assistants - general, legal and medical","341,225","39,200","39,280",Canada
13110 Administrative assistants,"264,150","38,800","38,440",Canada
13111 Legal administrative assistants,"43,425","46,400","46,200",Canada
13112 Medical administrative assistants,"33,655","37,200","36,720",Canada
132 Transportation and production logistics coordinators and customs brokers and related broker occupations,"53,690","51,200","55,800",Canada
1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,"53,690","51,200","55,800",Canada
"13200 Customs, ship and other brokers","4,850","48,000","55,700",Canada
13201 Production and transportation logistics coordinators,"48,835","51,600","55,850",Canada
14 Administrative and financial support and supply chain logistics occupations,"869,530","36,800","38,920",Canada
"141 Office, court, and data support occupations","395,570","30,400","33,120",Canada
1410 Office support and court services occupations,"342,040","30,400","33,080",Canada
14100 General office support workers,"177,980","36,800","37,400",Canada
14101 Receptionists,"147,475","23,000","25,960",Canada
14102 Personnel clerks,"11,475","48,400","48,960",Canada
14103 Court clerks and related court services occupations,"5,105","53,600","53,450",Canada
"1411 Survey, statistical and data entry occupations","53,535","29,800","33,160",Canada
14110 Survey interviewers and statistical clerks,"11,940","17,400","28,640",Canada
14111 Data entry clerks,"40,820","32,800","34,160",Canada
14112 Desktop publishing operators and related occupations,770,"49,600","50,100",Canada
"142 Financial, insurance and related administrative support workers","198,095","43,200","45,840",Canada
"1420 Financial, insurance and related administrative support workers","198,095","43,200","45,840",Canada
14200 Accounting and related clerks,"166,545","42,800","45,360",Canada
"14201 Banking, insurance and other financial clerks","19,150","47,600","51,200",Canada
14202 Collection clerks,"12,400","44,800","44,320",Canada
"143 Library, correspondence and other clerks","33,475","37,600","39,720",Canada
"1430 Library, correspondence and other clerks","33,475","37,600","39,720",Canada
14300 Library assistants and clerks,"14,120","21,600","25,880",Canada
"14301 Correspondence, publication and regulatory clerks","19,355","48,800","49,800",Canada
"144 Supply chain logistics, tracking and scheduling coordination occupations","242,385","40,000","42,600",Canada
"1440 Supply chain logistics, tracking and scheduling coordination occupations","242,385","40,000","42,600",Canada
14400 Shippers and receivers,"119,965","35,600","36,800",Canada
14401 Storekeepers and partspersons,"44,390","43,600","46,280",Canada
14402 Production logistics workers,"8,700","49,200","53,250",Canada
14403 Purchasing and inventory control workers,"35,085","40,400","41,760",Canada
14404 Dispatchers,"30,305","52,800","56,150",Canada
14405 Transportation route and crew schedulers,"3,950","54,000","57,400",Canada
2 Natural and applied sciences and related occupations,"1,541,595","75,000","83,300",Canada
"20 Specialized middle management occupations in engineering, architecture, science and information systems","128,520","112,000","129,600",Canada
"200 Specialized middle management occupations in engineering, architecture, science and information systems","128,520","112,000","129,600",Canada
"2001 Managers in engineering, architecture, science and information systems","128,520","112,000","129,600",Canada
20010 Engineering managers,"31,400","120,000","138,000",Canada
20011 Architecture and science managers,"14,890","100,000","112,100",Canada
20012 Computer and information systems managers,"82,235","112,000","129,400",Canada
21 Professional occupations in natural and applied sciences,"888,575","81,000","88,800",Canada
211 Professional occupations in natural sciences,"98,400","71,500","77,900",Canada
2110 Physical science professionals,"31,315","73,000","86,900",Canada
21100 Physicists and astronomers,"2,620","97,000","107,800",Canada
21101 Chemists,"16,325","65,000","70,800",Canada
21102 Geoscientists and oceanographers,"10,880","84,000","106,300",Canada
21103 Meteorologists and climatologists,915,"100,000","91,000",Canada
21109 Other professional occupations in physical sciences,575,"72,000","77,200",Canada
2111 Life science professionals,"47,075","69,000","73,600",Canada
21110 Biologists and related scientists,"34,980","69,500","75,500",Canada
21111 Forestry professionals,"5,165","75,000","74,700",Canada
"21112 Agricultural representatives, consultants and specialists","6,930","61,200","63,350",Canada
