Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
"141 Office, court, and data support occupations","12,480","32,800","32,960",Saskatchewan
1410 Office support and court services occupations,"10,410","33,600","33,720",Saskatchewan
14100 General office support workers,"5,775","38,800","37,400",Saskatchewan
14101 Receptionists,"4,330","27,400","27,960",Saskatchewan
14102 Personnel clerks,195,"38,000","42,000",Saskatchewan
14103 Court clerks and related court services occupations,105,"58,800","54,000",Saskatchewan
"1411 Survey, statistical and data entry occupations","2,075","23,400","29,120",Saskatchewan
14110 Survey interviewers and statistical clerks,860,"4,480","14,600",Saskatchewan
14111 Data entry clerks,"1,190","39,600","39,200",Saskatchewan
14112 Desktop publishing operators and related occupations,20,0,"52,000",Saskatchewan
"142 Financial, insurance and related administrative support workers","4,810","46,400","47,240",Saskatchewan
"1420 Financial, insurance and related administrative support workers","4,810","46,400","47,240",Saskatchewan
14200 Accounting and related clerks,"4,115","45,600","46,720",Saskatchewan
"14201 Banking, insurance and other financial clerks",520,"52,000","50,600",Saskatchewan
14202 Collection clerks,175,"50,000","49,600",Saskatchewan
"143 Library, correspondence and other clerks","1,240","30,600","36,800",Saskatchewan
"1430 Library, correspondence and other clerks","1,240","30,600","36,800",Saskatchewan
14300 Library assistants and clerks,620,"17,600","22,100",Saskatchewan
"14301 Correspondence, publication and regulatory clerks",625,"48,000","51,400",Saskatchewan
"144 Supply chain logistics, tracking and scheduling coordination occupations","6,520","43,600","46,080",Saskatchewan
"1440 Supply chain logistics, tracking and scheduling coordination occupations","6,520","43,600","46,080",Saskatchewan
14400 Shippers and receivers,"2,745","38,400","39,080",Saskatchewan
14401 Storekeepers and partspersons,"1,890","49,200","49,720",Saskatchewan
14402 Production logistics workers,210,"55,200","56,000",Saskatchewan
14403 Purchasing and inventory control workers,760,"42,400","45,200",Saskatchewan
14404 Dispatchers,795,"55,600","58,400",Saskatchewan
14405 Transportation route and crew schedulers,120,"59,600","56,000",Saskatchewan
2 Natural and applied sciences and related occupations,"30,075","76,000","80,300",Saskatchewan
"20 Specialized middle management occupations in engineering, architecture, science and information systems","2,050","111,000","113,700",Saskatchewan
"200 Specialized middle management occupations in engineering, architecture, science and information systems","2,050","111,000","113,700",Saskatchewan
"2001 Managers in engineering, architecture, science and information systems","2,050","111,000","113,700",Saskatchewan
20010 Engineering managers,575,"125,000","130,500",Saskatchewan
20011 Architecture and science managers,335,"98,000","100,000",Saskatchewan
20012 Computer and information systems managers,"1,135","110,000","109,200",Saskatchewan
21 Professional occupations in natural and applied sciences,"15,145","80,000","85,200",Saskatchewan
211 Professional occupations in natural sciences,"3,590","72,500","75,300",Saskatchewan
2110 Physical science professionals,720,"75,500","86,600",Saskatchewan
21100 Physicists and astronomers,45,"75,500","84,000",Saskatchewan
21101 Chemists,255,"69,500","86,000",Saskatchewan
21102 Geoscientists and oceanographers,395,"85,000","89,600",Saskatchewan
21103 Meteorologists and climatologists,20,0,"45,000",Saskatchewan
21109 Other professional occupations in physical sciences,0,0,0,Saskatchewan
